region,year,date,month,season,temp,pH,DO,Chl-a,scrap_around_3,scrap_around_5,scrap_around_7,scrap_around_10,fac_3,fac_5,fac_7,fac_10,av_temp,day_rain,wind_speed,bo_in,bo_h,bo_rain,bo_water,bo_per,bo_out,bo,log_cells
19,2019,2019-09-09,9,0,25.5,8.4,8.1,9.7,0,0,0,0,0,0,0,0,23.1,7.5,0.4,101.27,130.1,3.469,119.5414583,51.62,70.354,13,10.39050193
26,2021,2021-08-23,8,2,25.5,7.7,8.5,19.9,44,104,173,381,0,0,0,0,21.3,4,0.4,333.915,24.57,6,194.979,84.78,397.123,15,8.715224042
21,2019,2019-07-01,7,2,24,8.3,9.3,12.7,0,0,1,7,0,0,0,0,24.1,0,1.8,171.264,25.01,0,211.769,92.08,179.722,15,8.455530531
2,2018,2018-08-13,8,2,31.9,9.3,7.6,39.5,0,0,0,0,0,0,0,0,28.8,0,0.7,194.821,25.29,0.5,222.044,96.5,190.488,15,8.232440158
2,2018,2018-09-10,9,0,25.1,7.4,5.7,19.3,0,0,0,0,0,0,0,0,19.5,0,0.7,850.559,25.04,0,212.822,92.5,913.923,15,8.200013648
28,2019,2019-07-08,7,2,24.5,8.1,9.6,21,85,526,769,1467,0,4,4,4,24.7,0,2.5,176.461,25.01,0,211.769,92.08,180.669,15,8.183118079
24,2021,2021-08-23,8,2,25.7,8,8.5,21.2,37,160,297,748,0,0,0,4,22.5,5,1.3,333.915,24.57,6,194.979,84.78,397.123,15,8.152774053
2,2018,2018-09-17,9,0,26.3,7.8,5.9,28.8,0,0,0,0,0,0,0,0,20.5,0.5,0.7,237.329,25.22,0.5,219.435,95.4,249.954,15,8.003363059
21,2021,2021-08-17,8,2,26.6,8,8.8,31.5,0,0,1,7,0,0,0,0,25.7,1.5,1.7,205.748,24.89,6,207.419,90.19,196.373,15,7.969357742
2,2019,2019-08-26,8,2,27.1,7.1,7.2,6.9,0,0,0,0,0,0,0,0,23.2,0,0.7,176.57,25.12,0,215.778,93.82,185.07,15,7.958926493
2,2018,2018-08-20,8,2,29.7,9.4,7.1,21.4,0,0,0,0,0,0,0,0,26.4,0,1.2,183.736,25.18,0,217.968,94.8,192.195,15,7.937731775
2,2019,2019-08-19,8,2,28,7.8,4.4,14.4,0,0,0,0,0,0,0,0,23.5,0,0.8,299.968,25.12,0,215.412,93.66,304.26,15,7.878912912
25,2021,2021-08-17,8,2,28.2,8.7,8.6,37.7,111,367,737,1197,0,4,4,4,25.4,2.5,2.2,205.748,24.89,6,207.419,90.19,196.373,15,7.833203949
2,2018,2018-10-02,10,0,20.7,9.8,8.2,48.5,0,0,0,0,0,0,0,0,13,0,1.2,212.11,24.87,0,206.556,89.8,266.235,15,7.824445931
28,2021,2021-08-17,8,2,27.8,8.6,8.6,50.3,85,526,769,1467,0,4,4,4,25.6,4.5,2.2,205.748,24.89,6,207.419,90.19,196.373,15,7.734558844
2,2018,2018-10-15,10,0,17.3,9.2,8.1,9.2,0,0,0,0,0,0,0,0,12.6,0,0.7,240.084,25.04,0,213.095,92.7,242.084,15,7.720461695
2,2018,2018-10-22,10,0,16.7,9.1,8.2,41.4,0,0,0,0,0,0,0,0,10.1,0,0.7,205.68,25.09,0,214.66,93.3,180.305,15,7.720461695
18,2016,2016-09-05,9,0,22.6,8.2,7.4,3.3,0,0,0,0,0,0,0,0,23.9,0.5,0.7,205.321,25.19,0,218.313,94.9,209.487,13,7.673688129
2,2018,2018-10-08,10,0,19.3,9,7.6,14.2,0,0,0,0,0,0,0,0,10.7,0,0.8,615.157,25.04,0,212.822,92.5,531.207,15,7.640603826
2,2019,2019-09-23,9,0,21.1,8.9,5.1,27.7,0,0,0,0,0,0,0,0,16.9,0,1,446.173,24.87,0,206.709,89.88,410.923,15,7.591357047
23,2018,2018-08-06,8,2,31.3,8.7,8.9,9.5,0,0,1,7,0,0,0,0,24.30624551,5.5,1.203677001,225.83,25.22,8.5,219.435,95.4,208.747,15,7.565793282
2,2019,2019-10-07,10,0,21,7.3,6.5,8.8,0,0,0,0,0,0,0,0,14.1,26.5,0.6,277.23,25.13,18,216.114,93.97,239.147,15,7.560601163
26,2021,2021-08-17,8,2,27.3,8.4,8.4,25.9,44,104,173,381,0,0,0,0,24.7,2,0.8,205.748,24.89,6,207.419,90.19,196.373,15,7.531552381
2,2019,2019-09-09,9,0,25.1,7,5.3,12.6,0,0,0,0,0,0,0,0,22.8,2.5,0.6,410.544,24.87,2,206.709,89.88,447.96,15,7.50714108
2,2019,2019-08-12,8,2,28.6,8,4.3,33.5,0,0,0,0,0,0,0,0,25.5,37.5,0.8,582.551,25.19,73,218.362,94.94,499.385,15,7.496097345
2,2019,2019-10-14,10,0,19.5,7.6,7.8,8.1,0,0,0,0,0,0,0,0,12.5,0,1,190.549,25.12,0,215.778,93.82,220.799,15,7.46221494
2,2018,2018-09-04,9,0,25.8,7.1,5.2,19.8,0,0,0,0,0,0,0,0,22.5,0,1.5,263.1389102,24.71,0,200.394,87.1,258.866306,15,7.458186157
2,2019,2019-09-30,9,0,23.1,6.9,5.7,15.5,0,0,0,0,0,0,0,0,18.6,0,0.7,370.396,24.81,0,204.537,88.93,476.063,15,7.433075349
2,2018,2018-09-28,9,0,22,7.8,7,15.8,0,0,0,0,0,0,0,0,14.4,0,0.7,241.143,24.92,0,208.516,90.7,249.477,15,7.421177529
2,2019,2019-10-28,10,0,17.1,7.2,7.7,5.6,0,0,0,0,0,0,0,0,10.4,0,1,185.148,25.11,1.5,215.386,93.65,180.856,15,7.401841579
2,2017,2017-09-05,9,0,24.4,8.3,8.4,42.3,0,0,0,0,0,0,0,0,12.95070755,0,1.144285714,474.626,25.07,0,214.539,93.3,534.121,15,7.378383713
2,2017,2017-10-17,10,0,19.1,8.3,8.6,21.5,0,0,0,0,0,0,0,0,12.6,0,0.8,191.911,25.22,0,219.435,95.4,183.286,15,7.346655163
23,2019,2019-08-12,8,2,25,7.9,8.6,11.5,0,0,1,7,0,0,0,0,25.9,47.5,1,582.551,25.19,73,218.362,94.94,499.385,15,7.333023014
24,2021,2021-08-17,8,2,27.5,8.3,8.1,33,37,160,297,748,0,0,0,4,25.6,2,1.8,205.748,24.89,6,207.419,90.19,196.373,15,7.323830566
2,2019,2019-10-21,10,0,18.5,7.6,9.7,7.8,0,0,0,0,0,0,0,0,13.4,0,0.6,184.438,25.14,0,216.506,94.14,184.438,15,7.310550159
21,2018,2018-08-06,8,2,30.3,8.6,7.9,18.1,0,0,1,7,0,0,0,0,24.30624551,5.5,1.203677001,225.83,25.22,8.5,219.435,95.4,208.747,15,7.306531399
2,2019,2019-09-16,9,0,25.3,6.9,4.2,6.8,0,0,0,0,0,0,0,0,21.7,0,1.1,286.957,25.14,0,216.153,93.98,269.957,15,7.26612878
2,2018,2018-08-27,8,2,26.4,8.8,6.9,29.5,0,0,0,0,0,0,0,0,20.9,78,0.5,558.288,25.1,33,215.051,93.5,562.58,15,7.235619141
2,2019,2019-09-02,9,0,26.3,6.9,8.2,10.3,0,0,0,0,0,0,0,0,22,0,0.6,204.735,24.89,0,207.419,90.19,271.693,15,7.215975003
17,2021,2021-08-18,8,2,28.2,9.3,8,10.9,0,0,0,0,0,0,0,0,22.7,0.2,1.7,24.875,100.94,0,111.907,80.36,25.458,12,7.212294469
2,2019,2019-11-04,11,0,16.6,7.5,8.9,4.2,0,0,0,0,0,0,0,0,10.2,0,0.6,181.016,25.04,0,212.822,92.54,176.849,15,7.193685818
23,2018,2018-08-20,8,2,28.1,8.3,8.6,21.5,0,0,1,7,0,0,0,0,27.8,0,1.8,183.736,25.18,0,217.968,94.8,192.195,15,7.192934221
23,2018,2018-08-13,8,2,31.3,8.4,8.4,8.2,0,0,1,7,0,0,0,0,29,4.5,0.8,194.821,25.29,0.5,222.044,96.5,190.488,15,7.160069208
2,2019,2019-11-11,11,0,14.7,7.6,9.4,4.9,0,0,0,0,0,0,0,0,10.3,3.5,1.4,205.005,25.11,0,215.386,93.65,175.464,15,7.099201744
18,2018,2018-09-27,9,0,11.4,8.4,6.5,4.4,0,0,0,0,0,0,0,0,15.3,0,1.2,226.308,25.2,0,218.685,95.1,257.142,13,7.063048163
19,2018,2018-09-17,9,0,17.1,6,3.6,7.8,0,0,0,0,0,0,0,0,20.5,0.5,0.8,226.308,25.2,0,218.685,95.1,257.142,13,7.062191632
21,2021,2021-08-02,8,2,28.3,7.9,8.3,11.3,0,0,1,7,0,0,0,0,26.3,0.5,1.1,406.192,24.82,0.5,204.836,89.06,470.4,15,7.01571242
18,2018,2018-10-01,10,0,20.7,8,8.4,8.9,0,0,0,0,0,0,0,0,13.3,0.5,1.9,491.132,25.12,2.5,215.692,93.8,537.966,13,7.002155954
21,2019,2019-08-26,8,2,25.6,8.7,9.4,35.1,0,0,1,7,0,0,0,0,24.7,0,1.1,176.57,25.12,0,215.778,93.82,185.07,15,6.983789965
25,2021,2021-08-23,8,2,25.4,8,8.6,17.8,111,367,737,1197,0,4,4,4,22.3,5,1.3,333.915,24.57,6,194.979,84.78,397.123,15,6.899723107
28,2018,2018-08-20,8,2,28.7,8.4,8.2,32.4,85,526,769,1467,0,4,4,4,28.6,0,1.5,183.736,25.18,0,217.968,94.8,192.195,15,6.893656355
30,2020,2020-08-24,8,2,19.4,9.8,9.1,5.2,0,0,0,0,0,0,0,0,25.5,0,1.2,7.367,176.36,0,66.7,76.8,9.148,17,6.88550967
25,2018,2018-08-13,8,2,30.5,8,7.7,15.2,111,367,737,1197,0,4,4,4,30,7.5,1.3,194.821,25.29,0.5,222.044,96.5,190.488,15,6.884486652
18,2016,2016-08-01,8,2,22.2,6.8,6.3,1.1,0,0,0,0,0,0,0,0,27.1,0,1,381.326,25.08,0,213.618,92.9,470.951,13,6.872128101
12,2021,2021-08-09,8,2,25.4,8.2,8.5,14.5,0,0,0,0,0,0,0,0,26.4,0,2,366.442,25.13,0,215.778,93.8,353.734,9,6.86171134
25,2018,2018-08-06,8,2,29.6,8.4,7.5,31.4,111,367,737,1197,0,4,4,4,30,9,1.4,225.83,25.22,8.5,219.435,95.4,208.747,15,6.859614904
25,2017,2017-09-04,9,0,22.8,7.9,8.1,35.9,111,367,737,1197,0,4,4,4,23.3,0,1.2,680.338,25.21,0,219.095,95.3,591.632,15,6.858565035
25,2019,2019-07-01,7,2,23.8,7.6,8.7,17.7,111,367,737,1197,0,4,4,4,24.3,0,2,171.264,25.01,0,211.769,92.08,179.722,15,6.857514063
11,2019,2019-08-19,8,2,25.7,8.4,9.1,34.1,0,0,0,0,0,0,0,0,23.6,0,0.7,366.442,25.13,0,215.778,93.8,353.734,8,6.84694314
25,2016,2016-09-26,9,0,23.4,8.8,10,38.1,111,367,737,1197,0,4,4,4,22.5,0,1.2,144.857,25.12,0,215.778,93.8,149.107,15,6.84694314
2,2017,2017-09-12,9,0,24.2,7.3,7.5,41.1,0,0,0,0,0,0,0,0,19.1,0,1.2,328.554,25.2,0,218.7,95.1,303.049,15,6.825460036
2,2019,2019-11-18,11,0,12.5,7.5,9.8,2.8,0,0,0,0,0,0,0,0,6,13.5,3,501.743,25.2,8.5,219.423,95.41,313.91,15,6.825460036
28,2018,2018-08-13,8,2,30.6,8.1,7.5,30.1,85,526,769,1467,0,4,4,4,30.1,4.5,1.2,194.821,25.29,0.5,222.044,96.5,190.488,15,6.821107472
19,2018,2018-10-01,10,0,20.7,7,5.7,7.8,0,0,0,0,0,0,0,0,14.6,0,1.4,389.692,24.98,21,210.777,91.6,423.067,13,6.820016365
23,2016,2016-06-27,6,2,23.7,7.9,8.9,8.7,0,0,1,7,0,0,0,0,22.7,0,0.6,188.877,25.14,0,216.364,94.1,214.377,15,6.820016365
25,2019,2019-09-02,9,0,25.1,8.2,8.7,17.3,111,367,737,1197,0,4,4,4,23.8,0,1.1,204.735,24.89,0,207.419,90.19,271.693,15,6.816735881
28,2018,2018-07-30,7,2,28.4,8.3,8.1,27.4,85,526,769,1467,0,4,4,4,31.5,0,2,197.665,25.12,0,215.778,93.8,197.665,15,6.81563999
28,2018,2018-08-06,8,2,29.5,8.1,7,21.3,85,526,769,1467,0,4,4,4,29.6,17,1.3,225.83,25.22,8.5,219.435,95.4,208.747,15,6.81563999
2,2018,2018-10-29,10,0,14.5,8,8.3,6,0,0,0,0,0,0,0,0,7,0,1.7,255.502,25.05,0,213.211,92.7,251.293,15,6.814542897
12,2021,2021-08-17,8,2,22.6,7.8,8.7,11.4,0,0,0,0,0,0,0,0,23.3,0,1.7,423.468,25.09,0,214.601,93.3,432.885,9,6.812345094
23,2016,2016-06-20,6,2,22.4,8.2,9.4,5.4,0,0,1,7,0,0,0,0,23.4,0,0.8,197.413,25.14,0,216.413,94.1,176.163,15,6.807934944
2,2016,2016-07-19,7,2,24.8,8.9,7.4,38.4,0,0,0,0,0,0,0,0,24.4,0,0.6,323.4634348,25.04,0,212.822,92.5,317.2341342,15,6.803505258
2,2016,2016-08-02,8,2,30,9.4,8,51.5,0,0,0,0,0,0,0,0,25.8,1.4,0.5,400.328,25.19,0,218.362,94.9,374.828,15,6.803505258
12,2017,2017-08-07,8,2,25.9,8.6,8.8,6.6,0,0,0,0,0,0,0,0,27.5,0.3,1.6,423.468,25.09,0,214.601,93.3,432.885,9,6.801283034
28,2019,2019-09-02,9,0,25.2,8.2,9.1,17.8,85,526,769,1467,0,4,4,4,24.1,0,1,204.735,24.89,0,207.419,90.19,271.693,15,6.799055862
18,2016,2016-07-25,7,2,22.1,7.7,7.8,2.8,0,0,0,0,0,0,0,0,26.8,1,0.6,386.845,25.2,2.5,218.539,95,319.012,13,6.792344427
25,2016,2016-09-05,9,0,25.5,8.4,9.3,31.9,111,367,737,1197,0,4,4,4,26,0,1.2,193.519,25.23,0,219.83,95.6,184.936,15,6.792344427
12,2021,2021-09-06,9,0,20.7,9.2,9.9,35,0,0,0,0,0,0,0,0,21.4,0,1.7,386.845,25.2,2.5,218.539,95,319.012,9,6.790097236
19,2019,2019-09-16,9,0,25.2,8.4,8,6.6,0,0,0,0,0,0,0,0,21.2,0,0.6,386.845,25.2,2.5,218.539,95,319.012,13,6.788971743
12,2019,2019-10-21,10,0,15.4,8.3,10.4,13.6,0,0,0,0,0,0,0,0,14,0,1,386.845,25.2,2.5,218.539,95,319.012,9,6.781057626
2,2017,2017-08-22,8,2,24.2,7.1,9.7,12.5,0,0,0,0,0,0,0,0,26.1,0,1.1,323.4634348,25.03,0,212.489,92.4,317.2341342,15,6.781057626
2,2019,2019-11-25,11,0,10.6,7.3,10.7,4.3,0,0,0,0,0,0,0,0,2.5,0,1.3,241.49,25.11,0,215.386,93.65,254.49,15,6.781057626
21,2021,2021-08-09,8,2,28.7,7.6,7.8,11.8,0,0,1,7,0,0,0,0,27.7,0,1.5,252.312,25.02,0,212.101,92.22,222.937,15,6.779921907
17,2021,2021-08-24,8,2,25.2,9.1,8.4,34.3,0,0,0,0,0,0,0,0,22,16.7,0.9,39.25,100.88,25.5,111.167,79.82,0,12,6.775366091
30,2018,2018-09-10,9,0,18.7,7.8,5.1,3.3,0,0,0,0,0,0,0,0,19.9,0,2.3,4.353,176.78,0,68.874,79.3,4.353,17,6.774223886
26,2018,2018-08-20,8,2,29.1,7.7,6.8,9.7,44,104,173,381,0,0,0,0,24.30624551,6.712880396,1.203677001,183.736,25.18,0,217.968,94.8,192.195,15,6.769641977
2,2016,2016-07-26,7,2,24.5,6.9,7.4,37,0,0,0,0,0,0,0,0,26.9,0,1.2,628.133,25.25,0,220.567,95.9,568.467,15,6.746412129
2,2016,2016-08-29,8,2,21.6,7.6,6.2,18.5,0,0,0,0,0,0,0,0,19.6,0.2,0.9,210.648,25.32,0,223.878,97.3,219.315,15,6.746412129
12,2017,2017-07-24,7,2,23.1,8.1,7.5,14.8,0,0,0,0,0,0,0,0,25.7,3.1,0.9,278.88,25.1,0,214.593,93.3,408.732,9,6.74051936
2,2016,2016-08-09,8,2,32.9,9.2,7.4,60.2,0,0,0,0,0,0,0,0,27.8,0,0.7,326.87,25.04,0,212.862,92.6,352.205,15,6.73459166
2,2016,2016-09-12,9,0,24.4,8.1,12.5,14.4,0,0,0,0,0,0,0,0,22.4,0,0.6,147.592,25.21,0,219.095,95.3,173.342,15,6.73459166
2,2019,2019-06-17,6,2,22.2,8.9,8.7,23,0,0,0,0,0,0,0,0,20.1,0,1.4,208.103,24.98,0,210.663,91.6,216.562,15,6.73459166
2,2019,2019-07-08,7,2,26.7,7.1,7.6,20.1,0,0,0,0,0,0,0,0,23.1,0,1.5,176.461,25.01,0,211.769,92.08,180.669,15,6.73459166
28,2019,2019-07-01,7,2,23.8,7.5,8.7,13.3,85,526,769,1467,0,4,4,4,24.4,0,1.8,171.264,25.01,0,211.769,92.08,179.722,15,6.720220155
26,2019,2019-08-26,8,2,25.1,7.4,8.6,22.4,44,104,173,381,0,0,0,0,24.30624551,6.712880396,1.203677001,176.57,25.12,0,215.778,93.82,185.07,15,6.708084084
24,2019,2019-08-26,8,2,25.1,7.9,9.2,41.5,37,160,297,748,0,0,0,4,25.4,0,1.3,176.57,25.12,0,215.778,93.82,185.07,15,6.703188113
27,2019,2019-08-19,8,2,27.2,8.5,9.5,33.1,0,0,0,0,0,0,0,0,24.7,0,0.7,243.49,25.15,0,216.899,94.3,243.407,8,6.698268054
2,2017,2017-08-30,8,2,23.4,8.5,8.5,52.3,0,0,0,0,0,0,0,0,17.6,0,0.8,323.4634348,24.95,0,209.561,91.1,317.2341342,15,6.698268054
12,2021,2021-07-26,7,2,24.9,7.8,8.3,15.1,0,0,0,0,0,0,0,0,28.7,0,1.3,244.997,25.15,0,217.098,94.4,245.08,9,6.697034248
2,2017,2017-08-08,8,2,29.5,8.2,6.9,52.1,0,0,0,0,0,0,0,0,26,0,1.1,327.405,25.03,0,212.6,92.4,285.572,15,6.685860947
21,2018,2018-08-13,8,2,30.4,8.5,7.5,10.4,0,0,1,7,0,0,0,0,29,4.5,0.8,194.821,25.29,0.5,222.044,96.5,190.488,15,6.685860947
2,2016,2016-08-17,8,2,30.6,9.4,8.6,51.2,0,0,0,0,0,0,0,0,26.9,0,0.6,196.186,25.29,0,222.044,96.5,204.852,15,6.66057515
2,2018,2018-11-05,11,0,13.5,7.5,8.5,7.7,0,0,0,0,0,0,0,0,9,0,0.7,215.805,25.05,0,213.211,92.7,211.68,15,6.66057515
2,2019,2019-07-01,7,2,25,8.6,8.5,14.7,0,0,0,0,0,0,0,0,22.6,0,1.6,171.264,25.01,0,211.769,92.08,179.722,15,6.647688374
21,2017,2017-08-14,8,2,25,8.3,8.8,24.9,0,0,1,7,0,0,0,0,24.3,1,1.4,517.795,24.98,1,210.663,91.6,522.295,15,6.64118217
23,2019,2019-07-22,7,2,25.3,7.8,8.3,3.8,0,0,1,7,0,0,0,0,27,0.5,1.7,212.758,25.15,0,216.843,94.28,178.841,15,6.637258031
2,2016,2016-09-06,9,0,25.2,8,5.2,11.7,0,0,0,0,0,0,0,0,23.1,0,0.9,186.612,25.22,0,219.231,95.3,190.904,15,6.621405652
2,2017,2017-09-19,9,0,22.9,8.6,7.6,34,0,0,0,0,0,0,0,0,21.1,11,1.8,270.21,25.3,3,222.124,96.6,235.775,15,6.621405652
2,2017,2017-11-04,11,0,14.8,7,9.5,7,0,0,0,0,0,0,0,0,6.2,0,1.2,143.526,25.18,0,217.863,94.7,156.276,15,6.621405652
2,2022,2022-05-30,5,1,24,6.9,4.5,15,0,0,0,0,0,0,0,0,19.5,0,1.1,264.6916148,25.09001937,1.613621691,213.5557831,89.79402195,274.223911,15,6.6147256
26,2018,2018-08-13,8,2,30.7,7.5,6.5,11.6,44,104,173,381,0,0,0,0,24.30624551,6.712880396,1.203677001,194.821,25.29,0.5,222.044,96.5,190.488,15,6.613384218
25,2018,2018-08-20,8,2,28.7,8.2,7.9,22.8,111,367,737,1197,0,4,4,4,28.3,0,2.1,183.736,25.18,0,217.968,94.8,192.195,15,6.609349243
26,2019,2019-09-02,9,0,25,7.6,8.2,14.2,44,104,173,381,0,0,0,0,12.95070755,0,1.144285714,204.735,24.89,0,207.419,90.19,271.693,15,6.603943825
25,2021,2021-08-30,8,2,24.4,8,8.4,13,111,367,737,1197,0,4,4,4,23.9,0,1,428.115,24.81,0,204.409,88.88,428.115,15,6.602587892
25,2019,2019-07-08,7,2,24.3,7.8,9.4,20,111,367,737,1197,0,4,4,4,24.2,0,2.1,176.461,25.01,0,211.769,92.08,180.669,15,6.555356892
2,2017,2017-10-24,10,0,17.7,8.3,9.3,19.9,0,0,0,0,0,0,0,0,10.2,0,0.7,174.187,25.14,0,216.506,94.1,174.187,15,6.552507887
28,2017,2017-09-11,9,0,22.5,7.4,9.2,59,85,526,769,1467,0,4,4,4,21,17,1.4,319.342,25.14,15.5,216.506,94.1,302.304,15,6.546785411
23,2019,2019-08-19,8,2,23.2,7.9,9.3,27.8,0,0,1,7,0,0,0,0,25.1,0,0.9,299.968,25.12,0,215.412,93.66,304.26,15,6.535241271
2,2021,2021-06-28,6,2,27.5,7.6,6.2,15.4,0,0,0,0,0,0,0,0,21.2,20,0.6,344.025,25.04,2,212.822,92.54,327.192,15,6.523562306
12,2016,2016-09-05,9,0,20.9,8.1,8.6,7.2,0,0,0,0,0,0,0,0,24.6,0,1.4,197.413,25.14,0,216.413,94.1,176.163,9,6.519147288
25,2017,2017-08-14,8,2,25.7,7.6,7.3,40.8,111,367,737,1197,0,4,4,4,24.30624551,1,1.203677001,517.795,24.98,1,210.663,91.6,522.295,15,6.519147288
28,2021,2021-08-23,8,2,25.3,8,8.5,18.3,85,526,769,1467,0,4,4,4,22.3,3.5,1.1,333.915,24.57,6,194.979,84.78,397.123,15,6.510258341
24,2020,2020-10-19,10,0,16.2,8.7,10.2,21.2,37,160,297,748,0,0,0,4,13.9,0,1.1,202.371,24.97,0,210.277,91.43,189.83,15,6.50578406
19,2021,2021-09-23,9,0,23.4,8.1,8.2,1.9,0,0,0,0,0,0,0,0,19.3,0,1.1,188.877,25.14,0,216.364,94.1,214.377,13,6.481577129
2,2017,2017-08-15,8,2,25.4,8.3,7.3,48.2,0,0,0,0,0,0,0,0,21.8,51,0.9,835.541,25.29,75,222.044,96.5,703.95,15,6.478509642
2,2017,2017-09-26,9,0,22.9,8.3,8.4,18.2,0,0,0,0,0,0,0,0,21,0,0.8,195.78,25.25,0,220.567,95.9,200.072,15,6.478509642
2,2017,2017-11-01,11,0,16.2,7.5,8.5,9.5,0,0,0,0,0,0,0,0,12.5,0,1.1,198.899,25.27,0,221.239,96.2,173.232,15,6.478509642
2,2019,2019-07-15,7,2,26.9,7.2,7.7,17.2,0,0,0,0,0,0,0,0,22.6,7.5,0.9,183.172,25.02,10,212.218,92.27,178.964,15,6.478509642
28,2017,2017-09-04,9,0,23,7.9,8.2,46.8,85,526,769,1467,0,4,4,4,23.6,0,1.1,680.338,25.21,0,219.095,95.3,591.632,15,6.458338283
24,2018,2018-08-06,8,2,29.5,8,7.4,20.2,37,160,297,748,0,0,0,4,30.5,15.5,1.3,225.83,25.22,8.5,219.435,95.4,208.747,15,6.452048954
26,2017,2017-09-04,9,0,22.4,7.8,8.2,28.3,44,104,173,381,0,0,0,0,22.2,0,0.5,680.338,25.21,0,219.095,95.3,591.632,15,6.445719819
28,2017,2017-09-25,9,0,22.3,8,9.4,71.4,85,526,769,1467,0,4,4,4,22.6,0,1.3,227.886,25.26,0,220.908,96.1,202.344,15,6.43775165
24,2018,2018-08-20,8,2,29.1,7.8,7,6.8,37,160,297,748,0,0,0,4,28.9,0,2.1,183.736,25.18,0,217.968,94.8,192.195,15,6.43775165
22,2018,2018-08-20,8,2,29.2,8.8,9.7,31.5,0,0,0,1,0,0,0,0,27.8,0,1.8,183.736,25.18,0,217.968,94.8,192.195,15,6.43775165
12,2018,2018-08-20,8,2,22.4,8.6,9.3,21.3,0,0,0,0,0,0,0,0,26.5,0,1.5,845.481,24.91,59,208.219,90.5,866.75,9,6.436150368
2,2016,2016-06-28,6,2,26.8,8.6,7.9,14.2,0,0,0,0,0,0,0,0,23.5,0,1,213.129,25.18,0,218.189,94.9,192.004,15,6.431331082
28,2016,2016-10-24,10,0,18.2,8.4,9.4,30.2,85,526,769,1467,0,4,4,4,14.7,0,1.6,164.131,25.26,0,220.908,96.1,138.381,15,6.431331082
17,2021,2021-09-23,9,0,22.7,7.7,7.5,9.9,0,0,0,0,0,0,0,0,19.2,0,1.5,36.542,102.4,0,130.886,93.98,14.375,12,6.426488457
25,2017,2017-08-07,8,2,26.1,7.7,7.3,27.2,111,367,737,1197,0,4,4,4,29.1,0,0.9,331.495,24.93,0,208.846,90.8,377.578,15,6.423246964
28,2019,2019-08-26,8,2,25.8,8.1,9.1,29.9,85,526,769,1467,0,4,4,4,26,0,1,176.57,25.12,0,215.778,93.82,185.07,15,6.423246964
17,2019,2019-08-13,8,2,25.5,8.7,7.2,7.6,0,0,0,0,0,0,0,0,28.1,2.5,1.3,121,101.51,0,119.011,85.46,107.625,12,6.415096959
2,2016,2016-07-04,7,2,23.4,8.6,8.1,16.6,0,0,0,0,0,0,0,0,20.7,57.8,0.5,845.481,24.91,59,208.219,90.5,866.75,15,6.415096959
28,2020,2020-10-05,10,0,18.7,8.4,9.5,14.2,85,526,769,1467,0,4,4,4,14.6,0,1.8,267.402,25.03,0,212.489,92.39,263.152,15,6.406879986
24,2017,2017-08-14,8,2,25.3,7.5,7.3,24.7,37,160,297,748,0,0,0,4,24.8,1,2.5,517.795,24.98,1,210.663,91.6,522.295,15,6.401917197
17,2020,2020-07-13,7,2,21,7.8,6.5,5.3,0,0,0,0,0,0,0,0,19.3,16.9,2.5,48.167,101.19,30,114.945,82.54,51,12,6.398594935
26,2017,2017-08-14,8,2,25.5,7.5,7.5,30.5,44,104,173,381,0,0,0,0,24.2,0.5,0.8,517.795,24.98,1,210.663,91.6,522.295,15,6.395261598
