obsryymtde,inflowqy,lowlevel,prcptqy,rsvwtqy,rsvwtrt,totdcwtrqy
2016-01-01,2.500,134.34,0.000,7.671,79,0.000
2016-01-02,2.167,134.48,0.000,7.872,81,0.000
2016-01-03,2.500,134.62,0.000,8.084,83.2,0.000
2016-01-04,2.583,134.62,0.000,8.084,83.2,2.475
2016-01-05,2.750,134.61,0.000,8.07,83.1,2.804
2016-01-06,2.750,134.58,0.000,8.022,82.6,3.123
2016-01-07,2.417,134.53,0.000,7.948,81.8,3.128
2016-01-08,2.417,134.48,0.000,7.874,81.1,3.135
2016-01-09,1.833,134.59,0.000,8.036,82.7,0.000
2016-01-10,1.833,134.7,0.000,8.2,84.4,0.000
2016-01-11,2.375,134.65,0.000,8.124,83.6,3.111
2016-01-12,2.375,134.6,0.000,8.05,82.9,3.118
2016-01-13,2.208,134.58,0.000,8.022,82.6,2.491
2016-01-14,2.167,134.52,0.000,7.934,81.7,3.132
2016-01-15,2.167,134.46,0.000,7.847,80.8,3.121
2016-01-16,1.667,134.56,0.000,7.996,82.3,0.000
2016-01-17,1.500,134.65,0.000,8.124,83.6,0.000
2016-01-18,2.250,134.59,0.500,8.036,82.7,3.121
2016-01-19,3.542,134.61,0.000,8.07,83.1,3.118
2016-01-20,0.042,134.5,0.000,7.907,81.4,1.883
2016-01-21,1.792,134.53,0.000,7.948,81.8,1.246
2016-01-22,1.208,134.45,0.000,7.834,80.6,2.499
2016-01-23,1.417,134.48,0.000,7.874,81.1,0.927
2016-01-24,1.500,134.51,0.000,7.921,81.5,0.948
2016-01-25,0.958,134.51,0.000,7.921,81.5,0.929
2016-01-26,1.292,134.51,0.000,7.921,81.5,1.251
2016-01-27,1.250,134.53,0.000,7.948,81.8,0.926
2016-01-28,1.292,134.55,0.000,7.982,82.2,0.934
2016-01-29,1.500,134.58,0.000,8.022,82.6,0.943
2016-01-30,1.625,134.6,0.000,8.05,82.9,1.248
2016-01-31,1.458,134.63,0.000,8.097,83.3,0.933
2016-02-01,1.667,134.65,0.000,8.124,83.6,1.256
2016-02-02,1.167,134.64,0.000,8.11,83.5,1.255
2016-02-03,1.292,134.64,0.000,8.11,83.5,1.240
2016-02-04,1.625,134.66,0.000,8.145,83.8,1.236
2016-02-05,1.250,134.66,0.000,8.145,83.8,1.227
2016-02-06,1.000,134.72,0.000,8.234,84.8,0.000
2016-02-07,1.292,134.74,0.000,8.263,85,0.923
2016-02-08,1.167,134.81,0.000,8.362,86.1,0.000
2016-02-09,1.333,134.83,0.000,8.396,86.4,0.938
2016-02-10,0.833,134.88,0.000,8.478,87.3,0.000
2016-02-11,1.917,134.49,0.000,7.887,81.2,8.816
2016-02-12,3.208,133.95,10.000,7.108,73.2,12.254
2016-02-13,2.542,133.86,6.500,7.007,72.1,3.814
2016-02-14,3.000,134.04,1.500,7.246,74.6,0.000
2016-02-15,3.542,134.14,0.000,7.387,76,1.884
2016-02-16,3.042,134.23,0.000,7.517,77.4,1.552
2016-02-17,2.917,134.29,0.000,7.602,78.2,1.870
2016-02-18,2.750,134.25,0.000,7.543,77.6,3.424
2016-02-19,2.792,134.19,0.000,7.459,76.8,3.750
2016-02-20,2.167,134.23,0.000,7.517,77.4,1.537
2016-02-21,2.000,134.35,0.000,7.688,79.1,0.000
2016-02-22,2.083,134.28,0.000,7.589,78.1,3.158
2016-02-23,2.042,134.2,0.000,7.472,76.9,3.404
2016-02-24,2.167,134.14,0.000,7.388,76,3.135
2016-02-25,2.292,133.99,0.000,7.172,73.8,4.933
2016-02-26,2.708,133.76,2.000,6.865,70.7,6.200
2016-02-27,2.792,133.53,3.500,6.562,67.5,6.201
2016-02-28,2.583,133.45,14.000,6.455,66.4,4.017
2016-02-29,3.375,133.25,1.000,6.204,63.9,6.192
2016-03-01,2.958,133.11,0.500,6.026,62,4.967
2016-03-02,2.458,133.08,0.000,5.984,61.6,3.084
2016-03-03,1.958,133.05,0.000,5.953,61.3,2.783
2016-03-04,3.042,133.05,2.000,5.953,61.3,3.093
2016-03-05,4.708,133.09,20.500,6.004,61.8,4.370
2016-03-06,29.250,134.17,1.000,7.427,76.4,12.760
2016-03-07,27.792,134.92,0.000,8.534,87.8,15.015
2016-03-08,15.583,135.03,0.000,8.705,89.6,13.803
2016-03-09,12.417,134.89,0.000,8.478,87.3,14.986
2016-03-10,10.250,134.6,0.000,8.05,82.9,14.978
2016-03-11,8.542,134.21,0.000,7.484,77,15.057
2016-03-12,7.500,133.76,0.000,6.865,70.7,14.784
2016-03-13,6.958,133.24,0.000,6.186,63.7,14.749
2016-03-14,6.625,132.74,0.000,5.578,57.4,13.540
2016-03-15,5.917,132.59,0.000,5.396,55.5,7.335
2016-03-16,4.875,132.35,0.000,5.131,52.8,7.992
2016-03-17,4.625,132.13,0.000,4.888,50.3,7.408
2016-03-18,3.625,132.42,2.500,5.207,53.6,0.000
2016-03-19,3.542,132.52,0.000,5.323,54.8,2.434
2016-03-20,3.750,132.54,0.000,5.344,55,3.638
2016-03-21,3.458,132.54,0.000,5.344,55,3.658
2016-03-22,3.125,132.56,0.000,5.37,55.3,3.039
2016-03-23,2.875,132.56,0.000,5.37,55.3,3.049
2016-03-24,2.750,132.55,0.000,5.359,55.2,3.057
2016-03-25,3.727,132.54,0.000,5.344,55,4.318
2016-03-26,2.625,132.51,0.000,5.312,54.7,3.096
2016-03-27,2.750,132.48,0.000,5.276,54.3,3.119
2016-03-28,2.375,132.43,0.000,5.219,53.7,3.082
2016-03-29,2.583,132.39,0.000,5.177,53.3,3.094
2016-03-30,1.750,132.4,0.000,5.182,53.3,1.850
2016-03-31,2.042,132.4,0.000,5.177,53.3,2.155
2016-04-01,1.875,132.37,0.000,5.151,53,2.156
2016-04-02,1.792,132.35,0.000,5.131,52.8,2.148
2016-04-03,2.083,132.35,2.500,5.131,52.8,2.160
2016-04-04,1.833,132.33,0.000,5.111,52.6,2.153
2016-04-05,1.625,132.34,0.000,5.121,52.7,1.538
2016-04-06,1.875,132.23,3.000,5.003,51.5,3.384
2016-04-07,4.208,132.25,45.000,5.019,51.7,3.704
2016-04-08,4.750,132.39,0.000,5.177,53.3,3.096
2016-04-09,4.875,132.54,0.000,5.344,55,2.761
2016-04-10,3.958,132.7,0.000,5.526,56.9,2.164
2016-04-11,4.458,132.6,0.000,5.418,55.8,5.537
2016-04-12,3.333,132.67,0.000,5.497,56.6,2.436
2016-04-13,11.167,133.46,31.500,6.467,66.6,0.000
2016-04-14,20.292,134.07,0.000,7.291,75.1,10.056
2016-04-15,14.833,134.08,0.000,7.304,75.2,15.081
2016-04-16,11.958,133.89,11.000,7.037,72.4,15.026
2016-04-17,39.917,135.2,16.500,8.972,92.4,17.283
2016-04-18,33.958,135.29,2.000,9.118,93.9,32.174
2016-04-19,25.458,135.12,0.000,8.856,91.2,28.496
2016-04-20,17.167,134.99,2.500,8.648,89,19.228
2016-04-21,28.042,135.09,22.500,8.798,90.6,26.348
