obsryymtde,inflowqy,lowlevel,prcptqy,rsvwtqy,rsvwtrt,totdcwtrqy
2016-01-01,22.642,40.33,0.127,163.868,57.1,19.487
2016-01-02,19.624,40.33,0.000,163.868,57.1,19.624
2016-01-03,16.411,40.32,0.000,163.596,57,19.566
2016-01-04,19.472,40.32,0.000,163.596,57,19.472
2016-01-05,19.661,40.32,0.000,163.596,57,19.661
2016-01-06,16.342,40.31,0.000,163.323,56.9,19.494
2016-01-07,16.242,40.3,0.000,163.051,56.8,19.392
2016-01-08,19.546,40.3,0.000,163.051,56.8,19.546
2016-01-09,16.384,40.29,0.000,162.779,56.8,19.532
2016-01-10,16.354,40.28,0.000,162.508,56.7,19.499
2016-01-11,13.179,40.26,0.000,161.965,52.4,19.463
2016-01-12,13.400,40.24,0.000,161.422,52.2,19.674
2016-01-13,16.468,40.23,0.000,161.152,52.1,19.602
2016-01-14,13.393,40.21,0.090,160.611,51.9,19.653
2016-01-15,13.332,40.19,0.000,160.071,51.8,19.583
2016-01-16,13.418,40.17,0.000,159.531,51.6,19.660
2016-01-17,16.436,40.16,1.626,159.262,51.5,19.553
2016-01-18,13.349,40.14,0.348,158.724,51.3,19.577
2016-01-19,10.259,40.11,0.053,157.918,51.1,19.583
2016-01-20,11.416,40.04,0.000,156.046,50.5,33.090
2016-01-21,10.422,39.83,0.030,150.487,48.7,74.756
2016-01-22,10.195,39.64,0.090,145.535,47.1,67.508
2016-01-23,12.959,39.55,0.000,143.215,46.3,39.810
2016-01-24,10.001,39.45,0.165,140.657,45.5,39.611
2016-01-25,13.203,39.36,1.187,138.372,44.8,39.649
2016-01-26,10.812,39.26,0.028,135.853,43.9,39.971
2016-01-27,14.164,39.17,0.264,133.603,43.2,40.204
2016-01-28,13.561,39.14,11.359,132.857,43,22.198
2016-01-29,28.545,39.2,12.953,134.351,43.5,11.249
2016-01-30,31.534,39.27,0.969,136.104,44,11.247
2016-01-31,28.656,39.33,0.000,137.614,44.5,11.175
2016-02-01,19.880,39.36,0.000,138.372,44.8,11.107
2016-02-02,16.938,39.38,0.000,138.879,44.9,11.078
2016-02-03,16.578,39.4,0.043,139.386,45.1,10.708
2016-02-04,16.783,39.42,0.000,139.894,45.2,10.904
2016-02-05,15.050,39.42,0.000,139.894,45.2,15.050
2016-02-06,14.113,39.4,0.000,139.386,45.1,19.992
2016-02-07,11.102,39.37,0.000,138.625,44.8,19.903
2016-02-08,10.774,39.37,0.000,138.625,44.8,10.774
2016-02-09,13.751,39.38,0.000,138.879,44.9,10.820
2016-02-10,13.870,39.39,0.000,139.132,45,10.936
2016-02-11,7.951,39.38,0.000,138.879,44.9,10.885
2016-02-12,70.038,39.58,36.978,143.987,46.6,10.913
2016-02-13,162.788,40.08,12.910,157.115,50.8,10.847
2016-02-14,162.320,40.56,0.325,170.193,55,10.952
2016-02-15,93.213,40.78,0.103,176.296,57,22.580
2016-02-16,60.600,40.85,0.000,178.231,57.6,38.194
