obsryymtde,inflowqy,lowlevel,prcptqy,rsvwtqy,rsvwtrt,totdcwtrqy
2016-01-01,0.312,188.75,0.000,38.099,51.1,1.469
2016-01-02,0.479,188.69,0.000,38.014,50.9,1.469
2016-01-03,0.480,188.63,0.000,37.928,50.8,1.469
2016-01-04,0.275,188.56,0.000,37.828,50.7,1.428
2016-01-05,0.164,188.49,0.000,37.729,50.6,1.315
2016-01-06,0.167,188.42,0.000,37.63,50.5,1.316
2016-01-07,0.170,188.35,0.000,37.531,50.3,1.318
2016-01-08,0.006,188.27,0.000,37.417,50.2,1.316
2016-01-09,0.173,188.2,0.000,37.318,50.1,1.317
2016-01-10,0.173,188.13,0.000,37.22,49.9,1.316
2016-01-11,0.178,188.06,0.000,37.121,50.4,1.319
2016-01-12,0.020,187.98,0.000,37.009,50.3,1.322
2016-01-13,0.022,187.9,0.000,36.896,50.1,1.322
2016-01-14,0.186,187.83,0.000,36.798,50,1.322
2016-01-15,0.026,187.75,0.000,36.686,49.9,1.322
2016-01-16,0.189,187.68,0.000,36.588,49.7,1.322
2016-01-17,0.029,187.6,3.905,36.477,49.6,1.322
2016-01-18,0.063,187.52,0.000,36.365,49.4,1.354
2016-01-19,0.084,187.44,0.242,36.254,49.3,1.373
2016-01-20,0.060,187.36,0.393,36.143,49.1,1.347
2016-01-21,0.061,187.28,0.000,36.032,49,1.345
2016-01-22,0.064,187.2,0.000,35.921,48.8,1.346
2016-01-23,0.066,187.12,0.000,35.81,48.7,1.346
2016-01-24,0.068,187.04,0.000,35.7,48.5,1.346
2016-01-25,0.000,186.95,0.000,35.576,48.3,1.345
2016-01-26,0.055,186.87,0.000,35.466,48.2,1.329
2016-01-27,0.116,186.79,0.000,35.356,48,1.388
2016-01-28,0.482,186.72,18.607,35.26,47.9,1.593
2016-01-29,1.281,186.71,21.535,35.246,47.9,1.440
2016-01-30,1.685,186.73,0.000,35.273,47.9,1.368
2016-01-31,1.267,186.72,0.000,35.26,47.9,1.426
2016-02-01,0.789,186.68,0.000,35.205,47.8,1.423
2016-02-02,0.790,186.64,0.000,35.15,47.8,1.424
2016-02-03,0.441,186.58,0.000,35.068,47.7,1.391
2016-02-04,0.428,186.52,0.000,34.986,47.5,1.377
2016-02-05,0.442,186.46,0.000,34.904,47.4,1.390
2016-02-06,0.285,186.39,0.000,34.809,47.3,1.389
2016-02-07,0.294,186.32,0.000,34.713,47.2,1.397
2016-02-08,0.318,186.25,0.000,34.619,47,1.412
2016-02-09,0.274,186.18,0.000,34.525,46.9,1.360
2016-02-10,0.263,186.11,0.000,34.431,46.8,1.348
2016-02-11,0.263,186.04,0.000,34.338,46.7,1.346
2016-02-12,0.736,186,27.845,34.284,46.6,1.354
2016-02-13,9.165,186.5,16.913,34.959,47.5,1.360
2016-02-14,10.736,187.09,0.000,35.769,48.6,1.360
2016-02-15,5.366,187.34,0.000,36.115,49.1,1.360
2016-02-16,3.290,187.46,0.000,36.282,49.3,1.360
2016-02-17,2.327,187.52,0.000,36.365,49.4,1.360
2016-02-18,1.672,187.54,0.000,36.393,49.5,1.350
2016-02-19,1.360,187.54,0.000,36.393,49.5,1.360
2016-02-20,1.360,187.54,0.000,36.393,49.5,1.360
2016-02-21,1.038,187.52,0.000,36.365,49.4,1.360
2016-02-22,0.877,187.49,0.000,36.323,49.4,1.360
2016-02-23,0.712,187.45,0.000,36.268,49.3,1.356
2016-02-24,0.709,187.41,0.000,36.212,49.2,1.353
2016-02-25,0.528,187.36,0.000,36.143,49.1,1.332
2016-02-26,0.557,187.31,0.000,36.073,49,1.360
2016-02-27,0.718,187.27,0.000,36.018,48.9,1.360
2016-02-28,0.558,187.22,0.000,35.948,48.8,1.360
2016-02-29,0.719,187.18,0.000,35.893,48.8,1.360
2016-03-01,0.560,187.13,0.000,35.824,48.7,1.360
2016-03-02,0.561,187.08,4.084,35.755,48.6,1.360
2016-03-03,0.402,187.02,0.000,35.672,48.5,1.360
2016-03-04,2.478,187.09,41.040,35.769,48.6,1.360
2016-03-05,12.950,187.81,19.393,36.77,50,1.360
2016-03-06,21.857,189.06,10.539,38.543,52.4,1.339
2016-03-07,10.382,189.6,0.000,39.322,53.4,1.360
2016-03-08,5.575,189.85,1.242,39.686,53.9,1.365
2016-03-09,3.896,190,6.758,39.905,54.2,1.360
