obsryymtde,inflowqy,lowlevel,prcptqy,rsvwtqy,rsvwtrt,totdcwtrqy
2016-01-01,14.494,172.71,0.000,"1,411.585",48.7,4.976
2016-01-02,14.476,172.73,0.000,"1,412.408",48.7,4.954
2016-01-03,14.513,172.75,0.000,"1,413.231",48.7,4.986
2016-01-04,14.506,172.77,0.000,"1,414.055",48.8,4.975
2016-01-05,14.512,172.79,0.000,"1,414.878",48.8,4.977
2016-01-06,4.997,172.79,0.000,"1,414.878",48.8,4.997
2016-01-07,9.736,172.8,0.000,"1,415.29",48.8,4.967
2016-01-08,9.751,172.81,0.000,"1,415.703",48.8,4.981
2016-01-09,4.966,172.81,0.000,"1,415.703",48.8,4.966
2016-01-10,9.740,172.82,0.000,"1,416.115",48.8,4.968
2016-01-11,9.756,172.83,0.000,"1,416.527",48.9,4.983
2016-01-12,4.969,172.83,0.000,"1,416.527",48.9,4.969
2016-01-13,9.767,172.84,0.000,"1,416.94",48.9,4.993
2016-01-14,9.754,172.85,0.000,"1,417.352",48.9,4.979
2016-01-15,4.978,172.85,0.000,"1,417.352",48.9,4.978
2016-01-16,9.746,172.86,0.000,"1,417.765",48.9,4.970
2016-01-17,4.960,172.86,0.000,"1,417.765",48.9,4.960
2016-01-18,9.729,172.87,0.212,"1,418.178",48.9,4.952
2016-01-19,4.954,172.87,0.000,"1,418.178",48.9,4.954
2016-01-20,4.972,172.87,0.000,"1,418.178",48.9,4.972
2016-01-21,4.988,172.87,0.000,"1,418.178",48.9,4.988
2016-01-22,0.180,172.86,0.000,"1,417.765",48.9,4.957
2016-01-23,4.951,172.86,0.000,"1,417.765",48.9,4.951
2016-01-24,4.944,172.86,0.000,"1,417.765",48.9,4.944
2016-01-25,0.247,172.85,0.000,"1,417.352",48.9,5.023
2016-01-26,9.776,172.86,0.000,"1,417.765",48.9,5.000
2016-01-27,5.000,172.86,0.000,"1,417.765",48.9,5.000
2016-01-28,5.000,172.86,0.000,"1,417.765",48.9,5.000
2016-01-29,9.777,172.87,0.078,"1,418.178",48.9,5.000
2016-01-30,5.000,172.87,0.000,"1,418.178",48.9,5.000
2016-01-31,5.000,172.87,0.000,"1,418.178",48.9,5.000
2016-02-01,9.778,172.88,0.000,"1,418.59",48.9,5.000
2016-02-02,5.000,172.88,0.000,"1,418.59",48.9,5.000
2016-02-03,5.000,172.88,0.000,"1,418.59",48.9,5.000
2016-02-04,9.779,172.89,0.000,"1,419.003",48.9,5.000
2016-02-05,5.000,172.89,0.000,"1,419.003",48.9,5.000
2016-02-06,5.000,172.89,0.078,"1,419.003",48.9,5.000
2016-02-07,5.000,172.89,0.000,"1,419.003",48.9,5.000
2016-02-08,9.780,172.9,1.325,"1,419.416",49,5.000
2016-02-09,5.000,172.9,0.674,"1,419.416",49,5.000
2016-02-10,5.000,172.9,0.000,"1,419.416",49,5.000
2016-02-11,5.000,172.9,0.000,"1,419.416",49,5.000
2016-02-12,19.348,172.93,14.834,"1,420.656",49,5.000
2016-02-13,38.516,173,21.229,"1,423.552",49.1,5.000
2016-02-14,57.777,173.11,4.612,"1,428.112",49.3,5.000
2016-02-15,38.655,173.18,0.000,"1,431.02",49.4,5.000
2016-02-16,24.255,173.22,0.000,"1,432.683",49.4,5.000
2016-02-17,19.453,173.25,0.000,"1,433.932",49.5,5.000
2016-02-18,14.641,173.27,0.601,"1,434.765",49.5,5.000
2016-02-19,19.470,173.3,0.145,"1,436.015",49.5,5.000
2016-02-20,14.652,173.32,0.000,"1,436.849",49.6,5.000
2016-02-21,9.828,173.33,0.000,"1,437.266",49.6,5.000
2016-02-22,14.659,173.35,0.000,"1,438.101",49.6,5.000
2016-02-23,14.663,173.37,0.000,"1,438.935",49.6,5.000
2016-02-24,9.833,173.38,0.000,"1,439.353",49.6,5.000
2016-02-25,9.834,173.39,0.000,"1,439.771",49.7,5.000
2016-02-26,9.835,173.4,0.000,"1,440.189",49.7,5.000
2016-02-27,9.836,173.41,0.405,"1,440.606",49.7,5.000
2016-02-28,14.676,173.43,7.056,"1,441.442",49.7,5.000
2016-02-29,9.840,173.44,0.090,"1,441.861",49.7,5.000
2016-03-01,9.841,173.45,0.000,"1,442.279",49.7,5.000
2016-03-02,14.685,173.47,0.000,"1,443.116",49.8,5.000
2016-03-03,24.383,173.51,0.000,"1,444.79",49.8,5.000
2016-03-04,24.401,173.55,0.000,"1,446.467",49.9,5.000
2016-03-05,58.443,173.66,37.184,"1,451.084",50,5.000
2016-03-06,249.606,174.16,0.055,"1,472.218",50.8,5.000
2016-03-07,103.616,174.36,0.000,"1,480.738",51.1,5.000
2016-03-08,69.338,174.49,0.000,"1,486.297",51.3,5.000
2016-03-09,49.651,174.58,0.078,"1,490.155",51.4,5.000
2016-03-10,39.791,174.65,0.000,"1,493.161",51.5,5.000
2016-03-11,34.864,174.71,0.000,"1,495.741",51.6,5.000
2016-03-12,29.917,174.76,0.000,"1,497.894",51.7,5.000
2016-03-13,29.945,174.81,0.000,"1,500.049",51.7,5.000
2016-03-14,24.976,174.85,0.000,"1,501.775",51.8,5.000
2016-03-15,24.994,174.89,0.000,"1,503.503",51.8,5.000
2016-03-16,20.007,174.92,0.000,"1,504.799",51.9,5.000
2016-03-17,25.025,174.96,0.000,"1,506.529",52,5.000
2016-03-18,20.030,174.99,0.000,"1,507.828",52,5.000
2016-03-19,25.056,175.03,0.000,"1,509.561",52.1,5.000
2016-03-20,20.053,175.06,0.000,"1,510.861",52.1,5.000
2016-03-21,20.063,175.09,0.000,"1,512.163",52.1,5.000
2016-03-22,25.100,175.13,0.000,"1,513.9",52.2,5.000
2016-03-23,20.087,175.16,0.791,"1,515.203",52.3,5.000
2016-03-24,20.097,175.19,0.000,"1,516.508",52.3,5.000
2016-03-25,20.107,175.22,0.083,"1,517.813",52.3,5.000
2016-03-26,20.117,175.25,0.000,"1,519.119",52.4,5.000
2016-03-27,20.127,175.28,0.000,"1,520.426",52.4,5.000
2016-03-28,20.137,175.31,0.000,"1,521.734",52.5,5.000
2016-03-29,20.147,175.34,0.389,"1,523.042",52.5,5.000
2016-03-30,20.157,175.37,0.000,"1,524.352",52.6,5.000
2016-03-31,20.167,175.4,0.000,"1,525.662",52.6,5.000
2016-04-01,20.177,175.43,0.000,"1,526.974",52.7,5.000
2016-04-02,20.187,175.46,0.000,"1,528.286",52.7,5.000
2016-04-03,25.265,175.5,3.339,"1,530.037",52.8,5.000
2016-04-04,25.282,175.54,0.000,"1,531.789",52.8,5.000
2016-04-05,25.254,175.58,0.000,"1,533.543",52.9,4.954
2016-04-06,25.318,175.62,0.328,"1,535.298",52.9,5.000
2016-04-07,30.423,175.67,11.257,"1,537.495",53,5.000
2016-04-08,40.638,175.74,0.000,"1,540.574",53.1,5.000
2016-04-09,30.489,175.79,0.000,"1,542.776",53.2,5.000
2016-04-10,40.732,175.86,0.064,"1,545.864",53.3,5.000
2016-04-11,30.556,175.91,0.000,"1,548.072",53.4,5.000
2016-04-12,25.465,175.95,0.000,"1,549.84",53.4,5.000
2016-04-13,25.483,175.99,0.302,"1,551.609",53.5,5.000
2016-04-14,30.629,176.04,0.000,"1,553.824",53.6,5.000
2016-04-15,20.390,176.07,0.000,"1,555.154",53.6,5.000
2016-04-16,40.950,176.14,28.355,"1,558.26",53.7,5.000
