obsryymtde,inflowqy,lowlevel,prcptqy,rsvwtqy,rsvwtrt,totdcwtrqy
2016-01-01,3.278,146.52,0.000,36.678,35.5,4.580
2016-01-02,3.303,146.49,0.000,36.566,35.4,4.603
2016-01-03,3.308,146.46,0.000,36.454,35.3,4.606
2016-01-04,3.291,146.43,0.000,36.342,35.2,4.586
2016-01-05,3.281,146.4,0.000,36.23,35.1,4.574
2016-01-06,2.878,146.36,0.000,36.082,35,4.599
2016-01-07,3.294,146.33,0.000,35.97,34.9,4.582
2016-01-08,2.885,146.29,0.000,35.822,34.7,4.599
2016-01-09,3.765,146.27,0.000,35.748,34.6,4.620
2016-01-10,3.289,146.24,0.000,35.638,34.5,4.570
2016-01-11,3.325,146.21,0.000,35.527,34.4,4.604
2016-01-12,2.849,146.16,0.000,35.343,34.2,4.976
2016-01-13,3.160,146.13,0.000,35.233,34.1,4.433
2016-01-14,2.467,146.09,0.000,35.087,34,4.161
2016-01-15,4.145,146.08,0.000,35.05,34,4.568
2016-01-16,2.519,146.03,0.000,34.868,33.8,4.630
2016-01-17,3.630,146.01,2.181,34.795,33.7,4.473
2016-01-18,2.574,145.96,0.500,34.614,33.5,4.676
2016-01-19,2.665,145.91,0.000,34.433,33.4,4.761
2016-01-20,4.300,145.89,0.000,34.36,33.3,5.137
2016-01-21,2.594,145.84,0.000,34.18,33.1,4.682
2016-01-22,3.402,145.81,0.000,34.072,33,4.652
2016-01-23,2.662,145.76,0.000,33.892,32.8,4.740
2016-01-24,3.023,145.72,0.000,33.749,32.7,4.681
2016-01-25,4.218,145.69,0.000,33.642,32.6,5.459
2016-01-26,3.471,145.65,0.000,33.499,32.5,5.122
2016-01-27,4.033,145.62,0.000,33.393,32.4,5.269
2016-01-28,3.612,145.61,0.000,33.357,32.3,4.023
2016-01-29,2.698,145.6,12.491,33.322,32.3,3.109
2016-01-30,3.275,145.6,2.048,33.322,32.3,3.275
2016-01-31,3.234,145.6,0.000,33.322,32.3,3.234
2016-02-01,3.246,145.6,0.000,33.322,32.3,3.246
2016-02-02,3.227,145.6,0.000,33.322,32.3,3.227
2016-02-03,3.254,145.6,0.000,33.322,32.3,3.254
2016-02-04,2.853,145.59,0.000,33.286,32.3,3.264
2016-02-05,3.296,145.59,0.000,33.286,32.3,3.296
2016-02-06,3.339,145.59,0.000,33.286,32.3,3.339
2016-02-07,2.933,145.58,0.000,33.251,32.2,3.344
2016-02-08,2.788,145.57,0.000,33.215,32.2,3.198
2016-02-09,3.231,145.57,0.000,33.215,32.2,3.231
2016-02-10,3.282,145.57,0.000,33.215,32.2,3.282
2016-02-11,2.845,145.56,0.000,33.18,32.2,3.255
2016-02-12,3.228,145.56,10.277,33.18,32.2,3.228
2016-02-13,3.675,145.57,12.638,33.215,32.2,3.265
2016-02-14,5.272,145.62,0.271,33.393,32.4,3.217
2016-02-15,5.712,145.68,0.000,33.606,32.6,3.239
2016-02-16,5.286,145.73,0.000,33.785,32.7,3.218
2016-02-17,4.491,145.76,0.000,33.892,32.8,3.247
