obsryymtde,inflowqy,lowlevel,prcptqy,rsvwtqy,rsvwtrt,totdcwtrqy
2016-01-01,1.470,139.43,0.000,71.732,44.8,3.875
2016-01-02,1.517,139.39,0.000,71.525,44.6,3.918
2016-01-03,1.611,139.35,0.000,71.318,44.5,4.008
2016-01-04,1.540,139.31,0.000,71.111,44.4,3.933
2016-01-05,1.615,139.27,0.000,70.905,44.3,4.004
2016-01-06,0.951,139.22,0.000,70.647,44.1,3.931
2016-01-07,1.547,139.18,0.000,70.442,44,3.927
2016-01-08,1.439,139.14,0.000,70.236,43.8,3.814
2016-01-09,1.523,139.1,0.000,70.031,43.7,3.894
2016-01-10,0.918,139.05,0.000,69.776,43.5,3.877
2016-01-11,1.047,139,0.000,69.521,43.4,3.999
2016-01-12,0.559,138.94,0.000,69.215,43.2,4.094
2016-01-13,1.012,138.89,0.000,68.961,43,3.951
2016-01-14,1.034,138.84,0.000,68.708,42.9,3.966
2016-01-15,1.109,138.79,0.000,68.455,42.7,4.035
2016-01-16,0.503,138.73,0.000,68.153,42.5,4.006
2016-01-17,1.006,138.68,4.825,67.901,42.4,3.918
2016-01-18,0.490,138.62,0.350,67.6,42.2,3.977
2016-01-19,1.045,138.57,0.000,67.349,42,3.944
2016-01-20,1.103,138.52,0.000,67.099,41.9,3.995
2016-01-21,0.585,138.46,0.000,66.8,41.7,4.048
2016-01-22,1.227,138.41,0.000,66.552,41.5,4.106
2016-01-23,0.224,138.34,0.000,66.204,41.3,4.244
2016-01-24,1.272,138.29,0.000,65.957,41.2,4.136
2016-01-25,0.000,138.21,0.000,65.562,40.9,4.175
2016-01-26,0.975,138.15,0.000,65.267,40.7,4.391
2016-01-27,1.141,138.09,0.000,64.972,40.5,4.548
2016-01-28,0.993,138.03,11.755,64.679,40.4,4.391
2016-01-29,1.973,137.99,24.825,64.484,40.2,4.234
2016-01-30,4.444,137.99,1.320,64.484,40.2,4.444
2016-01-31,4.442,137.99,0.000,64.484,40.2,4.442
2016-02-01,4.409,137.99,0.000,64.484,40.2,4.409
2016-02-02,3.724,137.98,0.000,64.435,40.2,4.289
2016-02-03,3.055,137.96,0.000,64.337,40.2,4.183
2016-02-04,3.152,137.94,0.000,64.24,40.1,4.279
2016-02-05,2.015,137.9,0.000,64.045,40,4.267
2016-02-06,1.870,137.85,0.000,63.803,39.8,4.679
2016-02-07,2.311,137.81,0.000,63.609,39.7,4.554
2016-02-08,0.706,137.75,0.000,63.319,39.5,4.063
2016-02-09,1.760,137.71,0.000,63.126,39.4,3.993
2016-02-10,1.487,137.66,0.000,62.885,39.2,4.273
2016-02-11,1.336,137.61,0.000,62.645,39.1,4.116
2016-02-12,1.275,137.56,3.525,62.405,38.9,4.049
2016-02-13,1.866,137.52,7.015,62.214,38.8,4.080
2016-02-14,4.765,137.53,0.000,62.262,38.9,4.212
2016-02-15,5.235,137.55,0.000,62.357,38.9,4.128
2016-02-16,4.605,137.56,0.000,62.405,38.9,4.051
2016-02-17,4.775,137.57,0.000,62.453,39,4.221
2016-02-18,3.521,137.56,0.000,62.405,38.9,4.075
2016-02-19,3.130,137.54,0.000,62.31,38.9,4.238
2016-02-20,2.623,137.51,0.000,62.166,38.8,4.283
2016-02-21,2.399,137.48,0.000,62.023,38.7,4.056
2016-02-22,3.546,137.47,0.000,61.975,38.7,4.098
2016-02-23,1.185,137.42,0.000,61.737,38.5,3.941
2016-02-24,2.280,137.39,0.000,61.595,38.4,3.931
2016-02-25,1.674,137.35,0.000,61.405,38.3,3.872
2016-02-26,1.760,137.31,0.000,61.215,38.2,3.954
2016-02-27,1.381,137.26,0.000,60.979,38.1,4.118
2016-02-28,1.859,137.22,6.395,60.79,37.9,4.044
2016-02-29,1.649,137.18,0.000,60.601,37.8,3.830
2016-03-01,1.288,137.13,0.000,60.366,37.7,4.009
2016-03-02,1.732,137.09,0.000,60.179,37.6,3.904
2016-03-03,1.248,137.04,0.000,59.945,37.4,3.958
2016-03-04,2.777,137.02,17.460,59.851,37.4,3.859
2016-03-05,5.074,137.04,25.730,59.945,37.4,3.992
2016-03-06,70.291,138.23,18.365,65.661,41,4.132
2016-03-07,28.465,138.65,0.000,67.75,42.3,4.279
2016-03-08,15.270,138.84,0.000,68.708,42.9,4.184
2016-03-09,10.735,138.95,0.515,69.266,43.2,4.276
2016-03-10,7.789,139.01,0.000,69.572,43.4,4.253
2016-03-11,6.220,139.04,0.000,69.725,43.5,4.449
2016-03-12,5.040,139.05,0.000,69.776,43.5,4.449
2016-03-13,5.040,139.06,0.000,69.827,43.6,4.449
2016-03-14,4.581,139.06,0.000,69.827,43.6,4.581
2016-03-15,3.765,139.05,0.000,69.776,43.5,4.356
2016-03-16,2.659,139.03,0.000,69.674,43.5,3.841
2016-03-17,2.737,139.01,0.000,69.572,43.4,3.918
2016-03-18,3.244,139,12.555,69.521,43.4,3.834
2016-03-19,3.476,138.99,0.000,69.47,43.4,4.066
2016-03-20,3.838,138.99,0.000,69.47,43.4,3.838
2016-03-21,2.879,138.97,0.000,69.368,43.3,4.058
2016-03-22,3.204,138.96,0.000,69.317,43.3,3.793
2016-03-23,2.808,138.94,0.000,69.215,43.2,3.985
2016-03-24,2.492,138.92,1.160,69.114,43.1,3.668
2016-03-25,2.650,138.9,2.475,69.012,43.1,3.825
2016-03-26,2.195,138.87,0.515,68.86,43,3.956
2016-03-27,2.785,138.85,0.000,68.759,42.9,3.958
2016-03-28,2.374,138.82,0.220,68.607,42.8,4.131
2016-03-29,1.877,138.78,0.000,68.405,42.7,4.216
2016-03-30,2.135,138.75,0.000,68.253,42.6,3.887
2016-03-31,1.847,138.71,0.000,68.052,42.5,4.179
2016-04-01,1.364,138.66,0.000,67.8,42.3,4.274
2016-04-02,1.467,138.61,0.000,67.55,42.2,4.371
2016-04-03,3.560,138.6,12.365,67.5,42.1,4.140
2016-04-04,3.605,138.59,4.720,67.449,42.1,4.185
2016-04-05,4.357,138.59,0.000,67.449,42.1,4.357
2016-04-06,5.437,138.61,13.820,67.55,42.2,4.277
2016-04-07,44.223,139.29,29.205,71.008,44.3,4.198
2016-04-08,33.008,139.76,0.000,73.457,45.8,4.663
2016-04-09,16.700,139.96,0.000,74.514,46.5,4.468
2016-04-10,10.529,140.06,0.000,75.045,46.8,4.375
2016-04-11,6.811,140.1,0.000,75.259,47,4.342
2016-04-12,7.350,140.15,0.000,75.526,47.1,4.258
2016-04-13,6.560,140.19,9.675,75.74,47.3,4.082
2016-04-14,4.934,140.2,0.000,75.793,47.3,4.314
2016-04-15,3.710,140.19,0.000,75.74,47.3,4.330
2016-04-16,3.085,140.17,13.025,75.633,47.2,4.324
2016-04-17,12.956,140.31,6.515,76.384,47.7,4.258
2016-04-18,10.021,140.4,0.000,76.87,48,4.403
2016-04-19,9.276,140.48,0.000,77.303,48.2,4.265
2016-04-20,6.295,140.51,0.000,77.465,48.3,4.412
2016-04-21,9.076,140.59,19.385,77.9,48.6,4.042
2016-04-22,11.301,140.7,0.000,78.5,49,4.353
2016-04-23,10.017,140.79,0.000,78.994,49.3,4.309
2016-04-24,6.919,140.83,0.000,79.213,49.4,4.375
2016-04-25,7.765,140.88,0.000,79.489,49.6,4.580
2016-04-26,1.945,140.84,0.000,79.268,49.5,4.494
2016-04-27,7.844,140.9,37.720,79.599,49.7,4.019
2016-04-28,37.892,141.42,5.740,82.496,51.5,4.354
2016-04-29,22.050,141.69,0.000,84.025,52.4,4.359
2016-04-30,14.405,141.84,0.000,84.881,53,4.495
2016-05-01,9.837,141.92,0.000,85.34,53.3,4.527
2016-05-02,5.319,141.93,0.000,85.397,53.3,4.654
2016-05-03,8.652,141.99,18.295,85.743,53.5,4.657
2016-05-04,12.388,142.1,0.000,86.377,53.9,5.040
2016-05-05,9.348,142.16,0.000,86.725,54.1,5.326
2016-05-06,5.997,142.17,0.000,86.783,54.2,5.326
2016-05-07,4.655,142.16,0.000,86.725,54.1,5.326
2016-05-08,3.984,142.14,0.000,86.609,54.1,5.326
2016-05-09,3.138,142.11,0.000,86.435,53.9,5.148
2016-05-10,4.099,142.1,22.985,86.377,53.9,4.769
2016-05-11,5.175,142.11,1.295,86.435,53.9,4.505
2016-05-12,1.993,142.07,0.000,86.204,53.8,4.670
2016-05-13,4.636,142.07,0.000,86.204,53.8,4.636
2016-05-14,3.301,142.05,0.000,86.089,53.7,4.638
2016-05-15,1.082,142,0.000,85.8,53.5,4.420
2016-05-16,4.649,142,18.610,85.8,53.5,4.649
2016-05-17,4.645,142,0.000,85.8,53.5,4.645
2016-05-18,2.104,141.96,0.000,85.57,53.4,4.769
2016-05-19,0.706,141.9,0.000,85.225,53.2,4.696
2016-05-20,1.550,141.85,0.000,84.939,53,4.868
2016-05-21,1.426,141.8,0.000,84.652,52.8,4.737
2016-05-22,0.651,141.74,0.000,84.31,52.6,4.616
2016-05-23,1.911,141.7,0.000,84.082,52.5,4.549
2016-05-24,1.067,141.65,13.865,83.797,52.3,4.359
2016-05-25,1.512,141.6,0.000,83.514,52.1,4.797
2016-05-26,0.868,141.54,0.000,83.174,51.9,4.802
2016-05-27,1.024,141.48,0.000,82.835,51.7,4.948
2016-05-28,0.220,141.41,0.000,82.44,51.4,4.786
2016-05-29,0.730,141.35,0.000,82.103,51.2,4.634
2016-05-30,0.865,141.29,0.000,81.766,51,4.760
2016-05-31,0.232,141.22,0.000,81.375,50.8,4.764
2016-06-01,0.136,141.15,0.000,80.984,50.5,4.655
2016-06-02,0.481,141.08,0.000,80.595,50.3,4.987
2016-06-03,0.462,141.01,0.000,80.207,50.1,4.956
2016-06-04,0.031,140.94,1.720,79.82,49.8,4.512
2016-06-05,0.000,140.86,0.000,79.378,49.5,4.881
2016-06-06,0.322,140.8,2.145,79.049,49.3,4.140
2016-06-07,0.130,140.74,0.000,78.719,49.1,3.939
2016-06-08,0.042,140.68,8.955,78.391,48.9,3.842
2016-06-09,0.642,140.62,0.000,78.064,48.7,4.433
2016-06-10,0.397,140.55,0.000,77.683,48.5,4.808
2016-06-11,0.000,140.47,0.000,77.248,48.2,4.955
2016-06-12,0.293,140.4,0.000,76.87,48,4.677
2016-06-13,0.459,140.33,0.000,76.492,47.7,4.830
2016-06-14,0.305,140.26,0.000,76.115,47.5,4.664
2016-06-15,0.663,140.19,0.000,75.74,47.3,5.009
2016-06-16,0.377,140.12,3.205,75.365,47,4.711
2016-06-17,0.711,140.05,0.000,74.992,46.8,5.032
2016-06-18,0.122,139.97,0.000,74.567,46.5,5.045
2016-06-19,0.619,139.9,1.525,74.196,46.3,4.913
2016-06-20,0.631,139.83,0.000,73.826,46.1,4.913
2016-06-21,0.006,139.75,0.000,73.404,45.8,4.884
2016-06-22,0.538,139.68,1.085,73.036,45.6,4.793
2016-06-23,0.087,139.6,0.515,72.618,45.3,4.935
2016-06-24,1.172,139.54,18.250,72.304,45.1,4.797
2016-06-25,0.639,139.47,0.000,71.94,44.9,4.857
2016-06-26,0.032,139.39,0.000,71.525,44.6,4.837
2016-06-27,0.125,139.31,0.000,71.111,44.4,4.914
2016-06-28,0.671,139.24,0.000,70.75,44.2,4.848
2016-06-29,0.691,139.17,0.000,70.39,43.9,4.856
2016-06-30,0.729,139.1,0.000,70.031,43.7,4.882
2016-07-01,2.491,139.06,35.175,69.827,43.6,4.858
2016-07-02,3.580,139.04,19.915,69.725,43.5,4.762
