obsryymtde,inflowqy,lowlevel,prcptqy,rsvwtqy,rsvwtrt,totdcwtrqy
2016-01-01,19.875,71.29,0.000,82.477,96.3,19.917
2016-01-02,21.917,71.3,0.000,82.626,96.5,20.208
2016-01-03,15.708,71.3,0.000,82.626,96.5,15.667
2016-01-04,15.000,71.3,0.000,82.626,96.5,15.000
2016-01-05,13.792,71.26,0.000,82.029,95.8,20.667
2016-01-06,17.167,71.24,0.000,81.732,95.4,20.500
2016-01-07,15.750,71.24,0.000,81.732,95.4,15.750
2016-01-08,24.875,71.19,0.000,80.991,94.6,33.375
2016-01-09,20.542,71.19,0.000,80.991,94.6,20.500
2016-01-10,20.375,71.19,0.000,80.991,94.6,20.375
2016-01-11,18.958,71.19,0.000,80.991,94.6,20.667
2016-01-12,21.167,71.19,0.000,80.991,94.6,21.125
2016-01-13,20.833,71.19,0.000,80.991,94.6,20.792
2016-01-14,20.708,71.19,0.000,80.991,94.6,20.708
2016-01-15,20.875,71.19,0.000,80.991,94.6,20.833
2016-01-16,20.875,71.19,0.000,80.991,94.6,20.833
2016-01-17,21.042,71.19,0.000,80.991,94.6,21.000
2016-01-18,20.875,71.19,0.000,80.991,94.6,20.833
2016-01-19,34.833,71.22,0.000,81.435,95.1,29.708
2016-01-20,14.667,71.19,0.000,80.991,94.6,19.792
2016-01-21,27.583,71.23,0.000,81.583,95.3,20.750
2016-01-22,9.292,71.19,0.000,80.991,94.6,16.125
2016-01-23,16.125,71.19,0.000,80.991,94.6,16.125
2016-01-24,16.125,71.19,0.000,80.991,94.6,16.125
2016-01-25,17.292,71.21,0.000,81.287,94.9,15.583
2016-01-26,29.417,71.19,0.000,80.991,94.6,31.083
2016-01-27,12.292,71.18,0.000,80.843,94.4,14.000
2016-01-28,3.292,71.17,0.000,80.695,94.2,5.000
2016-01-29,23.125,71.16,0.000,80.548,94,24.833
2016-01-30,3.292,71.15,0.000,80.401,93.9,5.000
2016-01-31,3.292,71.14,0.000,80.253,93.7,5.000
2016-02-01,5.000,71.14,0.000,80.253,93.7,5.000
2016-02-02,16.958,71.21,0.000,81.287,94.9,5.000
2016-02-03,12.750,71.19,0.000,80.991,94.6,16.167
2016-02-04,9.792,71.19,0.000,80.991,94.6,9.792
2016-02-05,9.792,71.21,0.000,81.287,94.9,9.792
2016-02-06,13.250,71.21,0.000,81.287,94.9,9.833
2016-02-07,8.333,71.21,0.000,81.287,94.9,10.042
2016-02-08,11.458,71.22,0.000,81.435,95.1,9.750
2016-02-09,9.792,71.21,0.000,81.287,94.9,9.792
2016-02-10,11.458,71.22,0.000,81.435,95.1,9.750
2016-02-11,9.792,71.22,0.000,81.435,95.1,9.792
2016-02-12,25.042,71.19,23.000,80.991,94.6,30.167
2016-02-13,11.958,71.26,15.000,82.029,95.8,0.000
2016-02-14,48.000,71.24,6.000,81.732,95.4,51.417
2016-02-15,6.875,71.28,0.000,82.328,96.1,0.000
2016-02-16,10.542,71.26,1.000,82.029,95.8,14.000
2016-02-17,20.750,71.23,0.000,81.583,95.3,25.917
2016-02-18,33.792,71.19,1.000,80.991,94.6,40.625
2016-02-19,23.000,71.21,0.000,81.287,94.9,19.583
2016-02-20,12.708,71.19,0.000,80.991,94.6,16.125
2016-02-21,16.125,71.19,0.000,80.991,94.6,16.125
2016-02-22,23.792,71.19,0.000,80.991,94.6,23.792
2016-02-23,26.958,71.21,0.000,81.287,94.9,23.542
2016-02-24,22.958,71.21,0.000,81.287,94.9,19.542
2016-02-25,15.292,71.21,0.000,81.287,94.9,15.292
2016-02-26,15.375,71.21,0.000,81.287,94.9,15.375
2016-02-27,15.417,71.21,0.000,81.287,94.9,15.417
2016-02-28,15.333,71.21,3.000,81.287,94.9,15.333
2016-02-29,21.292,71.22,0.000,81.435,95.1,19.583
2016-03-01,13.750,71.21,0.000,81.287,94.9,15.458
2016-03-02,15.417,71.21,0.000,81.287,94.9,15.417
2016-03-03,15.417,71.21,0.000,81.287,94.9,15.417
2016-03-04,33.875,71.08,0.000,79.374,92.7,56.083
2016-03-05,53.500,71.1,46.000,79.501,92.8,50.000
2016-03-06,57.250,71.3,0.000,82.626,96.5,23.083
2016-03-07,51.125,71.17,0.000,80.651,94.2,73.458
2016-03-08,55.625,71.11,0.000,79.813,93.2,65.792
2016-03-09,46.583,71.16,0.000,80.548,94,38.083
2016-03-10,34.417,71.15,0.000,80.401,93.9,36.083
2016-03-11,40.417,71.17,0.000,80.695,94.2,36.917
2016-03-12,35.833,71.17,0.000,80.695,94.2,35.792
2016-03-13,33.333,71.16,0.000,80.548,94,35.083
2016-03-14,44.667,71.19,0.000,80.991,94.6,39.542
2016-03-15,46.458,71.21,0.000,81.287,94.9,39.667
2016-03-16,47.750,71.21,0.000,81.287,94.9,49.458
2016-03-17,69.917,71.16,0.000,80.548,94,76.875
2016-03-18,68.250,71.14,0.000,80.253,93.7,71.583
2016-03-19,54.542,71.14,0.000,80.253,93.7,54.500
2016-03-20,82.583,71.21,0.000,81.287,94.9,70.750
2016-03-21,65.875,71.15,0.000,80.401,93.9,76.167
2016-03-22,19.250,71.18,0.000,80.843,94.4,14.125
2016-03-23,29.083,71.17,0.000,80.695,94.2,30.792
2016-03-24,39.417,71.17,0.000,80.695,94.2,39.417
2016-03-25,38.708,71.19,0.000,80.991,94.6,35.250
2016-03-26,43.958,71.19,0.000,80.991,94.6,43.917
2016-03-27,39.458,71.19,0.000,80.991,94.6,39.458
2016-03-28,43.792,71.19,0.000,80.991,94.6,43.750
2016-03-29,43.167,71.19,0.500,80.991,94.6,43.208
2016-03-30,44.833,71.19,0.000,80.991,94.6,44.875
2016-03-31,42.375,71.17,0.000,80.695,94.2,45.708
2016-04-01,43.625,71.16,0.000,80.548,94,45.250
2016-04-02,43.458,71.15,0.000,80.401,93.9,45.167
2016-04-03,45.292,71.15,3.000,80.401,93.9,45.208
2016-04-04,43.458,71.05,0.000,78.936,92.2,60.417
2016-04-05,57.000,70.94,0.000,77.343,90.3,75.417
2016-04-06,57.875,70.83,1.000,75.769,88.5,76.000
