obsryymtde,inflowqy,lowlevel,prcptqy,rsvwtqy,rsvwtrt,totdcwtrqy
2016-01-01,23.667,50.69,0.000,156.412,96.1,21.250
2016-01-02,25.125,50.69,0.000,156.412,96.1,25.083
2016-01-03,21.125,50.69,0.000,156.594,96.2,21.083
2016-01-04,20.667,50.68,0.000,156.214,96,22.875
2016-01-05,22.708,50.68,0.000,156.214,96,22.667
2016-01-06,21.542,50.66,0.000,155.811,95.7,26.167
2016-01-07,25.375,50.66,0.000,155.811,95.7,22.958
2016-01-08,33.458,50.68,0.000,156.214,96,28.833
2016-01-09,25.208,50.69,0.000,156.412,96.1,22.875
2016-01-10,16.542,50.67,0.000,156.113,95.9,21.125
2016-01-11,28.375,50.7,0.000,156.614,96.2,21.333
2016-01-12,22.958,50.7,0.000,156.614,96.2,22.875
2016-01-13,21.208,50.71,0.500,156.816,96.4,21.208
2016-01-14,25.417,50.71,0.000,156.816,96.4,23.083
2016-01-15,25.000,50.72,0.000,157.019,96.5,22.667
2016-01-16,26.333,50.75,0.000,157.715,96.9,19.375
2016-01-17,26.333,50.78,0.000,158.231,97.2,19.333
2016-01-18,16.333,50.76,0.500,157.834,97,21.042
2016-01-19,27.208,50.73,0.000,157.22,96.6,34.250
2016-01-20,11.875,50.69,0.000,156.412,96.1,21.208
2016-01-21,25.708,50.71,0.000,156.816,96.4,21.042
2016-01-22,20.500,50.73,0.000,157.22,96.6,15.792
2016-01-23,23.083,50.76,0.000,157.826,97,16.083
2016-01-24,16.625,50.76,0.000,157.826,97,16.625
2016-01-25,12.167,50.74,0.000,157.419,96.7,16.833
2016-01-26,24.750,50.76,0.000,157.826,97,20.000
2016-01-27,22.500,50.78,0.000,158.231,97.2,17.833
2016-01-28,5.500,50.74,0.000,157.419,96.7,14.833
2016-01-29,23.083,50.73,0.000,157.22,96.6,25.417
2016-01-30,7.708,50.72,0.000,157.019,96.5,10.042
2016-01-31,10.042,50.73,0.000,157.22,96.6,10.042
2016-02-01,0.000,50.66,0.000,155.629,95.6,9.708
2016-02-02,2.333,50.67,0.000,156.013,95.9,0.000
2016-02-03,24.042,50.73,0.000,157.22,96.6,10.042
2016-02-04,14.750,50.75,0.000,157.622,96.9,10.042
2016-02-05,16.375,50.79,0.000,158.431,97.4,9.375
2016-02-06,2.333,50.75,0.000,157.622,96.9,9.333
2016-02-07,4.542,50.73,0.000,157.22,96.6,9.208
2016-02-08,12.292,50.75,0.000,157.512,96.8,9.958
2016-02-09,12.292,50.76,0.000,157.809,97,9.958
2016-02-10,9.333,50.76,0.000,157.728,96.9,9.333
2016-02-11,3.375,50.71,0.000,156.816,96.4,15.042
2016-02-12,42.667,50.74,23.500,157.419,96.7,38.083
2016-02-13,14.625,50.74,24.000,157.419,96.7,9.958
2016-02-14,85.333,50.79,2.500,158.431,97.4,73.708
2016-02-15,12.292,50.8,0.000,158.565,97.4,9.958
2016-02-16,39.042,50.78,1.500,158.427,97.4,43.792
2016-02-17,29.042,50.73,0.000,157.22,96.6,42.917
2016-02-18,52.833,50.76,0.500,157.826,97,45.833
2016-02-19,38.167,50.78,0.000,158.231,97.2,33.417
2016-02-20,29.000,50.84,0.000,159.451,98,14.958
2016-02-21,20.708,50.84,0.000,159.447,98,23.000
2016-02-22,23.292,50.76,0.000,157.826,97,39.667
2016-02-23,35.833,50.77,0.000,158.028,97.1,33.500
2016-02-24,21.167,50.73,0.000,157.22,96.6,30.458
2016-02-25,17.583,50.74,0.000,157.508,96.8,17.583
2016-02-26,28.333,50.77,0.000,158.028,97.1,19.000
2016-02-27,22.125,50.79,0.000,158.431,97.4,17.500
2016-02-28,18.917,50.79,2.000,158.431,97.4,18.917
2016-02-29,18.333,50.73,0.000,157.22,96.6,32.333
2016-03-01,19.583,50.75,0.000,157.622,96.9,14.875
2016-03-02,28.292,50.8,0.000,158.459,97.4,16.583
2016-03-03,20.250,50.76,0.000,157.646,96.9,29.625
2016-03-04,54.250,50.65,0.000,155.609,95.6,79.875
2016-03-05,76.167,50.65,37.500,155.674,95.7,76.083
2016-03-06,143.458,50.91,0.000,160.775,98.8,82.583
2016-03-07,172.875,50.73,0.000,157.22,96.6,215.208
2016-03-08,128.500,50.73,0.000,157.22,96.6,128.458
2016-03-09,84.667,50.68,0.000,156.214,96,93.917
2016-03-10,77.833,50.75,0.000,157.622,96.9,63.833
2016-03-11,61.375,50.64,0.000,155.267,95.4,86.917
2016-03-12,59.833,50.63,0.000,155.212,95.4,62.125
2016-03-13,51.750,50.6,0.000,154.609,95,58.708
2016-03-14,55.458,50.64,0.000,155.408,95.5,46.083
2016-03-15,61.375,50.72,0.000,157.019,96.5,45.083
2016-03-16,64.042,50.71,0.000,156.816,96.4,66.208
2016-03-17,98.500,50.73,0.000,157.22,96.6,91.417
2016-03-18,89.250,50.78,0.000,158.174,97.2,77.500
2016-03-19,69.667,50.79,0.000,158.431,97.4,67.375
2016-03-20,79.833,50.71,0.000,156.614,96.2,100.750
2016-03-21,78.583,50.67,0.000,156.013,95.9,85.583
2016-03-22,32.833,50.75,0.000,157.622,96.9,14.167
2016-03-23,34.292,50.72,0.000,157.019,96.5,43.542
2016-03-24,50.375,50.73,0.000,157.22,96.6,48.000
2016-03-25,44.125,50.73,0.000,157.22,96.6,93.353
2016-03-26,63.125,50.77,0.000,158.028,97.1,53.750
2016-03-27,56.042,50.79,0.000,158.431,97.4,49.000
2016-03-28,38.333,50.72,0.000,156.897,96.4,54.667
2016-03-29,53.375,50.63,0.500,155.404,95.5,74.250
2016-03-30,56.125,50.63,0.000,155.212,95.4,56.167
2016-03-31,54.875,50.67,0.000,156.013,95.9,45.583
2016-04-01,54.833,50.64,0.000,155.408,95.5,61.792
2016-04-02,54.875,50.61,0.000,154.634,95,61.875
2016-04-03,57.542,50.61,3.500,154.617,95,57.583
2016-04-04,58.792,50.6,0.000,154.609,95,61.042
2016-04-05,83.333,50.67,0.000,156.013,95.9,67.042
2016-04-06,84.792,50.68,2.000,156.157,96,82.417
2016-04-07,40.542,50.73,16.500,157.22,96.6,28.833
2016-04-08,10.958,50.72,0.000,156.962,96.5,10.958
2016-04-09,29.417,50.7,0.000,156.614,96.2,33.958
2016-04-10,61.042,50.69,0.000,156.285,96,63.333
2016-04-11,51.917,50.66,0.000,155.629,95.6,58.875
2016-04-12,42.625,50.65,0.000,155.609,95.6,58.958
2016-04-13,47.625,50.63,0.000,155.212,95.4,54.667
2016-04-14,54.750,50.73,0.000,157.22,96.6,31.458
2016-04-15,60.083,50.71,0.000,156.816,96.4,62.125
2016-04-16,74.375,50.53,38.000,153.156,94.1,116.125
2016-04-17,150.417,50.55,23.500,153.614,94.4,145.750
2016-04-18,207.625,50.65,4.000,155.434,95.5,184.583
2016-04-19,171.375,50.57,0.000,153.654,94.4,189.917
2016-04-20,160.333,50.72,0.000,156.877,96.4,127.750
2016-04-21,200.250,50.66,21.000,155.722,95.7,211.917
2016-04-22,122.708,50.64,0.000,155.187,95.4,127.417
2016-04-23,104.208,50.71,0.000,156.978,96.5,87.875
2016-04-24,116.667,50.79,0.000,158.327,97.3,98.042
2016-04-25,98.167,50.58,0.000,154.217,94.8,151.125
2016-04-26,114.083,50.64,0.000,155.408,95.5,100.125
