obsryymtde,inflowqy,lowlevel,prcptqy,rsvwtqy,rsvwtrt,totdcwtrqy
2016-01-01,16.042,102.72,0.000,135.295,97.1,14.417
2016-01-02,13.250,102.71,0.000,135.144,97,14.875
2016-01-03,12.958,102.73,0.000,135.438,97.3,9.708
2016-01-04,9.375,102.73,0.000,135.496,97.3,9.375
2016-01-05,11.000,102.74,0.000,135.534,97.3,9.375
2016-01-06,9.708,102.74,0.000,135.567,97.3,9.708
2016-01-07,9.667,102.74,0.000,135.567,97.3,9.667
2016-01-08,12.917,102.71,0.000,135.097,97,19.417
2016-01-09,14.792,102.7,0.000,135.005,96.9,14.792
2016-01-10,14.917,102.7,0.000,134.965,96.9,14.917
2016-01-11,14.792,102.7,0.000,134.979,96.9,14.833
2016-01-12,11.292,102.68,0.000,134.744,96.8,14.500
2016-01-13,13.500,102.67,0.000,134.603,96.7,15.042
2016-01-14,15.292,102.67,0.000,134.603,96.7,15.292
2016-01-15,16.625,102.66,0.000,134.486,96.6,15.000
2016-01-16,9.958,102.64,0.000,134.205,96.4,14.792
2016-01-17,16.375,102.64,0.000,134.145,96.3,14.750
2016-01-18,14.708,102.64,0.000,134.205,96.4,14.667
2016-01-19,32.292,102.64,0.000,134.205,96.4,29.042
2016-01-20,12.792,102.63,0.000,134.065,96.3,14.417
2016-01-21,13.292,102.62,0.000,133.925,96.2,14.917
2016-01-22,8.292,102.64,0.000,134.205,96.4,5.042
2016-01-23,8.125,102.63,0.000,134.065,96.3,9.708
2016-01-24,8.042,102.63,0.000,134.065,96.3,9.667
2016-01-25,8.208,102.61,0.000,133.785,96.1,9.833
2016-01-26,21.792,102.6,0.000,133.644,96,24.917
2016-01-27,9.917,102.59,0.000,133.505,95.9,9.875
2016-01-28,8.042,102.64,0.000,134.205,96.4,0.000
2016-01-29,20.000,102.64,0.000,134.11,96.3,19.958
2016-01-30,0.000,102.63,0.000,134.065,96.3,0.000
2016-01-31,0.000,102.63,0.000,134.065,96.3,0.000
2016-02-01,3.250,102.65,0.000,134.346,96.5,0.000
2016-02-02,13.250,102.67,0.000,134.603,96.7,10.000
2016-02-03,13.333,102.69,0.000,134.885,96.9,10.083
2016-02-04,4.875,102.69,0.000,134.885,96.9,4.875
2016-02-05,3.208,102.69,0.000,134.885,96.9,4.833
2016-02-06,4.833,102.68,0.000,134.744,96.8,4.833
2016-02-07,3.417,102.66,0.000,134.486,96.6,5.042
2016-02-08,3.292,102.66,0.000,134.58,96.6,4.917
2016-02-09,5.000,102.66,0.000,134.486,96.6,5.000
2016-02-10,3.292,102.65,0.000,134.346,96.5,4.875
2016-02-11,14.542,102.71,0.000,135.167,97.1,4.792
2016-02-12,9.792,102.68,26.500,134.744,96.8,14.667
2016-02-13,14.625,102.77,22.000,136.015,97.7,0.000
2016-02-14,31.292,102.74,2.500,135.59,97.4,36.208
2016-02-15,8.125,102.79,0.000,136.299,97.9,0.000
2016-02-16,8.083,102.8,0.500,136.441,98,4.833
2016-02-17,10.333,102.77,0.000,136.015,97.7,15.208
2016-02-18,23.083,102.73,1.000,135.449,97.3,29.583
2016-02-19,10.833,102.71,0.000,135.287,97.1,14.500
2016-02-20,10.000,102.72,0.000,135.308,97.2,10.000
2016-02-21,11.458,102.74,0.000,135.59,97.4,9.833
2016-02-22,21.250,102.74,0.000,135.59,97.4,19.625
2016-02-23,19.625,102.74,0.000,135.59,97.4,19.625
2016-02-24,14.875,102.74,0.000,135.59,97.4,14.875
2016-02-25,11.167,102.75,0.000,135.732,97.5,9.542
2016-02-26,11.542,102.76,0.000,135.873,97.6,9.917
2016-02-27,9.833,102.76,0.000,135.873,97.6,9.833
2016-02-28,11.875,102.77,0.500,136.015,97.7,10.250
2016-02-29,11.208,102.74,0.000,135.59,97.4,14.458
