obsryymtde,inflowqy,lowlevel,prcptqy,rsvwtqy,rsvwtrt,totdcwtrqy
2016-01-01,19.565,129.94,0.028,"1,397.512",50.8,34.960
2016-01-02,27.274,129.93,0.000,"1,396.847",50.8,34.968
2016-01-03,30.017,129.93,0.000,"1,396.847",50.8,30.017
2016-01-04,34.968,129.93,0.000,"1,396.847",50.8,34.968
2016-01-05,34.930,129.93,0.000,"1,396.847",50.8,34.930
2016-01-06,27.379,129.92,0.000,"1,396.183",50.8,35.070
2016-01-07,32.337,129.91,0.000,"1,395.519",50.8,40.026
2016-01-08,1.523,129.86,0.000,"1,392.2",50.6,39.930
2016-01-09,32.235,129.85,0.000,"1,391.537",50.6,39.909
2016-01-10,32.305,129.84,0.000,"1,390.874",50.6,39.977
2016-01-11,9.340,129.8,0.000,"1,388.225",50.5,40.002
2016-01-12,32.305,129.79,0.000,"1,387.563",50.5,39.964
2016-01-13,16.944,129.76,0.036,"1,385.579",50.4,39.907
2016-01-14,9.433,129.72,0.048,"1,382.937",50.3,40.016
2016-01-15,27.414,129.71,0.253,"1,382.277",50.3,35.054
2016-01-16,19.685,129.69,0.028,"1,380.958",50.2,34.957
2016-01-17,4.396,129.65,0.527,"1,378.321",50.1,34.910
2016-01-18,17.177,129.62,0.600,"1,376.346",50.1,40.036
2016-01-19,11.914,129.57,0.000,"1,373.059",49.9,49.964
2016-01-20,19.611,129.53,0.000,"1,370.432",49.8,50.006
2016-01-21,4.338,129.47,0.000,"1,366.5",49.7,49.856
2016-01-22,9.496,129.39,0.000,"1,361.268",49.5,70.047
2016-01-23,12.212,129.34,0.000,"1,358.005",49.4,49.975
2016-01-24,12.255,129.29,0.000,"1,354.748",49.3,49.956
2016-01-25,9.815,129.21,0.000,"1,349.547",49.1,70.006
2016-01-26,7.440,129.14,0.000,"1,345.008",48.9,59.975
2016-01-27,22.534,129.09,0.042,"1,341.773",48.8,59.983
2016-01-28,0.207,129.01,0.000,"1,336.607",48.6,59.994
2016-01-29,32.641,128.96,0.733,"1,333.386",48.5,69.925
2016-01-30,12.747,128.91,0.106,"1,330.17",48.4,49.968
2016-01-31,20.295,128.87,0.000,"1,327.601",48.3,50.026
2016-02-01,3.258,128.78,0.000,"1,321.835",48.1,70.003
2016-02-02,4.085,128.7,0.000,"1,316.724",47.9,63.239
2016-02-03,13.637,128.61,0.000,"1,310.991",47.7,79.989
2016-02-04,6.578,128.51,0.000,"1,304.642",47.4,80.057
2016-02-05,4.143,128.42,0.000,"1,298.948",47.2,70.052
2016-02-06,1.606,128.34,0.040,"1,293.901",47.1,60.015
2016-02-07,6.271,128.28,0.044,"1,290.126",46.9,49.968
2016-02-08,6.397,128.22,2.332,"1,286.358",46.8,49.999
2016-02-09,16.462,128.16,0.368,"1,282.599",46.6,59.970
2016-02-10,9.310,128.09,0.172,"1,278.224",46.5,59.949
2016-02-11,12.296,128.01,0.055,"1,273.238",46.3,70.011
2016-02-12,16.816,127.95,15.750,"1,269.507",46.2,59.991
2016-02-13,57.194,127.96,13.341,"1,270.129",46.2,50.005
2016-02-14,35.511,127.94,1.877,"1,268.886",46.1,49.887
2016-02-15,82.590,128.02,0.000,"1,273.86",46.3,25.024
