obsryymtde,inflowqy,lowlevel,prcptqy,rsvwtqy,rsvwtrt,totdcwtrqy
2016-01-01,83.063,25.13,0.000,216.114,94,95.813
2016-01-02,116.097,25.19,0.000,218.576,95,94.847
2016-01-03,92.630,25.17,0.000,217.824,94.7,96.880
2016-01-04,98.731,25.18,0.000,217.968,94.8,98.689
2016-01-05,94.225,25.17,0.000,217.574,94.6,98.475
2016-01-06,97.299,25.17,0.000,217.574,94.6,97.257
2016-01-07,103.006,25.18,0.000,217.968,94.8,98.756
2016-01-08,100.477,25.19,0.000,218.362,94.9,96.227
2016-01-09,102.273,25.19,0.000,218.644,95.1,99.009
2016-01-10,96.160,25.2,0.000,218.7,95.1,96.160
2016-01-11,98.743,25.2,0.000,218.7,95.1,98.743
2016-01-12,102.201,25.2,0.000,218.7,95.1,97.909
2016-01-13,94.530,25.19,0.000,218.113,94.8,98.822
2016-01-14,98.159,25.19,0.000,218.362,94.9,98.117
2016-01-15,102.690,25.2,0.000,218.7,95.1,98.440
2016-01-16,93.825,25.17,0.000,218.047,94.8,98.075
2016-01-17,88.148,25.17,0.000,217.705,94.7,96.648
2016-01-18,95.208,25.17,0.000,217.257,94.5,100.393
2016-01-19,103.079,25.17,0.000,217.968,94.8,98.829
2016-01-20,94.941,25.19,0.000,218.599,95,99.191
2016-01-21,108.819,25.19,0.000,218.362,94.9,100.319
2016-01-22,100.672,25.19,0.000,218.362,94.9,100.672
2016-01-23,109.393,25.22,0.000,219.435,95.4,100.851
2016-01-24,104.260,25.22,0.000,219.461,95.4,99.969
2016-01-25,114.532,25.25,0.000,220.567,95.9,101.657
2016-01-26,110.656,25.27,0.000,221.305,96.2,102.073
2016-01-27,112.550,25.28,0.000,221.646,96.4,103.883
2016-01-28,98.576,25.29,0.000,222.044,96.5,102.868
2016-01-29,115.138,25.31,0.000,222.785,96.9,102.263
2016-01-30,98.090,25.31,0.000,222.785,96.9,102.423
2016-01-31,66.316,25.19,0.000,218.43,95,100.733
2016-02-01,140.393,25.31,0.000,222.785,96.9,101.643
2016-02-02,99.196,25.29,0.000,222.044,96.5,107.863
2016-02-03,110.035,25.26,0.000,220.908,96.1,122.951
2016-02-04,126.942,25.27,0.000,221.305,96.2,122.650
2016-02-05,102.501,25.22,0.000,219.435,95.4,123.960
2016-02-06,92.012,25.2,0.000,218.7,95.1,100.595
2016-02-07,102.138,25.25,0.000,220.051,95.7,97.847
2016-02-08,88.712,25.2,0.000,218.7,95.1,93.046
2016-02-09,94.558,25.2,0.000,219.029,95.2,94.558
2016-02-10,107.492,25.2,0.000,218.7,95.1,98.909
2016-02-11,104.186,25.23,0.000,219.83,95.6,99.936
2016-02-12,156.788,25.27,24.000,221.305,96.2,139.621
2016-02-13,112.442,25.21,14.500,219.099,95.3,138.192
2016-02-14,233.525,25.35,0.500,224.405,97.6,173.150
2016-02-15,143.608,25.27,0.000,221.26,96.2,173.900
2016-02-16,139.674,25.23,0.000,219.815,95.6,169.082
2016-02-17,121.627,25.23,0.000,219.766,95.6,121.627
2016-02-18,113.709,25.21,0.000,219.159,95.3,122.292
2016-02-19,108.923,25.21,0.000,219.14,95.3,100.340
2016-02-20,69.579,25.16,0.000,217.18,94.4,99.454
2016-02-21,90.935,25.14,0.000,216.446,94.1,99.435
2016-02-22,107.641,25.15,0.000,216.937,94.3,99.183
2016-02-23,108.341,25.17,0.500,217.623,94.6,99.841
2016-02-24,116.859,25.21,0.000,219.227,95.3,99.692
2016-02-25,99.063,25.22,0.000,219.265,95.3,99.063
2016-02-26,100.167,25.21,0.000,219.212,95.3,100.167
2016-02-27,103.251,25.23,3.000,219.695,95.5,98.960
2016-02-28,101.307,25.23,0.000,219.894,95.6,97.057
2016-02-29,119.719,25.28,0.000,221.838,96.5,98.219
2016-03-01,129.557,25.29,0.000,221.872,96.5,125.266
2016-03-02,130.395,25.28,0.000,221.805,96.4,134.687
2016-03-03,156.287,25.27,0.000,221.441,96.3,160.621
2016-03-04,197.216,25.16,0.000,217.225,94.4,244.257
2016-03-05,296.605,25.41,38.000,226.924,98.7,188.813
2016-03-06,407.744,25.32,0.000,223.226,97.1,446.827
2016-03-07,468.859,25.1,0.000,215.1,93.5,563.026
2016-03-08,370.524,25.08,0.000,214.485,93.3,378.983
2016-03-09,305.882,25.08,0.000,214.199,93.1,305.882
2016-03-10,263.927,25.17,0.000,217.345,94.5,229.927
2016-03-11,258.056,25.14,0.000,216.331,94.1,266.639
2016-03-12,218.346,25.17,0.000,217.75,94.7,205.596
2016-03-13,214.210,25.2,0.000,218.616,95.1,201.418
2016-03-14,192.173,25.18,0.000,217.87,94.7,200.548
2016-03-15,182.141,25.18,0.000,218.021,94.8,190.682
2016-03-16,205.681,25.19,0.000,218.028,94.8,201.431
2016-03-17,221.096,25.16,0.000,217.161,94.4,233.804
2016-03-18,216.234,25.16,0.000,217.461,94.6,203.401
2016-03-19,206.033,25.2,0.000,218.82,95.1,201.700
2016-03-20,211.852,25.2,0.000,218.631,95.1,211.810
2016-03-21,205.321,25.19,0.000,218.313,94.9,209.487
2016-03-22,155.538,25.22,0.000,219.484,95.4,142.704
2016-03-23,165.393,25.16,0.000,217.27,94.5,186.810
2016-03-24,163.283,25.16,0.000,217.364,94.5,167.491
2016-03-25,161.893,25.15,0.000,217.011,94.4,166.101
2016-03-26,171.081,25.19,0.000,218.197,94.9,154.122
2016-03-27,163.319,25.23,0.000,219.781,95.6,146.235
2016-03-28,160.831,25.25,0.000,220.684,96,152.331
2016-03-29,194.522,25.22,0.000,219.22,95.3,207.397
2016-03-30,165.033,25.13,0.000,216.077,94,203.325
2016-03-31,168.131,25.2,0.000,218.866,95.2,138.423
2016-04-01,195.970,25.08,0.000,214.121,93.1,251.178
2016-04-02,232.033,25.15,0.000,216.929,94.3,198.117
2016-04-03,227.055,25.14,3.500,216.525,94.1,227.014
2016-04-04,213.192,25.12,0.000,215.793,93.8,225.817
2016-04-05,256.715,25.27,0.000,221.04,96.1,196.965
2016-04-06,252.107,25.2,2.000,218.85,95.2,277.816
2016-04-07,210.619,25.2,14.000,218.813,95.1,215.077
2016-04-08,237.329,25.33,0.000,223.665,97.2,172.663
2016-04-09,226.751,25.28,0.000,221.631,96.4,252.834
2016-04-10,231.275,25.29,0.000,222.059,96.6,222.400
2016-04-11,226.308,25.2,0.000,218.685,95.1,257.142
2016-04-12,234.218,25.24,0.000,220.244,95.8,225.635
2016-04-13,229.099,25.19,3.000,218.212,94.9,250.266
2016-04-14,228.288,25.27,0.000,221.4,96.3,193.996
2016-04-15,254.405,25.03,0.000,212.963,92.6,343.738
2016-04-16,317.753,25.05,33.000,212.993,92.6,321.961
2016-04-17,475.854,25.23,16.000,219.811,95.6,399.479
2016-04-18,491.132,25.12,2.500,215.692,93.8,537.966
2016-04-19,513.855,25.25,0.000,219.83,95.6,445.480
2016-04-20,381.326,25.08,0.000,213.618,92.9,470.951
2016-04-21,467.050,25.25,24.500,219.271,95.3,407.634
2016-04-22,414.965,25.19,0.000,218.051,94.8,431.965
2016-04-23,377.344,25.24,0.000,220.157,95.7,343.135
2016-04-24,364.028,25.1,0.000,214.433,93.2,427.987
2016-04-25,366.442,25.13,0.000,215.778,93.8,353.734
2016-04-26,322.116,25.24,0.000,219.993,95.7,275.241
2016-04-27,378.637,25.12,0.000,215.939,93.9,429.762
2016-04-28,379.080,25.11,0.000,215.222,93.6,387.580
2016-04-29,402.588,25.23,0.000,219.966,95.6,347.213
2016-04-30,371.870,25.08,0.000,214.824,93.4,431.287
2016-05-01,326.775,25.06,0.000,213.152,92.7,339.483
2016-05-02,389.692,24.98,21.000,210.777,91.6,423.067
2016-05-03,582.685,25.11,39.500,214.165,93.1,549.060
2016-05-04,642.660,25.16,0.000,215.899,93.9,621.493
2016-05-05,514.471,25.04,0.500,213.278,92.7,539.721
2016-05-06,506.466,25.1,3.500,214.191,93.1,485.257
2016-05-07,442.827,25.15,0.000,216.693,94.2,430.077
2016-05-08,420.577,25.11,0.000,215.254,93.6,429.035
2016-05-09,423.468,25.09,0.000,214.601,93.3,432.885
2016-05-10,492.414,25.22,15.500,219.144,95.3,445.622
2016-05-11,458.802,25.27,0.000,220.983,96.1,441.677
2016-05-12,342.160,25.18,0.000,217.84,94.7,376.368
2016-05-13,327.615,25.09,0.000,215.077,93.5,365.865
2016-05-14,307.499,25.03,0.000,212.251,92.3,332.916
2016-05-15,331.484,25.05,22.500,212.295,92.3,331.526
2016-05-16,386.845,25.2,2.500,218.539,95,319.012
2016-05-17,371.387,25.25,0.000,219.821,95.6,346.095
2016-05-18,424.050,25.2,0.000,218.525,95,441.217
2016-05-19,285.758,25.04,0.000,212.026,92.2,357.758
2016-05-20,365.098,25.18,0.000,218.062,94.8,297.306
2016-05-21,357.989,25.16,0.000,215.821,93.8,379.197
2016-05-22,305.695,25.08,0.000,214.31,93.2,326.945
2016-05-23,278.880,25.1,0.000,214.593,93.3,408.732
2016-05-24,391.039,25.13,33.500,216.137,94,374.081
2016-05-25,309.921,25.11,0.000,215.45,93.7,318.463
2016-05-26,290.665,25.13,0.000,215.248,93.6,286.498
2016-05-27,283.304,25.11,0.000,215.506,93.7,287.595
2016-05-28,236.159,25.06,0.000,213.854,93,253.159
2016-05-29,237.370,25.14,0.000,216.761,94.2,203.412
2016-05-30,243.490,25.15,0.000,216.899,94.3,243.407
2016-05-31,244.997,25.15,0.000,217.098,94.4,245.080
2016-06-01,232.631,25.18,0.000,217.976,94.8,219.881
2016-06-02,222.006,25.17,0.000,217.889,94.7,230.506
2016-06-03,187.693,25.1,0.000,215.044,93.5,204.651
2016-06-04,189.425,25.18,0.000,217.833,94.7,168.217
