obsryymtde,inflowqy,lowlevel,prcptqy,rsvwtqy,rsvwtrt,totdcwtrqy
2016-01-01,10.542,164.42,0.000,477.949,52.6,15.333
2016-01-02,10.542,164.4,0.000,477.537,52.6,15.292
2016-01-03,9.458,164.4,0.000,477.537,52.6,9.458
2016-01-04,9.292,164.4,0.000,477.537,52.6,9.292
2016-01-05,7.208,164.39,0.000,477.332,52.6,9.583
2016-01-06,9.375,164.39,0.000,477.332,52.6,9.375
2016-01-07,7.042,164.38,0.000,477.126,52.5,9.417
2016-01-08,7.042,164.35,0.000,476.509,52.5,14.167
2016-01-09,9.458,164.33,0.000,476.099,52.4,14.208
2016-01-10,9.417,164.31,0.000,475.688,52.4,14.167
2016-01-11,6.958,164.28,0.000,475.072,52.3,14.083
2016-01-12,6.125,164.24,0.000,474.252,52.2,15.625
2016-01-13,7.083,164.21,0.000,473.638,52.2,14.208
2016-01-14,7.083,164.18,0.000,473.024,52.1,14.167
2016-01-15,9.333,164.16,0.000,472.615,52,14.083
2016-01-16,9.333,164.14,0.000,472.048,52,14.042
2016-01-17,5.875,164.1,0.000,471.389,51.9,15.375
2016-01-18,7.083,164.08,0.000,470.808,51.8,14.167
2016-01-19,6.333,163.97,0.000,468.74,51.6,29.958
2016-01-20,8.417,163.94,0.000,468.13,51.5,15.500
2016-01-21,7.125,163.91,0.000,467.52,51.5,14.208
2016-01-22,4.750,163.89,0.000,467.114,51.4,9.417
2016-01-23,4.875,163.87,0.000,466.708,51.4,9.542
2016-01-24,4.750,163.85,0.000,466.303,51.3,9.417
2016-01-25,4.750,163.83,0.000,465.897,51.3,9.417
2016-01-26,5.625,163.75,0.000,464.277,51.1,24.292
2016-01-27,4.458,163.73,0.000,463.873,51.1,9.125
2016-01-28,4.750,163.71,0.000,463.469,51,9.417
2016-01-29,4.917,163.65,0.000,462.257,50.9,18.917
2016-01-30,4.667,163.67,0.000,462.661,50.9,0.000
2016-01-31,7.000,163.7,0.000,463.267,51,0.000
2016-02-01,5.167,163.7,0.000,463.267,51,5.167
2016-02-02,4.917,163.66,0.000,462.459,50.9,14.250
2016-02-03,6.167,163.62,0.000,461.652,50.8,15.500
2016-02-04,5.125,163.62,0.000,461.652,50.8,5.125
2016-02-05,5.125,163.62,0.000,461.652,50.8,5.125
2016-02-06,5.167,163.62,0.000,461.652,50.8,5.167
2016-02-07,0.000,163.58,0.000,460.847,50.7,4.738
2016-02-08,0.458,163.57,0.000,460.872,50.7,5.125
2016-02-09,5.167,163.58,0.000,460.847,50.7,5.167
