address,Latitude,Longitude
경상북도 구미시 고아읍,36.2108711,128.3285585
경상북도 구미시 고아읍 문성리 146-7번지,36.1629001,128.3528723
경상북도 구미시 고아읍 문성리 41번지,36.1651758,128.3466914
경상북도 구미시 고아읍 문장로23길 4,36.1505831,128.3301377
경상북도 구미시 고아읍 봉한4길 19,36.183274,128.3520964
경상북도 구미시 고아읍 봉한4안길 15-10,36.182491,128.3532592
경상북도 구미시 고아읍 선산대로 630-10,36.1841807,128.3508586
경상북도 구미시 고아읍 선산대로 684-4 ((주)K.I.C),36.1896323,128.3481611
경상북도 구미시 고아읍 선산대로 684-6,36.189864,128.3481344
경상북도 구미시 고아읍 선산대로 707,36.1914257,128.3460532
경상북도 구미시 고아읍 선산대로 711 (,36.1919064,128.3459152
경상북도 구미시 고아읍 선산대로 729,36.1931508,128.345089
경상북도 구미시 고아읍 선산대로 739,36.1938367,128.345062
경상북도 구미시 고아읍 선산대로 976-12,36.2106312,128.3290507
경상북도 구미시 고아읍 송림2길 14 (한창운수사옥),36.1682246,128.3566076
경상북도 구미시 고아읍 송림2길 35 (선주전자공장),36.1701761,128.3574201
경상북도 구미시 고아읍 송림리 249-1번지,36.1691109,128.3567761
경상북도 구미시 고아읍 송평구길 10,36.1673112,128.362449
경상북도 구미시 고아읍 송평구길 14,36.1674947,128.3628656
경상북도 구미시 고아읍 송평로1길 50,36.1684723,128.3551326
경상북도 구미시 고아읍 신촌2길 25 (대광전자) (,36.1997536,128.2922514
경상북도 구미시 고아읍 예강1길 12,36.1997878,128.3381425
경상북도 구미시 고아읍 예강3길 12-12,36.2003268,128.3365102
경상북도 구미시 고아읍 오로6길 1,36.2263159,128.3112305
경상북도 구미시 고아읍 오로6길 19,36.2263159,128.3112305
경상북도 구미시 고아읍 오로6길 26,36.2256958,128.3129845
경상북도 구미시 고아읍 오로6길 34,36.2255884,128.3137082
경상북도 구미시 고아읍 오로6길 36,36.2260695,128.3141273
경상북도 구미시 고아읍 오로리 342-1번지,36.2166123,128.3155743
경상북도 구미시 고아읍 오로리 60-1번지,36.2179516,128.323312
경상북도 구미시 고아읍 오로리 산 24-6번지,36.2244927,128.310854
경상북도 구미시 고아읍 외예6길 29 (일상전자공장) (,36.181768,128.2850216
경상북도 구미시 고아읍 원대로 292,36.1776788,128.3203373
경상북도 구미시 고아읍 원대로 338 (,36.1807067,128.3174302
경상북도 구미시 고아읍 원대로 354,36.1821238,128.3166711
경상북도 구미시 고아읍 원대로 405-4,36.1870556,128.3146007
경상북도 구미시 고아읍 원대로13길 45-16,36.1778625,128.3132321
경상북도 구미시 고아읍 원대로13길 66,36.1795501,128.3113867
경상북도 구미시 고아읍 원대로13길 80,36.1789989,128.3118444
경상북도 구미시 고아읍 원대로20길 3,36.1948618,128.3169058
경상북도 구미시 고아읍 원대로21안길 13-5,36.1960393,128.315743
경상북도 구미시 고아읍 원대로9길 17,36.168594,128.3196378
경상북도 구미시 고아읍 원호리 478 번지,36.153482,128.3348663
경상북도 구미시 고아읍 이례로 24-3,36.2046421,128.3184065
경상북도 구미시 고아읍 이례로 26 (,36.2054336,128.3186721
경상북도 구미시 고아읍 이례로 34 (,36.2058042,128.3193053
경상북도 구미시 고아읍 이례로 53,36.2064456,128.3211128
경상북도 구미시 고아읍 이례로 60,36.2061334,128.3219011
경상북도 구미시 고아읍 이례리-472번지,36.2061334,128.3219011
경상북도 구미시 고아읍 파산2길 11,36.2065783,128.3083432
경상북도 구미시 고아읍 파산2길 19-15,36.2048276,128.3078025
경상북도 구미시 고아읍 파산2길 45,36.2044632,128.306857
경상북도 구미시 고아읍 파산2길 52,36.2039851,128.3070342
경상북도 구미시 고아읍 파산2길 53 (길본산업공장) (,36.2045517,128.3071498
경상북도 구미시 고아읍 파산2길 56,36.2053088,128.3075799
경상북도 구미시 고아읍 파산2길 57 (지산수지공장),36.2045559,128.3075913
경상북도 구미시 고아읍 파산2길 9,36.2064937,128.3089868
경상북도 구미시 고아읍 파산3길 31-6,36.2089342,128.3055443
경상북도 구미시 고아읍 파산3길 47,36.2102446,128.3055539
경상북도 구미시 고아읍 파산리 164번지,36.2072668,128.3118323
경상북도 구미시 고아읍 파산리 262-2번지,36.2100226,128.3052983
경상북도 구미시 고아읍 포아로 622-11,36.1924859,128.2873321
경상북도 구미시 고아읍 포아로 636-12 (한세약품),36.1931971,128.2871876
경상북도 구미시 고아읍 포아로 732,36.1982488,128.2869072
경상북도 구미시 고아읍 포아로 885,36.2045534,128.3011435
경상북도 구미시 고아읍 포아로 891,36.2050352,128.3016603
경상북도 구미시 고아읍 포아로 916,36.2055498,128.3045259
경상북도 구미시 고아읍 포아로 980-13,36.2069966,128.3110773
경상북도 구미시 고아읍 포아로 980-14,36.2065708,128.3102026
경상북도 구미시 고아읍 항곡7길 32 (대양전자),36.1911079,128.3437313
경상북도 구미시 고아읍 항곡7길 42,36.191584,128.3427182
경상북도 구미시 광평길 49 (광평동),36.1050181,128.3659356
경상북도 구미시 광평동 439번지,36.1063186,128.3576071
경상북도 구미시 괴곡3길 87 (해평면),36.1784558,128.4187164
경상북도 구미시 구미대로 280-13 (광평동),36.1123054,128.3646354
