순번,회사명,단지명,전화번호,종업원수,생산품,공장대표주소,업종명
1,에이멕,태백장성농공단지,(033)5824108,6,탈수기,강원도 태백시 장성동 263-8번지,기타 가정용 전기기기 제조업
2,강원크린텍,태백장성농공단지,(033)5540212,30,"LED등기구,LED형광등,LED사인물",강원도 태백시 장성동 249-2번지,전시 및 광고용 조명장치 제조업 외 6 종
3,유한회사 태백골김치,태백장성농공단지,(033)5539973,40,김치,강원도 태백시 장성동 263-7번지,김치류 제조업 외 1 종
4,주식회사 브니엘월드,태백장성농공단지,(033)5536878,9,"세제, 비누, 과자, 음료 등",강원도 태백시 장성동 249-1번지,기타 과실ㆍ채소 가공 및 저장 처리업 외 5 종
5,주식회사 에코라이트테크놀로지,태백장성농공단지,(070)86279172,12,"사인물, 금속구조물",강원도 태백시 장성동 249-3번지,일반용 전기 조명장치 제조업 외 3 종
6,주식회사 해마,태백장성농공단지,(033)5829222,35,"조미료, 스프, 소스 등",강원도 태백시 장성동 263-1번지,천연 및 혼합조제 조미료 제조업 외 4 종
7,케이티씨주식회사,태백장성농공단지,(033)5529029,35,판형열교환기 및 자동세척 필터링시스템,강원도 태백시 장성동 278-4번지,"증류기, 열교환기 및 가스발생기 제조업"
8,태백산생태마을협동조합,태백장성농공단지,(033)5529927,2,"산죽차, 산죽분말",강원도 태백시 장성동 249-4번지,차류 가공업
9,주식회사 그린사이언스,태백장성농공단지,(070)44227353,26,"플라즈마가스화기,가스화발전시스템",강원도 태백시 장성동 278-2번지,그 외 기타 특수목적용 기계 제조업 외 1 종
10,주식회사 나무나라,태백장성농공단지,(033)5815654,15,"고열처리목재,데크재,디자인형울타리,목재판재",강원도 태백시 장성동 278-1번지,일반 제재업 외 2 종
11,(주)태양기계,태백장성농공단지,(033)5813030,28,"제관기계, 철구조물 등",강원도 태백시 장성동 272-3번지,육상 금속 골조 구조재 제조업 외 2 종
12,(주)파워테크놀노지,태백장성농공단지,(033)5534051,10,CCTV,강원도 태백시 장성동  272-2번지,방송장비 제조업 외 6 종
13,(주)한일엔지니어링,태백장성농공단지,(032)8141201,4,자동차 운반설비,강원도 태백시 장성동 278-3번지,구조용 금속 판제품 및 공작물 제조업
14,농업회사법인 태백농업주식회사,태백장성농공단지,(033)5530045,4,"산채, 식용유지류(들기름, 참기름), 절임식품류",강원도 태백시 장성동 263-5번지,식물성 유지 제조업 외 2 종
15,주식회사 에스앤,태백장성농공단지,(033)5540213,2,"LED조명,사인물,가로등주",강원도 태백시 장성동 249-2번지,전시 및 광고용 조명장치 제조업 외 5 종
16,(주)천지인바이오텍,태백철암농공단지,(041)5876250,9,"작물보호제, 비료",강원도 태백시 철암동 446번지,화학 살균.살충제 및 농업용 약제 제조업 외 3 종
