회사명,종업원수,생산품,용지면적(제곱미터),제조시설면적(제곱미터),부대시설면적(제곱미터),공장대표주소,도로명주소,업종명,년도,분기,위도,경도
(주)경동기계,,,0,708.87,247.97,경상남도 김해시 진례면 초전리 795-10,경상남도 김해시 진례면 진례로 127,금속 조립구조재 제조업,2015,1,35.23838718,128.7504774
(주)경동기계,,,0,390,247.97,경상남도 김해시 진례면 초전리 795-10,경상남도 김해시 진례면 진례로 127,금속 조립구조재 제조업,2015,1,35.23838718,128.7504774
(주)경동기계,,,1954,381.07,363.58,경상남도 김해시 진례면 초전리 796-3,경상남도 김해시 진례면 진례로 129,"탭, 밸브 및 유사장치 제조업",2015,1,35.2389066,128.7498329
(주)금양아이엠,,,2373,420,594,경상남도 김해시 상동면 우계리 253-9,경상남도 김해시 상동면 상동로 350-1,"석면, 암면 및 유사제품 제조업",2015,1,35.30460178,128.909708
(주)늘푸른,,,4131,1523,30.44,경상남도 김해시 진례면 담안리 1412-3,경상남도 김해시 진례면 고모로324번길 185-3,선박 구성부분품 제조업,2015,1,35.24857709,128.7844536
(주)대길티에프,,,0,615,596,경상남도 김해시 주촌면 내삼리 1259-1,경상남도 김해시 주촌면 서부로1403번길 67-44,그외 기타 자동차 부품 제조업,2015,1,35.22736023,128.8127407
(주)대륭이엔지,,,1274,451.31,85.63,경상남도 김해시 주촌면 내삼리 117-2,경상남도 김해시 주촌면 서부로1541번길 164-23,금속 스프링 제조업,2015,1,35.24205446,128.8096268
(주)대영인더스트리,,,0,490,110,경상남도 김해시 진례면 고모리 990-4,경상남도 김해시 진례면 고모로442번길 71-1,도장 및 기타 피막처리업,2015,1,35.26514338,128.7825398
(주)대흥피에스씨,,,6041,2498.83,1447.45,경상남도 김해시 진례면 고모리 24-1,경상남도 김해시 진례면 고모로 709,그외 기타 자동차 부품 제조업,2015,1,35.28686156,128.776125
(주)도우,,,1650,280,180.8,경상남도 김해시 진영읍 내룡리 143-1,경상남도 김해시 진영읍 서부로38번길 83-16,선박 구성부분품 제조업,2015,1,35.29009451,128.7562578
(주)도우,,,1650,280,0,경상남도 김해시 진영읍 내룡리 143-1,경상남도 김해시 진영읍 서부로38번길 83-16,선박 구성부분품 제조업,2015,1,35.29009451,128.7562578
(주)동명금속,,,1662,190.5,40,경상남도 김해시 한림면 명동리 1177,경상남도 김해시 한림면 김해대로 1102-21,금속 조립구조재 제조업,2015,1,35.29480891,128.8035342
(주)동산전자,,,6725,3523,1598,경상남도 김해시 주촌면 농소리 628-6번지 김해골든루트일반산업단지 N-6,경상남도 김해시 주촌면 골든루트로66번길 83,기타 가정용 전기기기 제조업,2015,1,35.2149486,128.837721
(주)동산전자,,,6725,3523,1598,경상남도 김해시 주촌면 농소리 628-6번지 김해골든루트일반산업단지 N-6,경상남도 김해시 주촌면 골든루트로66번길 83,기타 가정용 전기기기 제조업,2015,1,35.2149486,128.837721
(주)동산전자,,,6725,1826,1269.8,경상남도 김해시 주촌면 농소리 628-6번지 김해골든루트일반산업단지 N-6,경상남도 김해시 주촌면 골든루트로66번길 83,기타 가정용 전기기기 제조업,2015,1,35.2149486,128.837721
