회사명,대표자명,공장대표주소,업종명,전화번호,팩스번호,종업원수,생산품,데이터 기준일자
 농업회사법인(주)대한농수산,정재동,경상남도 밀양시 삼랑진읍 삼랑진로 537-22,일반철물 제조업,,,11,"금속선반재, 받침대",2022-08-10
(주)SM,김기호,경상남도 밀양시 산외면 율전길 87-5,기타 가정용 전기기기 제조업,055-352-2128,055-353-9972,11,온수매트,2022-08-10
(주)거명산업,안석환,경상남도 밀양시 무안면 무안로 22-15,구조용 금속 판제품 및 공작물 제조업,055-355-7592,055-352-7956,4,스틸그레이팅,2022-08-10
(주)건기,김병철,경상남도 밀양시 부북면 춘화로 378 외 1필지,구조용 금속 판제품 및 공작물 제조업 외 5 종,055-351-2264,055-351-2265,22,"지붕자재(패널), 찬넬, 후레싱 외",2022-08-10
(주)건보산업,김재선,경상남도 밀양시 산내면 산내야촌길 96-48,플라스틱 창호 제조업,055-582-5858,051-582-5863,16,PVC창호,2022-08-10
(주)건화,오근화,경상남도 밀양시 초동면 초동농공단지길 24-10,"플라스틱 선, 봉, 관 및 호스 제조업 외 1 종",055-391-2750,055-391-2790,8,"상하수도관,이중벽하수관",2022-08-10
(주)경남테크,홍명표,경상남도 밀양시 상남면 조음로 108,배전반 및 전기 자동제어반 제조업,,053-352-5018,4,가로등 및 보안등 자동제어기,2022-08-10
(주)경일지엠씨,장명수,경상남도 밀양시 부북면 춘화농공단지길 12-30,자동차용 신품 동력전달장치 제조업 외 39 종,055-354-0558,055-354-0552,34,"자동차동력전달장치, 유압부품",2022-08-10
(주)고벨엠엔에스,전성환,경상남도 밀양시 초동면 초동농공단지길 52,기타 물품 취급장비 제조업,055-265-5545,055-265-5546,9,"크레인, 전기판넬,윈치,무구동레일",2022-08-10
(주)공간파크,이승일,경상남도 밀양시 삼랑진읍 율동리 197-16번지,구조용 금속 판제품 및 공작물 제조업 외 4 종,055-353-4722,055-353-4723,19,"야외운동기구, 차양, 목재판재,분사제",2022-08-10
(주)공신,서정곤,경상남도 밀양시 무안면 판곡길 35-90,항공기용 부품 제조업 외 2 종,,055-356-9948,9,"항공기용부품, 금형및목형틀, 이동식 조립주택",2022-08-10
(주)광명,박영기,경상남도 밀양시 상남면 상남로 935,플라스틱 필름 제조업 외 2 종,055-355-7575,055-355-7577,7,롤비닐 및 비닐봉투,2022-08-10
(주)구산,황창규,경상남도 밀양시 부북면 사포산단중앙로 57-13,그 외 자동차용 신품 부품 제조업,055-346-6455,055-346-6461,102,자동차 부품,2022-08-10
(주)구산2공장,황창규,경상남도 밀양시 부북면 사포산단중앙로 64,그 외 자동차용 신품 부품 제조업 외 1 종,055-346-6455,055-346-6461,50,자동차 부품,2022-08-10
(주)국제에이브이통신,장세웅,경상남도 밀양시 밀양대로 1865 (삼문동),기타 음향기기 제조업 외 1 종,055-356-5588,055-356-7788,4,"스피커, CCTV카메라",2022-08-10
(주)그린동화,진재윤,경상남도 밀양시 상남면 상남로 1040-7,기타 직물제품 제조업,055-354-0794,055-355-6301,7,황사마스크,2022-08-10
(주)그린식품,설용수,경상남도 밀양시 용두동길 27-5 (가곡동),두부 및 유사식품 제조업,055-353-1482,055-353-1483,4,두부,2022-08-10
(주)그린테크,채복희,경상남도 밀양시 산내면 산내로 720 외 6필지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 2 종",055-353-6088,055-353-6080,8,보도블럭,2022-08-10
(주)금강중공업,정성재,경상남도 밀양시 부북면 사포산단중앙로 21,그 외 기타 전기장비 제조업 외 1 종,055-356-0004,055-356-8152,16,"전기제어장치, 건설기계부품",2022-08-10
(주)금동강건,김수지,경상남도 밀양시 초동면 초동농공단지길 56,육상 금속 골조 구조재 제조업 외 4 종,055-391-1717,055-391-4600,11,도로안전용생산구조재,2022-08-10
(주)금호이엔지,권병수,"경상남도 밀양시 부북면 사포산단1길 90-24,  (주)금호이엔지",그 외 자동차용 신품 부품 제조업 외 7 종,055-354-3827,055-356-3827,20,자동차용 스프링 등,2022-08-10
(주)나노이텍스,박진성,경상남도 밀양시 부북면 춘화농공단지길 60,그 외 기타 전자부품 제조업 외 1 종,070-8863-0451,051-911-0460,0,몰드필름,2022-08-10
(주)나라산업,이양중,경상남도 밀양시 산내면 산내야촌길 96-48 외 5필지,기타 건축용 플라스틱 조립제품 제조업,055-351-4450,055-351-4453,14,PVC창호,2022-08-10
(주)낙원,김병국,경상남도 밀양시 부북면 사포산단1길 53,철도차량 부품 및 관련 장치물 제조업 외 4 종,055-287-8004,055-353-6631,38,철도차량부품 외,2022-08-10
(주)낙원티엔에이,김병국,경상남도 밀양시 부북면 사포산단1길 53,자동차 차체용 신품 부품 제조업 외 2 종,055-287-8004,055-353-6611,62,자동차부품,2022-08-10
(주)농업회사법인 팜월드,김무정,경상남도 밀양시 삼랑진읍 삼랑진로 465-8 외 5필지,기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종,055-353-3452,055-353-3629,31,신선편의식품,2022-08-10
