순번,회사명,공장대표주소,업종명,생산품
1,(사)한국장애인사회복지회사회복지부,경상남도 창원시 진해구 웅천동로 204 (성내동),구조용 금속 판제품 및 공작물 제조업 외 1 종,"울타리,난간"
2,(윈펠)WINPELL,경상남도 창원시 성산구 연덕로27번길 60 (웅남동),전투용 차량 제조업,차륜형 장갑차 휠(림/디스크)
3,(유)국제보링1급정비,경상남도 창원시 마산회원구 내서읍 중리공단로 149 (현대자동차서비스),자동차 구조 및 장치 변경업  외 1 종,자동차정비
4,(유)두루산업사,"경상남도 창원시 마산회원구 봉암공단9길 10 (봉암동, (유)두루산업사)",공기 조화장치 제조업 외 2 종,"생산품 가습기, 차아염소산수 제조장치"
5,(유)리앤리테크,경상남도 창원시 성산구 반월로 16 (신촌동) 외 2필지,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품
6,(유)범아산전,경상남도 창원시 의창구 태복산로7번길 1 (도계동),배전반 및 전기 자동제어반 제조업,전기제어부분품 
7,(유)삼송 창원공장,경상남도 창원시 성산구 정동로62번길 30 (성주동) (총 2 필지) 외 1필지,그 외 자동차용 신품 부품 제조업 외 3 종,자동차용 안전밸브
8,(유)송원산업,경상남도 창원시 마산합포구 진북면 망곡리 83-3번지,선박 구성 부분품 제조업,선박의장부품
9,(유)신신1급자동차정비,경상남도 창원시 마산회원구 내서읍 중리공단로 165 (신신1급자동차정비),건설 및 채광용 기계장비 제조업,운수장비수선(수리업)
10,(유)티에스,경상남도 창원시 의창구 차룡단지로 75-2 (팔용동),절삭가공 및 유사처리업,캠가공 외 항공기 부품
11,(유)현대기공,경상남도 창원시 마산합포구 진북면 산단2길 66,볼트 및 너트류 제조업 외 8 종,"볼트,너트,유압밸브,유압실린더부품,유압MCV블럭"
12,(유)화진스틸,경상남도 창원시 마산회원구 내서읍 중리공단로 31,그 외 기타 1차 철강 제조업,철판절단품
