순번,단지명,회사명,공장대표주소,공장대표주소(지번),업종번호,업종명,관할조직명,최초등록일,종업원수,생산품,공장크기,용도지역,지목,용지면적,건축면적,대기등급,수질등급,소음/진동여부
1,, YSM,경상남도 함안군 법수면 윤외리 1555번지,경상남도 함안군 법수면 윤외리 1555번지,24219,"기타 비철금속 제련, 정련 및 합금 제조업",경상남도 함안군,20150914,7,마그네슘 인고트(괴),소기업,관리지역/계획관리지역,공장용지,1878,543,,,무
2,, 대흥중자,경상남도 함안군 칠서면 함의로 209-40 (대흥중자) 외 1필지,경상남도 함안군 칠서면 회산리 744-17번지 대흥중자 외 1필지,29294,주형 및 금형 제조업,경상남도 함안군,20070823,7,산업용로봇,소기업,관리지역/계획관리지역,공장용지,2384,1346.02,해당없음,해당없음,무
3,,(사)경남신체장애인복지회,경상남도 함안군 대산면 하기리 415-4번지 외6필,경상남도 함안군 대산면 하기리 415-4번지 외6필,17902,위생용 종이제품 제조업,경상남도 함안군,20010418,11,화장지,소기업,관리지역,공장용지,3602,494.7,해당없음,해당없음,무
4,,(사)환경사랑나눔회 경남희망세상제작단,경상남도 함안군 군북면 국우로 95 외 1필지,경상남도 함안군 군북면 유현리 1312-7번지 외 1필지,33992,"라이터, 연소물 및 흡연용품 제조업",경상남도 함안군,20181126,8,폐합성수지류 비성형 SRF,소기업,관리지역/계획관리지역,잡종지,2118,691.3,,,무
5,,(유)국제케미칼,경상남도 함안군 여항면 내곡1길 93 (국제케미칼) 외 3필지,경상남도 함안군 여항면 내곡리 754-4번지 국제케미칼 외 3필지,"25913, 25914",자동차용 금속 압형제품 제조업 외 1 종,경상남도 함안군,20070702,6,우레탄 금형제품,소기업,관리지역/계획관리지역,공장용지,1959,1212.43,해당없음,해당없음,무
6,,(유)부강기계,경상남도 함안군 칠원읍 무기로 89 (식당),경상남도 함안군 칠원읍 무기리 1166-91번지,"25200, 29142, 30310, 30391, 30392, 30399, 30400, 31322",자동차 엔진용 신품 부품 제조업 외 7 종,경상남도 함안군,20031028,17,"기어,전동축",소기업,관리지역/관리지역기타,공장용지,2302,615.53,해당없음,해당없음,무
7,,(유)씨에스강업(제2공장),경상남도 함안군 대산면 서촌1길 120 외 1필지,경상남도 함안군 대산면 서촌리 708번지 외 1필지,24290,기타 1차 비철금속 제조업,경상남도 함안군,20190502,11,핀튜브,소기업,관리지역/계획관리지역,공장용지,14761,6008.18,,,무
8,,(유)씨지푸드,경상남도 함안군 군북면 현포로 29,경상남도 함안군 군북면 소포리 1100-8,10121,가금류 가공 및 저장 처리업,경상남도 함안군,20200803,5,닭가공품,소기업,관리지역/계획관리지역,공장용지,4756,2329.14,,,무
9,,(유)지원중기정비,경상남도 함안군 칠원읍 용정리 48-2번지 외 1필지,경상남도 함안군 칠원읍 용정리 48-2번지 외 1필지,29241,건설 및 채광용 기계장비 제조업,경상남도 함안군,20141020,5,"조선기자재, 금속절삭기계",소기업,관리지역/계획관리지역,공장용지,1124,399.2,,,무
10,,(유)지이오코포레이션,경상남도 함안군 칠원읍 오곡로 104,경상남도 함안군 칠원읍 오곡리 180-2번지,29132,기체 펌프 및 압축기 제조업,경상남도 함안군,20141002,20,"펌프, 압축기",소기업,관리지역/계획관리지역,공장용지,3812,2750.66,,,무
11,,(주)21세기 백두,경상남도 함안군 산인면 가야로 185-21,경상남도 함안군 산인면 송정리 1425-1번지,25112,구조용 금속 판제품 및 공작물 제조업,경상남도 함안군,20161230,5,"난간, 간판, 간이구조물",소기업,관리지역/계획관리지역,공장용지,643,248.13,,,무
12,,(주)D&A,경상남도 함안군 가야읍 새터길 34,경상남도 함안군 가야읍 묘사리 263번지,10802,단미 사료 및 기타 사료 제조업,경상남도 함안군,20170221,2,보조사료(생균제),소기업,관리지역/계획관리지역,공장용지,4918,1434,해당없음,해당없음,무
13,,(주)가야포징,경상남도 함안군 칠북면 덕남길 69 외 1필지,경상남도 함안군 칠북면 화천리 16번지 외 1필지,"25912, 25923, 29111",금속 단조제품 제조업 외 2 종,경상남도 함안군,20110830,45,볼베어링케이스,소기업,관리지역/계획관리지역,공장용지,29909,12724.01,해당없음,해당없음,유
14,,(주)가온,경상남도 함안군 칠원읍 원서로 213-13 외 4필지,경상남도 함안군 칠원읍 용정리 1048-9번지 외 4필지,30399,그 외 자동차용 신품 부품 제조업,경상남도 함안군,20190314,1,자동차부품,소기업,관리지역/계획관리지역,공장용지,4948,1672,,,무
15,,(주)강왕중공업,경상남도 함안군 군북면 현포로 92 (총 3 필지),경상남도 함안군 군북면 소포리 939-2번지,31114,선박 구성 부분품 제조업,경상남도 함안군,20100212,8,선박부분품,소기업,관리지역/계획관리지역,공장용지,5481,1996.77,5종,5종,무
16,,(주)강현특수강,경상남도 함안군 칠원읍 용산6길 24-37,경상남도 함안군 칠원읍 용산리 791-2번지,25999,그 외 기타 분류 안된 금속 가공 제품 제조업,경상남도 함안군,20190304,8,자유단조 제품,소기업,관리지역/계획관리지역,공장용지,0,891.26,,,무
17,,(주)거산,경상남도 함안군 칠북면 북원로 272-33 ((주)거산),경상남도 함안군 칠북면 가연리 693번지,25200,무기 및 총포탄 제조업,경상남도 함안군,20080229,28,"장갑차량부품,기어류",소기업,관리지역/계획관리지역,공장용지,8607.01,3516.55,해당없음,해당없음,무
18,,(주)거성산업,경상남도 함안군 칠서면 함의로 267-1,경상남도 함안군 칠서면 회산리 780번지,25113,육상 금속 골조 구조재 제조업,경상남도 함안군,20191113,1,철구조물,소기업,관리지역/계획관리지역,공장용지,1572,494.9,,,무
19,,(주)건우테크,경상남도 함안군 대산면 평림리 697-2번지 외 1필지,경상남도 함안군 대산면 평림리 697-2번지 외 1필지,25111,"금속 문, 창, 셔터 및 관련제품 제조업",경상남도 함안군,20170728,10,"창호,문,샤시",소기업,관리지역/계획관리지역,공장용지,2154,804.5,,,무
20,,(주)건일,경상남도 함안군 칠원읍 유원리 710번지 외3동,경상남도 함안군 칠원읍 유원리 710번지 외3동,20312,복합비료 및 기타 화학비료 제조업,경상남도 함안군,20050225,9,미량요소복합비료,소기업,관리지역/관리지역기타,대,1091,540,해당없음,해당없음,무
21,함안파수농공단지,(주)경남케미컬,경상남도 함안군 함안면 광정로 330-9,경상남도 함안군 함안면 파수리 465-4번지,24113,합금철 제조업,경상남도 함안군,20100706,16,"망간합금철,실리콘합금철",소기업,관리지역/관리지역기타,공장용지,6368.5,4550.99,해당없음,해당없음,무
22,,(주)경동레저산업,경상남도 함안군 칠원읍 운서리 1022-10번지 외 6필지,경상남도 함안군 칠원읍 운서리 1022-10번지 외 6필지,31112,합성수지선 건조업,경상남도 함안군,20150417,10,보트 본체,소기업,관리지역/계획관리지역,공장용지,2839,1067.8,,,무
23,,(주)경문테크,경상남도 함안군 칠북면 화천1길 114,경상남도 함안군 칠북면 화천리 1051-1번지,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,경상남도 함안군,20140120,5,철구조물,소기업,관리지역/계획관리지역,공장용지,1260,465,,,무
24,,(주)경성엠티,경상남도 함안군 칠북면 북원로 272-52,경상남도 함안군 칠북면 가연리 700-1번지,29299,그 외 기타 특수목적용 기계 제조업,경상남도 함안군,20200427,17,"방산부품, 특수차량부품",소기업,관리지역/계획관리지역,공장용지,5684.06,3817.14,,,무
25,,(주)경성엠티 함안공장,경상남도 함안군 칠북면 북원로 272-35,경상남도 함안군 칠북면 가연리 693-2번지,"25113, 29261, 29299, 31910",그 외 기타 특수목적용 기계 제조업 외 3 종,경상남도 함안군,20111024,5,철구조물(전용기프레임),소기업,관리지역/계획관리지역,공장용지,4877,2204,해당없음,해당없음,유
26,,(주)경원,경상남도 함안군 칠서면 삼칠로 705 (칠서면),경상남도 함안군 칠서면 태곡리 114-4번지,"25995, 25999",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,경상남도 함안군,20000930,5,전기보호용박스,소기업,관리지역/계획관리지역,공장용지,4031,721.31,해당없음,해당없음,무
27,,(주)경일산업,경상남도 함안군 대산면 옥렬리 62-1번지,경상남도 함안군 대산면 옥렬리 62-1번지,23322,레미콘 제조업,경상남도 함안군,20160125,10,레미콘,소기업,관리지역/계획관리지역,공장용지,1140,418.17,,,무
28,,(주)경현산기,경상남도 함안군 산인면 함마대로 2303 (태성산업(주)),경상남도 함안군 산인면 신산리 554번지,29241,건설 및 채광용 기계장비 제조업,경상남도 함안군,19991130,15,"산업기계,중장비부품",소기업,관리지역,공장용지,1113,464,해당없음,해당없음,무
