회사명,대표자명,공장대표주소,전화번호,생산품,업종명
(주)가야아스콘,강동훈,경상남도 합천군 묘산면 영서로 1651-58,055-932-5861,아스팔트+콘크리트,
(주)가회청목주가,이병웅,경상남도 합천군 가회면 덕촌길 167-1,055-932-9130,주류,
(주)구포국수,허영민,경상남도 합천군 가회면 황매산로 183,055-933-1300,건면(국수),
(주)글로벌오토클래드 합천공장,이쌍근,경상남도 합천군 합천읍 계림1길 45,055-931-4360,이종금속+판재+관재,
(주)담양대나무,박염미,경상남도 합천군 삼가면 신평3길 11,055-932-9888,대나무제품,
(주)대경21세기,이소순,경상남도 합천군 용주면 황계폭포로 715,055-932-1632,화장품업,
(주)대유인터내셔날 야로공장,황선철,경상남도 합천군 야로면 나대길 57,055-931-8104,화섬직물,
(주)동천수 가야산샘물,박철호,경상남도 합천군 묘산면 영서로 1724-12,054-531-2003,생수,
(주)둥지산업,이동일,경상남도 합천군 가야면 매화산로 55,055-931-7020,참숯벽돌+참숯보드+토벽돌,
(주)라파클린텍,허덕규,경상남도 합천군 초계면 동부로 1049,055-931-3001,마스크,
(주)반도전기통신,강길수,경상남도 합천군 합천읍 옥산로 126,055-932-5889,전기경보+신호장치+유선통신기기,
(주)보광아스콘,차봉현+전기열,경상남도 합천군 율곡면 대야로 1669,055-934-1042,아스팔트제품,
(주)보림산업,윤홍석,경상남도 합천군 용주면 연촌우곡길 165-24,055-931-0700,플라스틱관+레미콘+콘크리트관,
(주)상원그린콘,김정숙,경상남도 합천군 율곡면 황강옥전로 300,055-932-9200,세굴방지블록,
(주)세농유비농업회사법인,조영현,경상남도 합천군 율곡면 동부로 899-48,055-931-6004,유기질비료+비료,
(주)제일종합식품,유영석,경상남도 합천군 대양면 대야로 540,055-934-0130,냉면+축산가공식품,
(주)주원산업,류혜영,경상남도 합천군 초계면 동부로 993,055-931-5504,시멘트기와+식생호안블럭+식생축조블럭,
(주)프론테크,상보균,경상남도 합천군 야로면 보탑길 33,055-933-4700,신체장애인용 운송장비,
(주)한국세라믹,이미향,경상남도 합천군 가야면 사촌3길 2,,생활도자기+내열냄비,
(주)한솔글러브,한영석,경상남도 합천군 묘산면 영서로 1792,,면장갑+코팅장갑,
(주)한일석재,신외순,경상남도 합천군 묘산면 묘산로 106,055-933-1424,건축자재(석제품),
(주)한주,임혜경,경상남도 합천군 청덕면 동부로 2188,055-934-2182,사료,
(주)합천레미콘,양철진,경상남도 합천군 합천읍 마령로 401-26,055-932-8400,레미콘,
(주)해인기공,김은필,경상남도 합천군 가야면 가야시장로 71-11,055-932-7927,요업기계,
가야벽돌(주),이현주,경상남도 합천군 가야면 가조가야로 2263,055-932-7631,벽돌+블록,
