순번,회사명,대표자명,전화번호,팩스번호,공장대표주소,업종명,생산품,데이터기준일
1,넥센타이어(주) 창녕공장,강호찬,055-370-5114,055-386-8962,"경상남도 창녕군 대합면 대동월포로 291, 넥센타이어(주) 창녕공장(이방리 992번지)",타이어 및 튜브 제조업,타이어 및 튜브,2021-10-07
2,(주)세아베스틸,김철희,055-530-8500,055-530-8543,"경상남도 창녕군 대합면 대합산업단지로 100, (주)세아베스틸",제강업 외 1 종,특수강,2021-10-07
3,보그워너창녕 유한책임회사,김동희,055-520-2000,055-520-2094,경상남도 창녕군 계성면 명리길 78 외 4필지,자동차 엔진용 신품 부품 제조업 외 1 종,"내연기관용전장품(Starter,Alternator)",2021-10-07
4,(주)디케이오스텍 창녕공장,김학규,055-521-9091,051-727-7077,경상남도 창녕군 장마면 초곡길 235-24 (총 2 필지) 외 1필지,그 외 자동차용 신품 부품 제조업 외 4 종,자동차부품,2021-10-07
5,(주)센트랄 영산공장,"강태룡, 윤용호",055-520-3000,070-4275-1267,경상남도 창녕군 영산면 서리상촌길 307-106,그 외 자동차용 신품 부품 제조업 외 4 종,자동차 조향 및 현가장치 부품,2021-10-07
6,(주)SUN&L 창녕공장,서성교,055-294-8801,,경상남도 창녕군 도천면 일리 418 외 3필지,포장용 플라스틱 성형용기 제조업 외 1 종,생활용품 플라스틱 pump&spray,2021-10-07
7,(주)센트랄 영산AM공장,"윤용호, 이호영",055-520-0200,055-520-0297,경상남도 창녕군 영산면 서리상촌길 307-50,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,2021-10-07
8,(주)가야이에스씨,윤병국,055-532-0080,055-532-8901,경상남도 창녕군 대합면 이방대합로 1132 (총 5 필지) 외 8필지,기타 구조용 금속제품 제조업,"철구조물, BH제작, 금속부착물 외",2021-10-07
9,(주)지앤,박용주,055-536-9050,055-536-9050,경상남도 창녕군 영산면 서리상촌길 307-21,그 외 자동차용 신품 부품 제조업 외 4 종,연료필터 히터 및 센서,2021-10-07
10,구인전자(주),최주봉,055-526-6040,055-526-6044,경상남도 창녕군 남지읍 마산리 745-1번지,그 외 기타 전자부품 제조업 외 1 종,전자관,2021-10-07
11,(주)성일엠텍,장주영,055-521-1712,055-526-1712,경상남도 창녕군 영산면 서리 534번지,자동차 엔진용 신품 부품 제조업 외 1 종,"자동차엔진부품,태양력발전업",2021-10-07
12,(주)성일엠텍,장주영,055-521-1712,055-526-1712,경상남도 창녕군 영산면 서리 534번지,자동차 엔진용 신품 부품 제조업 외 1 종,"자동차엔진부품,태양력발전업",2021-10-07
13,(주)센트랄씨엠에스,권혁지,055-530-5611,055-533-5603,경상남도 창녕군 영산면 서리상촌길 307-29,자동차용 신품 조향장치 및 현가 장치 제조업,자동차 조향장치,2021-10-07
14,(주)금오중공업,김태규,055-521-5700,055-521-4700,경상남도 창녕군 영산면 서리상촌길 94,육상 금속 골조 구조재 제조업 외 3 종,크레인,2021-10-07
15,(주)협동정공,문영훈,055-532-5360,055-532-1938,경상남도 창녕군 대합면 평지리 996번지 외 1필지,"탭, 밸브 및 유사장치 제조업","밸브,금속관이음쇠",2021-10-07
16,(주)동림식품,최무영,055-536-4653,055-536-6620,경상남도 창녕군 계성면 계성장마로 250-18,"수산동물 훈제, 조리 및 유사 조제식품 제조업 외 2 종","농수산물통조림,농산물통조림, 카레, 짜장소스 통조림",2021-10-07
17,농업회사법인(주)영남엘피씨,황용주,055-533-1846,055-532-3263,경상남도 창녕군 대지면 효정리 432-1번지 외 14필지,육류 도축업(가금류 제외) 외 2 종,임가공품,2021-10-07
18,아이에스동서(주) 창녕지점,"정원호,김갑진,허석헌",055-532-1801,055-532-5730,경상남도 창녕군 대합면 우포2로 654 (동서산업),콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,콘크리트파일,2021-10-07
19,(주)신화열처리,장형규,055-530-9900,055-530-9999,"경상남도 창녕군 대합면 대합산업단지로 38-43, (1392번지) 외 1필지",자동차용 신품 동력전달장치 제조업,자동차 미션 부품,2021-10-07
20,(주)영신티알,박남주,055-342-4611,055-526-1712,경상남도 창녕군 영산면 서리상촌길 307-7,자동차 엔진용 신품 부품 제조업 외 1 종,구동장치고무제품,2021-10-07
21,(주)성일엠텍,장주영,055-521-1712,,경상남도 창녕군 영산면 서리상촌길 307-113,그 외 기타 고무제품 제조업,피스톤핀,2021-10-07
22,(주)화인베스틸,장인화,055-259-2024,055-259-2020,경상남도 창녕군 창녕읍 창밀로 259-33 외 1필지,열간 압연 및 압출 제품 제조업,조선용형강,2021-10-07
23,주식회사 대성파인텍,김병준,055-289-4883,055-289-4890,경상남도 창녕군 계성면 영산계성로 560,그 외 자동차용 신품 부품 제조업 외 17 종,자동차샤시 등,2021-10-07
24,디에이치튜브주식회사,이하균,055-532-8462,,경상남도 창녕군 성산면 후천리 504번지 외 2필지 외 2필지,그 외 자동차용 신품 부품 제조업 외 4 종,엔진용파워트레인,2021-10-07
25,(주)에이원(제2공장),강현,055-536-7200,055-536-7204,경상남도 창녕군 계성면 명리길 66 외 1필지,광학렌즈 및 광학요소 제조업,휴대폰카메라 모듈(렌즈),2021-10-07
26,(주)미래테크-1공장,김동우,055-532-6534,055-532-6538,경상남도 창녕군 성산면 후천공단길 37,그 외 자동차용 신품 부품 제조업 외 3 종,자동차 에어콘용 콤프레샤부품,2021-10-07
27,(주)화성,박철민,055-532-3979,055-532-3981,경상남도 창녕군 성산면 후천공단길 23,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,2021-10-07
28,디에이치튜브(주),이하균,055-532-8462,055-532-8465,경상남도 창녕군 성산면 후천공단길 29 (총 3 필지) 외 2필지,그 외 자동차용 신품 부품 제조업 외 4 종,자동차부품,2021-10-07
29,영진기계(주),박태형,055-532-0871,055-532-0874,경상남도 창녕군 창녕읍 창녕공단길 40 (영진기계주식회사),농업 및 임업용 기계 제조업,농업용기계,2021-10-07
30,하이에어코리아(주),김근배,055-340-5139,055-346-3301,경상남도 창녕군 도천면 송진리 868번지,선박 구성 부분품 제조업,선박용 구성품,2021-10-07
31,(주)유일,한영홍,055-532-4741,055-532-7771,"경상남도 창녕군 대합면 대합공단길 46, 대합농공단지내",복합비료 및 기타 화학비료 제조업,복합비료,2021-10-07
32,(주)시코텍,이승림,055-533-9971,,경상남도 창녕군 대합면 대합산업단지로 95,"알루미늄 제련, 정련 및 합금 제조업",알루미늄 합금,2021-10-07
33,(주)이노폴,윤범식,055-520-9000,055-521-7011,경상남도 창녕군 계성면 준공업단지길 16 (총 4 필지) 외 3필지,일반용 도료 및 관련제품 제조업,분체도료용 원료,2021-10-07
