구분,회사명,전화번호,공장대표주소,업종명,직원수,관리기관명,관리기관전화번호,생산품
구미해평농공단지,(주)나산이엔씨,054-715-5550,경상북도 구미시 해평면 월호3길 73,공기 조화장치 제조업,17,경상북도 구미시청,054-480-6137,
구미해평농공단지,(주)대봉산업,,경상북도 구미시 해평면 월호3길 69,운송장비 조립용 플라스틱제품 제조업 외 1 종,13,경상북도 구미시청,054-480-6137,
구미해평농공단지,(주)새동방,054-474-0439,경상북도 구미시 해평면 월호3길 18 (동방섬유),재생섬유 제조업,5,경상북도 구미시청,054-480-6137,
구미해평농공단지,(주)에스에스앤아이,054-474-2120,경상북도 구미시 해평면 월호3길 51,산업처리공정 제어장비 제조업,2,경상북도 구미시청,054-480-6137,
구미해평농공단지,(주)한성정공1공장,054-474-0970,경상북도 구미시 해평면 월호3길 51,그 외 기타 전자부품 제조업 외 8 종,12,경상북도 구미시청,054-480-6137,
구미해평농공단지,(주)한성정공3공장,054-474-0970,경상북도 구미시 해평면 월호3길 61,그 외 기타 전자부품 제조업 외 1 종,24,경상북도 구미시청,054-480-6137,
구미해평농공단지,구일엔지니어링,,경상북도 구미시 해평면 월호3길 45,농업 및 임업용 기계 제조업,10,경상북도 구미시청,054-480-6137,
구미해평농공단지,대산포장,054-474-2005,경상북도 구미시 해평면 월호3길 37,골판지 제조업 외 1 종,8,경상북도 구미시청,054-480-6137,
구미해평농공단지,동명산업,054-474-6671,경상북도 구미시 해평면 월호3길 57,육상 금속 골조 구조재 제조업 외 1 종,4,경상북도 구미시청,054-480-6137,
구미해평농공단지,동신휀스철망공업사,054-474-8581,경상북도 구미시 해평면 월호3길 38,금속선 가공제품 제조업,16,경상북도 구미시청,054-480-6137,
구미해평농공단지,삼풍기업(주),054-474-2852,경상북도 구미시 해평면 월호3길 37 (아일공업(주)),자동차용 금속 압형제품 제조업 외 1 종,36,경상북도 구미시청,054-480-6137,
구미해평농공단지,세계산업,054-473-4124,경상북도 구미시 해평면 월호3길 45,"카펫, 마루덮개 및 유사제품 제조업",8,경상북도 구미시청,054-480-6137,
구미해평농공단지,에스피폴리머(주),,경상북도 구미시 해평면 월호3길 37 (아일공업(주)),혼성 및 재생 플라스틱 소재 물질 제조업,28,경상북도 구미시청,054-480-6137,
구미해평농공단지,주식회사 바이오스,054-473-8001,경상북도 구미시 해평면 월호3길 29,액체 여과기 제조업 외 9 종,41,경상북도 구미시청,054-480-6137,
구미해평농공단지,주식회사 케이디,053-636-0396,경상북도 구미시 해평면 월호3길 29,액체 여과기 제조업 외 8 종,14,경상북도 구미시청,054-480-6137,
구미해평농공단지,케이디파워 주식회사,054-441-9500,경상북도 구미시 해평면 월호3길 73,배전반 및 전기 자동제어반 제조업,14,경상북도 구미시청,054-480-6137,
구미해평농공단지,한성정공4공장,,경상북도 구미시 해평면 월호3길 51,그외기타전자부품제조업,13,경상북도 구미시청,054-480-6137,
구미해평농공단지,현펌프테크 주식회사,054-481-0098,경상북도 구미시 해평면 월호3길 61,액체 펌프 제조업,9,경상북도 구미시청,054-480-6137,
