회사명,대표자명,전화번호,공장대표주소,업종명,데이터기준일자,생산품
(주)CK월드,조광섭,054-932-3898,성주군 성주읍 성주산업단지로1길 3,기체 여과기 제조업,2018-07-31,
(주)고려창호,최상기,,성주군 성주읍 성주산업단지로2길 144,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",2018-07-31,
(주)그린텍,이정곤,054-933-4502,성주군 성주읍 성주산업단지로1길 120,그외 기타 자동차 부품 제조업,2018-07-31,
(주)대교,김칠연,053-586-6222,성주군 성주읍 성주산업단지로 24,그외 기타 일반목적용 기계 제조업,2018-07-31,
(주)대림산업,허만우,053-587-0062,성주군 성주읍 성주산업단지로2길 96,그외 기타 플라스틱 제품 제조업 외 1 종,2018-07-31,
(주)대일산업,서상목,054-974-6006,성주군 성주읍 성주산업단지로 50,금속 조립구조재 제조업,2018-07-31,
(주)대창하이테크,한원규,054-932-1235,성주군 성주읍 성주산업단지로1길 17,금속 성형기계 제조업 외 1 종,2018-07-31,
(주)동양엔지니어링,백인국,054-932-9842,성주군 성주읍 성주산업단지로1길 54,자동차 엔진용 부품 제조업,2018-07-31,
(주)맥스로텍 성주공장,김인환,053-584-6540,성주군 성주읍 성주산업단지로2길 131,자동차 엔진용 부품 제조업 외 2 종,2018-07-31,
(주)문루프,곽민정,,성주군 성주읍 성주산업단지로 80,그외 기타 자동차 부품 제조업,2018-07-31,
(주)부건니트,윤정환,054-931-3052,성주군 성주읍 성주산업단지로2길 52,편조원단 제조업,2018-07-31,
(주)삼성정공 성주공장,위성주,053-582-4120,성주군 성주읍 성주산업단지로1길 90,그외 기타 자동차 부품 제조업 외 1 종,2018-07-31,
(주)삼일강업,김남수,054-976-2332,성주군 성주읍 성주산업단지로 89,금속 조립구조재 제조업,2018-07-31,
(주)삼성팩 성주지점,장정환,031-654-6541,성주군 성주읍 금산리 1236번지,골판지 및 골판지상자 제조업,2018-07-31,
(주)삼성정공 성주지점,위성주,053-582-4120,성주군 성주읍 성주산업단지로1길 94,"탭, 밸브 및 유사장치 제조업 외 1 종",2018-07-31,
(주)세창,이태환,,성주군 성주읍 성주산업단지로2길 70,"플라스틱 선, 봉, 관 및 호스 제조업",2018-07-31,
(주)아림이엔지,김종우,054-931-8296,성주군 성주읍 예산리 938번지,자동차용 전기장치 제조업,2018-07-31,
(주)애픽스,강권수,054-932-9711,성주군 성주읍 성주산업단지로2길 12,그외 기타 전자부품 제조업 외 1 종,2018-07-31,
(주)원진용사,이해덕,054-956-3441,성주군 성주읍 성주산업단지로1길 60,자동차 엔진용 부품 제조업,2018-07-31,
(주)왕보,김현태,054-931-7881,성주군 성주읍 성주산업단지로2길 50,그외 기타 분류안된 섬유제품 제조업 외 1 종,2018-07-31,
(주)유니강재,박기현,054-971-3780,성주군 성주읍 성주산업단지로2길 132,"금속 문, 창, 셔터 및 관련제품 제조업",2018-07-31,
(주)유니스틸,박기현,054-977-9656,성주군 성주읍 성주산업단지로2길 132,절삭가공 및 유사처리업,2018-07-31,
(주)제로벡,손근호,,성주군 성주읍 성주산업단지로 78,그외 기타 자동차 부품 제조업,2018-07-31,
(주)지에스티,황성길,053-471-0930,"성주군 성주읍 성주산업단지로2길 120-5, 다동",설치용 금속탱크 및 저장용기 제조업,2018-07-31,
(주)진일공업,"황성, 황성준",054-604-5755,성주군 성주읍 성주산업단지로 78-16,자동차 엔진용 부품 제조업 외 1 종,2018-07-31,
(주)창성밴드,박길헌,053-615-6308,성주군 성주읍 성주산업단지로2길 51,끈 및 로프 제조업 외 1 종,2018-07-31,
(주)천일공조,천희욱,053-591-1001,성주군 성주읍 성주산업단지로2길 150-16,구조용 금속판제품 및 금속공작물 제조업,2018-07-31,
(주)케이씨테크,이대은,053-591-0320,성주군 성주읍 성주산업단지로 90,자동차 엔진용 부품 제조업,2018-07-31,
(주)케이씨엘,신명옥,054-931-7327,성주군 성주읍 성주산업단지로1길 53,"탭, 밸브 및 유사장치 제조업",2018-07-31,
(주)평화산자 성주지점,박종혁,054-931-4091,성주군 성주읍 성주산업단지로2길 116,특수직물 및 기타직물 직조업,2018-07-31,
(주)하나이노베이션,남영철,053-586-1008,성주군 성주읍 성주산업단지로2길 140,구조용 금속판제품 및 금속공작물 제조업,2018-07-31,
(주)한두아이펨,이정철,,성주군 성주읍 성주산업단지로2길 16,"전기회로 개폐, 보호 및 접속 장치 제조업",2018-07-31,
(주)한진보일러,김명희,054-932-0301,"성주군 성주읍 성주산업단지로1길 17, 라동, 마동",가정용 비전기식 조리 및 난방 기구 제조업 외 1 종,2018-07-31,
CSM Implant,조성암,053-952-8261,성주군 성주읍 성주산업단지로 35,정형외과용 및 신체보정용 기기 제조업,2018-07-31,
HS크린텍,김원희,053-556-4400,성주군 성주읍 성주산업단지로1길 41,"산업용 섬유세척, 염색, 정리 및 가공 기계 제조업 외 1 종",2018-07-31,
거봉,이현식,053-582-3431,성주군 성주읍 성주산업단지로2길 124,"금속 문, 창, 셔터 및 관련제품 제조업",2018-07-31,
거성테크,김형건,054-933-8368,성주군 성주읍 성주산업단지로 42,금속 성형기계 제조업,2018-07-31,
거봉하이텍,이현희,053-932-3430,성주군 성주읍 성주산업단지로2길 124,일반철물 제조업,2018-07-31,
대구자원(주),이경규,053-933-8368,성주군 성주읍 성주산업단지로 42,그외 기타 특수목적용 기계 제조업,2018-07-31,
디에스테크,김영자,053-581-4041,성주군 성주읍 예산리 934번지,그외 기타 자동차 부품 제조업 외 1 종,2018-07-31,
명일폼(주),노성열,054-931-3912,성주군 성주읍 성주산업단지로 23,플라스틱 발포 성형제품 제조업,2018-07-31,
브이피에이치메탈(유),"이명석,에릭발리베",054-930-5300,성주군 성주읍 성주산업단지로1길 99,자동차용 동력전달장치 제조업 외 1 종,2018-07-31,
삼부금속산업,김쌍호,053-358-5138,성주군 성주읍 성주산업단지로2길 144,일반철물 제조업,2018-07-31,
선경산업사,송형갑,054-932-4950,성주군 성주읍 성주산업단지로1길 47,금속파스너 및 나사제품 제조업,2018-07-31,
성산테크(주),홍영승,053-582-1185,성주군 성주읍 예산리 939번지,그외 기타 자동차 부품 제조업,2018-07-31,
성진영농조합법인,장성기,054-931-8401,성주군 성주읍 성주산업단지로2길 45,기타 과실·채소 가공 및 저장처리업,2018-07-31,
세경ENG,김순성,054-931-4854,성주군 성주읍 성주산업단지로2길 16,전동기 및 발전기 제조업,2018-07-31,
신생공업(주),"신경록, 신성용",054-931-5812,성주군 성주읍 성주산업단지로1길 20,분말야금제품 제조업,2018-07-31,
아주에스엔티,신수희,054-271-4088,성주군 성주읍 성주산업단지로 72,자동차 차체용 부품 제조업,2018-07-31,
엔케이디,송정훈,053-584-7688,성주군 성주읍 성주산업단지로 41,전기용 탄소제품 및 절연제품 제조업,2018-07-31,
영창케미칼(주) 제4공장,이성일,054-930-2500,성주군 성주읍 성주산업단지로 49,그외 기타 전자부품 제조업,2018-07-31,
우성테크,서순분,053-588-5720,성주군 성주읍 성주산업단지로 82,그외 기타 자동차 부품 제조업,2018-07-31,
원광테크,김형섭,054-931-9899,성주군 성주읍 성주산업단지로1길 17,기타 물품취급장비 제조업,2018-07-31,
육일FGC,여권택,054-933-7041,성주군 성주읍 성주산업단지로 58-13,그외 기타 자동차 부품 제조업,2018-07-31,
정인H&SP,김영길,054-931-9041,성주군 성주읍 성주산업단지로2길 59,금속 열처리업,2018-07-31,
제이앤케이(주),박진형,054-933-1236,성주군 성주읍 성주산업단지로2길 120-5,"금속 문, 창, 셔터 및 관련제품 제조업",2018-07-31,
지앤비산업,임상규,054-933-9328,성주군 성주읍 성주산업단지로2길 120-5,"금속 문, 창, 셔터 및 관련제품 제조업",2018-07-31,
태양산업,노진용,,성주군 성주읍 금산리 1251번지,그외 기타 일반목적용 기계 제조업,2018-07-31,
하나섬유,박충길,054-931-3454,성주군 성주읍 금산리 1237번지,연사 및 가공사 제조업,2018-07-31,
한국파워트레인(주),김상태,054-930-3000,성주군 성주읍 성주산업단지로2길 22,자동차용 동력전달장치 제조업,2018-07-31,
(주)경영산업,안문화,053-639-0227,성주군 월항면 월항지방공단길 18,건설용 석제품 제조업 외 1 종,2018-07-31,
(주)일성테크,박명옥,054-979-2203,성주군 월항면 월항지방공단길 31,기체 여과기 제조업 외 3 종,2018-07-31,
(주)한성석재,강미경,054-933-6214,성주군 월항면 월항지방공단길 17,건설용 석제품 제조업,2018-07-31,
가산석재,전숙이,054-933-8114,성주군 월항면 월항지방공단길 9,건설용 석제품 제조업,2018-07-31,
건영석재,정익진,054-931-2310,성주군 월항면 월항지방공단길 24,건설용 석제품 제조업,2018-07-31,
경영석재,김영숙,054-931-0497,성주군 월항면 월항지방공단길 18,비주거용 건물 임대업,2018-07-31,
대원산업,서찬교,,성주군 월항면 월항지방공단길 31,농업 및 임업용 기계 제조업,2018-07-31,
대일석재,김형천,,성주군 월항면 월항지방공단길 7,건설용 석제품 제조업,2018-07-31,
동방석재산업,황상목,054-933-8313,성주군 월항면 월항지방공단길 35,건설용 석제품 제조업,2018-07-31,
문경석재,최준열,054-931-8032,성주군 월항면 월항지방공단길 13,건설용 석제품 제조업,2018-07-31,
미진스톤,김종,,성주군 월항면 월항지방공단길 23,석재성형가공품제조업,2018-07-31,
삼화석재,서민순,054-933-1721,성주군 월항면 월항지방공단길 27,비주거용 건물 임대업,2018-07-31,
성우석재산업,박만정,054-931-9116,성주군 월항면 월항지방공단길 14,건설용 석제품 제조업,2018-07-31,
영진석재(주),김복구,054-931-0737,성주군 월항면 월항지방공단길 22,건설용 석제품 제조업,2018-07-31,
정우실업,김갑수,054-933-9491,성주군 월항면 월항지방공단길 25,기타 석제품 제조업,2018-07-31,
주식회사 대경건업 성주지점,김동규,053-762-8016,성주군 월항면 월항지방공단길 27,건설용 석제품 제조업,2018-07-31,
청화산업개발(주),고은실,054-933-0477,성주군 월항면 유월리 산 933-7번지,건설용 석제품 제조업,2018-07-31,
태영석물,김종명,,성주군 월항면 유월리 932-4 번지,기타 석제품 제조업,2018-07-31,
(주)구일산업성주2공장,고성호,054-933-4219,성주군 월항면 월항농공단지1길 20,연사 및 가공사 제조업,2018-07-31,
(주)금성산업 성주제2공장,이장춘,054-931-2659,성주군 월항면 월항농공단지1길 42-11,기계장비 조립용 플라스틱제품 제조업,2018-07-31,
(주)금성산업,이장춘,054-931-2655,성주군 월항면 월항농공단지1길 41,기계장비 조립용 플라스틱제품 제조업,2018-07-31,
(주)대성식품,천병창,054-931-7229,성주군 월항면 월항농공단지2길 15,과실 및 채소 절임식품 제조업,2018-07-31,
(주)동아필름,박회국,054-933-8535,성주군 월항면 월항농공단지1길 63,"플라스틱 필름, 시트 및 판 제조업",2018-07-31,
(주)베스트모카,백신성,054-931-2241,성주군 월항면 월항농공단지1길 45,기타 편조의복 액세서리 제조업,2018-07-31,
(주)유일코퍼레이션,이인숙,054-931-4442,성주군 월항면 월항농공단지1길 24,화학섬유직물 직조업,2018-07-31,
(주)유성특수산업,서동수,054-931-3257,성주군 월항면 월항농공단지1길 54,특수직물 및 기타직물 직조업,2018-07-31,
(주)일성산업,송철한,054-977-8827,성주군 월항면 월항농공단지1길 44,"플라스틱 포대, 봉투 및 유사제품 제조업 외 1 종",2018-07-31,
(주)제스코,이기원,054-931-0700,성주군 월항면 월항농공단지1길 1,강관 제조업,2018-07-31,
(주)케이티지성주사업장,"장명식, 장진호",054-931-1477,성주군 월항면 월항농공단지1길 2,플라즈마 및 기타 평판 디스플레이 제조업,2018-07-31,
(주)한국이엔씨,도재곤,054-933-9852,성주군 월항면 월항농공단지1길 42-29,배전반 및 전기자동제어반 제조업,2018-07-31,
(주)현진,박근식,053-751-1417,성주군 월항면 월항농공단지1길 42-29,일반용 전기 조명장치 제조업 외 5 종,2018-07-31,
(주)화진스틸,유화진,054-931-1100,성주군 월항면 월항농공단지1길 65,금속선 가공제품 제조업,2018-07-31,
C&S(주),현치문,,성주군 월항면 월항농공단지1길 42-16,"플라스틱 포대, 봉투 및 유사제품 제조업",2018-07-31,
금천산업,이금찬,,성주군 월항면 월항농공단지1길 11,화학섬유직물 직조업,2018-07-31,
대경아이티,최성국,054-931-0444,성주군 월항면 월항농공단지1길 42-29,방송장비 제조업 외 5 종,2018-07-31,
대광섬유,정종원,054-931-6440,성주군 월항면 월항농공단지1길 35,연사 및 가공사 제조업,2018-07-31,
대광섬유 성주2공장,정종원,054-931-1166,성주군 월항면 월항농공단지2길 23,화학섬유직물 직조업,2018-07-31,
대림이앤티,신대일,,성주군 월항면 월항농공단지2길 15,액체 펌프 제조업 외 2 종,2018-07-31,
대양제면,권호용,054-931-6374,성주군 월항면 월항농공단지1길 33,"면류, 마카로니 및 유사식품 제조업",2018-07-31,
대은산업,권영주,054-931-8631,성주군 월항면 월항농공단지2길 9,섬유사 및 직물 호부처리업,2018-07-31,
대한산업,이진석,054-931-6111,성주군 월항면 월항로 147,합성수지 및 기타 플라스틱물질 제조업,2018-07-31,
대호산업,천선례,054-933-6870,"성주군 월항면 월항농공단지1길 42-28,",부직포 및 펠트 제조업 외 1 종,2018-07-31,
대진섬유,이영모,054-931-8141,성주군 월항면 월항로 161,화학섬유직물 직조업,2018-07-31,
동문산업(주),김병영,054-931-2115,성주군 월항면 월항농공단지1길 42-21,일반철물 제조업 외 2 종,2018-07-31,
동우에이치에스티(주),정수진,054-931-0890,성주군 월항면 월항농공단지2길 29,금속 열처리업,2018-07-31,
목화표장갑,백규현,054-931-2241,성주군 월항면 월항농공단지1길 45,편조제품 제조업 외 1 종,2018-07-31,
비케이텍스,류병권,054-933-9285,성주군 월항면 월항농공단지1길 30,연사 및 가공사 제조업,2018-07-31,
삼원글로벌,이준엽,054-931-9922,성주군 월항면 월항농공단지2길 29,금속 열처리업,2018-07-31,
삼우포장,한종희,,성주군 월항면 월항농공단지1길 12,골판지 및 골판지상자 제조업,2018-07-31,
삼광산업,도호곤,054-931-4500,성주군 월항면 월항농공단지1길 42-15,기타 인쇄업 외 2 종,2018-07-31,
서광물산,김대균,054-931-6114,성주군 월항면 월항농공단지1길 66,연사 및 가공사 제조업,2018-07-31,
세원후렉소(주),김성남,054-931-0773,성주군 월항면 월항농공단지1길 49,기타 인쇄업,2018-07-31,
에스디에스(주),박종안,054-933-0004,성주군 월항면 월항농공단지1길 21,컴퓨터시스템 통합 자문 및 구축 서비스업 외 4 종,2018-07-31,
에이지에이텍스(주)성주공장,김주형,054-931-6117,성주군 월항면 월항농공단지1길 30,화학섬유직물 직조업,2018-07-31,
유일실업,류일선,054-931-1747,성주군 월항면 월항농공단지1길 24,화학섬유직물 직조업,2018-07-31,
주식회사코리아파이프,이정희,054-715-6780,성주군 월항면 월항농공단지1길 62,"플라스틱 선, 봉, 관 및 호스 제조업 외 2 종",2018-07-31,
현대파이프(주),조선제,054-534-3614,성주군 월항면 월항농공단지1길 62,"플라스틱 선, 봉, 관 및 호스 제조업",2018-07-31,
(주)금오섬유,박세훈,054-372-2103,성주군 선남면 선남농공단지길 18,특수직물 및 기타직물 직조업,2018-07-31,
(주)세영,이천세,054-931-2267,성주군 선남면 선남농공단지길 42,연사 및 가공사 제조업 외 2 종,2018-07-31,
(주)세영,이천세,054-931-2267,성주군 선남면 선남농공단지길 22,연사 및 가공사 제조업 외 2 종,2018-07-31,
(주)이코우,김경규,054-933-1870,성주군 선남면 선남농공단지길 38,액체 여과기 제조업 외 10 종,2018-07-31,
