회사명,전화번호,팩스번호,공장대표주소,업종명,생산품,대표명,데이터기준일자
(주)경북가스검사소,054-843-2662,054-843-2664,경상북도 안동시 풍산읍 풍산단호로 131 외 1필지,금속탱크 및 저장용기 제조업 외 1 종,LP가스용기,권혁기,2021-09-02
(주)경북네트워크,054-857-0013,054-857-0014,"경상북도 안동시 무주무6길 40, 제4동 1층 (수하동)",유선 통신장비 제조업 외 2 종,"방송 및 전광판 응용장치 제품, RF-모듈레이터",천문기,2021-09-02
(주)광진기업,054-821-2244,,경상북도 안동시 수상동 820-150번지,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",농자재 부품,이동시,2021-09-02
(주)그린솔루션스,,,"경상북도 안동시 경북대로 142, (527-1) (수상동) 외 4필지",기타 구조용 금속제품 제조업,조립식 구조물,채홍엽,2021-09-02
(주)그린케미칼,054-856-2247,,경상북도 안동시 남선면 선진길 16-10,복합비료 및 기타 화학비료 제조업,복합비료,최재욱,2021-09-02
(주)그린테크,054-843-3005,54,경상북도 안동시 풍산읍 풍산태사로 1277,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",콘크리트 블럭,윤갑식,2021-09-02
(주)나우,054-859-0282,054-854-0282,"경상북도 안동시 경북대로 585, 1층 (송현동)",방송장비 제조업 외 2 종,"영상감시장치(CCTV), 단독경보형감지기","김봉덕, 심현주",2021-09-02
(주)농업회사법인 안동청해종합식품,054-858-1352,054-858-1351,경상북도 안동시 경동로 748 (법흥동),식용 정제유 및 가공유 제조업,"참기름, 들기름, 기타가공품",최부경,2021-09-02
(주)농협사료경북지사,054-820-3000,054-820-3099,경상북도 안동시 남선면 샘들윗길 40,배합 사료 제조업 외 1 종,양축용 배합사료,이부영,2021-09-02
(주)다담에이팩,,,경상북도 안동시 서후면 경북대로 1427,골판지 상자 및 가공제품 제조업,골판지상자,장경봉,2021-09-02
(주)대흥환경산업,054-858-8550,054-858-8660,경상북도 안동시 남선면 충효로 4147-19 외 2필지,아스팔트 콘크리트 및 혼합제품 제조업,"아스콘(상온, 가열 등)",홍순연,2021-09-02
(주)동아레미콘,054-858-8000,054-858-6780,경상북도 안동시 강남로 40-9 (수상동) 외 8필지,레미콘 제조업,레미콘,윤경원,2021-09-02
(주)동양기술단,054-841-8433,054-841-8435,경상북도 안동시 풍산읍 금당길 152-5 외 1필지,전동기 및 발전기 제조업 외 5 종,"유증가스 분석기, 수차터빈, 수차발전기",김춘동,2021-09-02
(주)모닝포크,054-841-2608,054-841-2609,경상북도 안동시 노하1길 110 (노하동),육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,돼지 육류가공품,강성민,2021-09-02
(주)보경비료공업,054-842-7647,054-842-3604,경상북도 안동시 풍산읍 풍산태사로 241,복합비료 및 기타 화학비료 제조업 외 1 종,부산물 비료퇴비,곽환열,2021-09-02
(주)부용비엔에프,054-853-2003,054-855-1263,경상북도 안동시 풍천면 하회서원마을길 45,차류 가공업 외 1 종,"우엉차, 마분말 등",유화성,2021-09-02
(주)새한축산,054-852-2700,054-853-4222,경상북도 안동시 노하1길 110 (노하동) (총 12 필지),육류 도축업(가금류 제외) 외 3 종,"소,돼지,염소고기",권재순,2021-09-02
(주)성도하이테크,,,경상북도 안동시 풍산읍 괴정2길 106-17 404동,농업 및 임업용 기계 제조업,"전자식활성수기, 제습기, 양액기",최성혁,2021-09-02
(주)성진,,,경상북도 안동시 서후면 경북대로 957-11,일반용 전기 조명장치 제조업 외 1 종,"LED조명 등기구,  LED 램프",장영숙,2021-09-02
(주)성훈통신기술,,,경상북도 안동시 전거리4길 7-32 (용상동),방송장비 제조업 외 4 종,"CCTV 및 NVR, 방송장비(스피커), 배선반(통신기기) 등",황상미,2021-09-02
(주)슈퍼바이오,054-856-2177,054-856-2178,경상북도 안동시 공단로 48 (수상동),단미 사료 및 기타 사료 제조업,"미생물생균제, 보조사료, 사료첨가제, 토양개량제, 탈취제",서명수,2021-09-02
(주)신호에이지디,,,경상북도 안동시 남후면 큰광음길 140,금속 표시판 제조업 외 1 종,교통안전표지,배재열,2021-09-02
