순번,회사명,대표자명,공장대표주소,전화번호,생산품,기준일자,업종명
1,(주)경북맨홀,이강희,경상북도 예천군 보문면 산단길 65,054-653-1140,"맨홀, 가로등기초석 등",2021-10-15,
2,(주)경북환경,전금생,경상북도 예천군 호명면 양궁로 682-9 외 9필지,054-652-1304,아스콘,2021-10-15,
3,(주)대경전시문화,남복자,"경상북도 예천군 예천읍 효자로 40, 5호 (세종타운)",054-654-0951,실물모형,2021-10-15,
4,(주)대명,심왕섭,경상북도 예천군 지보면 예지로 562,054-655-8801,콘크리트수로관,2021-10-15,
5,(주)대성스틸,남용섭,경상북도 예천군 예천읍 농공단지길 15,054-652-6969,"돌망태,와이메쉬,식생매트",2021-10-15,
6,(주)대신에이씨엠,이학남,"경상북도 예천군 보문면 산단길 14-5, 가동",054-652-3907,"땅속작물수확기, 제초기, 농용 하우스 밴딩 성형기",2021-10-15,
7,(주)디에스리퀴드,윤수현,경상북도 예천군 예천읍 농공단지길 36 (㈜사디에스),054-654-5125,금속용해제,2021-10-15,
8,(주)뚜또,남상주,경상북도 예천군 예천읍 농공단지길 43 외 3필지,054-654-0013,"과일젤리, 또띠아 등",2021-10-15,
9,(주)모모스,임준모,경상북도 예천군 호명면 호명로 557-9 103호,054-652-5400,"스마트 팜 시스템, 원격 관수 장치",2021-10-15,
10,(주)삼한씨원,"한삼화, 한승윤",경상북도 예천군 풍양면 상풍로 1368-50 외 10필지,054-655-0678,"적벽돌,도보블럭",2021-10-15,
11,(주)성지산업조명,엄희갑,경상북도 예천군 보문면 승본리 607번지,054-652-8307,"태양광 금속지지대, 배전반, 가로등",2021-10-15,
12,(주)신생활식품,"홍순필, 김세철",경상북도 예천군 호명면 양궁로 657 외 13필지,054-652-0008,"매실,과일쥬스",2021-10-15,
13,(주)중앙기업,현미선,경상북도 예천군 예천읍 농공단지길 34,054-652-4330,콘크리트 플룸관,2021-10-15,
14,(주)캐리어냉동건설,정재원,경상북도 예천군 예천읍 경서로 2462-78,054-655-2066,농산물 저온저장고,2021-10-15,
15,(주)케이티지오 농업회사법인 예천지점,김삼수,경상북도 예천군 지보면 예지로 584,054-655-8020,부산물 비료,2021-10-15,
16,(주)한국산업,김옥자,경상북도 예천군 예천읍 경서로 2355-11 외 1필지,054-655-0071,레미콘,2021-10-15,
17,(주)한국아스콘,김옥자,경상북도 예천군 예천읍 경서로 2355-11 외 4필지,054-655-0071,아스콘,2021-10-15,
18,(주)한천산업,남용섭,경상북도 예천군 예천읍 농공단지길 16,054-653-9592,하수관(HDPE 관),2021-10-15,
19,(주)현대코마산업,임재원,경상북도 예천군 예천읍 농공단지길 38 (총 2 필지) 외 1필지,054-654-7874,가공흑연,2021-10-15,
20,(합)신영아스콘,권오승,경상북도 예천군 예천읍 양궁로 378-25,054-654-4980,아스팔트제품,2021-10-15,
21,(합자)고려실업,권오승,경상북도 예천군 예천읍 양궁로 378-24 외 10필지,054-654-8354,"레미콘, 구조용콘크리트제품",2021-10-15,
22,(합자)신영레미콘,조관섭,경상북도 예천군 유천면 예성로 751 외 10필지,054-653-9898,레미콘,2021-10-15,
23,(합자)한양레미콘,이옥순,경상북도 예천군 호명면 양궁로 682-10 (한양레미콘) 외 4필지,054-654-8100,레미콘제조업,2021-10-15,
24,농부창고 영농조합법인,황영숙,경상북도 예천군 보문면 미호길 113-13,070-8839-8881,"참기름, 들기름, 생강진액",2021-10-15,
25,농업회사법인 (주)착한농부,김상선,경상북도 예천군 용문면 복천길 16-8 (농산물가공공장),054-652-0877,"오미자액상차, 복분자엑기스",2021-10-15,
26,농업회사법인 예천양조(주),박현주,경상북도 예천군 용궁면 월오리 490-1번지,054-655-8839,"탁주, 약주, 과실주",2021-10-15,
27,농업회사법인 주식회사 예천청결고추,박군상,경상북도 예천군 용문면 유용로 803,054-655-3003,고추가루,2021-10-15,
