회사명,단지명,대표자명,보유구분,공장대표주소,공장크기,전화번호,팩스번호,사업자등록번호,최초설립승인일,설립승인일,최초공장등록일,공장등록일,용지면적,제조시설면적,부대시설면적,남종업원,여종업원,(외남)종업원,(외여)종업원,업종명,용도지역,지목,공장상태,기준일자,생산품
(영)울진광역친환경농업단지조성사업단,,이종훈,자가,경상북도 울진군 근남면 매오길 259-10 (경축순환자원화센터),소기업,054-781-1131,054-781-1132,5078107560,,,2016-01-13,2018-06-20,3556.57,2455.2,1101.37,5,3,,,복합비료 및 기타 화학비료 제조업 외 1 종,관리지역/계획관리지역,잡종지,등록변경,2021-09-30,
(유)야생초,,남우영,자가,경상북도 울진군 울진읍 호월1길 172 외 1필지,소기업,054-781-1561,,5078111273,,,2013-04-15,2014-01-16,1396,170,271,2,8,,,김치류 제조업 외 1 종,관리지역/계획관리지역,공장용지,등록변경,2021-09-30,
(재)경북해양바이오산업연구원,,김관용,자가,경상북도 울진군 죽변면 해양과학길 22 (경북해양바이오산업연구원),소기업,054-780-3401,054-780-3401,5078203450,2012-04-05,2012-04-05,2012-07-25,2012-07-25,1117,1096,21,2,,,,수산동물 건조 및 염장품 제조업 외 6 종,도시지역/녹지지역/자연녹지지역,대,완료신고,2021-09-30,
(주) 와이엘정보,,허정덕,임대,경상북도 울진군 울진읍 고성1길 61-10 (대성전기㈜),소기업,,,5078107672,,,2007-04-27,2007-04-27,324,69.2,45.16,6,1,0,0,방송장비 제조업 외 1 종,도시지역/주거지역/제1종일반주거지역,대,신규등록,2021-09-30,
(주)건아정보기술,,장규동,임대,경상북도 울진군 울진읍 울진북로 779-33,소기업,054-783-5656,054-783-6500,5078110629,,,2016-04-22,2016-04-22,985,81.75,115.65,5,1,,,방송장비 제조업 외 1 종,관리지역/계획관리지역,대,신규등록,2021-09-30,
(주)경동물산,,이혜전,자가,경상북도 울진군 후포면 못골길 104 (정동물산),소기업,054-788-5961,054-788-5962,5078120243,1995-12-14,,1995-12-21,2020-03-09,1802,191.1,188.8,4,0,0,0,복합비료 및 기타 화학비료 제조업 외 1 종,관리지역,공장용지,등록변경,2021-09-30,
(주)경동상사,,최성국,자가,경상북도 울진군 후포면 쇠골1길 16-33 (경동상사),소기업,054-788-0122,,5078503470,1980-02-01,1980-02-01,1980-02-01,2005-04-18,1964,572.22,22.36,3,2,0,0,배합 사료 제조업 외 1 종,관리지역,공장용지,등록변경,2021-09-30,
(주)경북레미콘,,박진율,자가,경상북도 울진군 죽변면 후정리 930번지 외 1필지,소기업,,054-782-5901,5078113121,2014-04-09,,2015-02-04,2015-05-29,6528,369.83,627.89,8,2,,,레미콘 제조업,관리지역/계획관리지역,답,등록변경,2021-09-30,
(주)공항레미콘,,김길수,자가,경상북도 울진군 기성면 기성로 287,소기업,054-787-4545,054-787-4544,7168700824,2017-03-23,,2018-05-04,2020-08-27,9053,883.97,183.06,6,1,,,레미콘 제조업,관리지역/계획관리지역,공장용지,등록변경,2021-09-30,
(주)굿또르푸드,,안승철,자가,경상북도 울진군 원남면 갈면대평길 285-9,소기업,054-783-2003,054-783-2050,5078112253,2011-12-19,2013-05-23,2013-07-10,2013-07-31,6026,388.8,261.4,5,5,,,기타 곡물 가공품 제조업 외 1 종,관리지역/계획관리지역,학교용지,등록변경,2021-09-30,
