순번,단지명,회사명,대표업종번호,업종번호,업종명,공장대표주소,시군구,설립구분,생산품
1,성서지방산업단지,(주)명장,30399,30399+29294+30391+30392+30400,그 외 자동차용 신품 부품 제조업 외 4 종,대구성서산업단지관리공단,달서구,일반산업단지,실린더+댐퍼
2,서대구일반산업단지,(SM)컨설팅,68112,68112,비주거용 건물 임대업,서대구산업단지관리공단,서구,일반산업단지,경영 컨설팅
3,서대구일반산업단지,(SW)홀마켓,17222,17222,판지 상자 및 용기 제조업,서대구산업단지관리공단,서구,일반산업단지,포장완충재
4,대구제3일반산업단지,(사)한국장애인문화협회,17901,17901+18111+18113+18119,문구용 종이제품 제조업 외 3 종,대구제3산업단지관리공단,북구,일반산업단지,스케치북+수첩 등
5,,(사)한국지체장애인협회 달성군장애인재활자립작업장,22231,22231+16292+18119+32029+33933,플라스틱 포대+봉투 및 유사제품 제조업 외 4 종,대구광역시 달성군,달성군,일반,종량제봉투
6,달성2차일반산업단지,(사)한국지체장애인협회 달성군장애인재활자립작업장,16292,16292+18119+22231+32029+33933,장식용 목제품 제조업 외 4 종,한국산업단지공단 대구지역본부 달성사무소,달성군,일반산업단지,쓰레기종량제봉투 외
7,,(사)한국척수장애인협회디지털사업단,18111,18111,경 인쇄업,대구광역시 동구,동구,일반,인쇄물
8,성서5차첨단산업단지,(유)대구특수금속,29294,29294,주형 및 금형 제조업,대구성서산업단지관리공단,달성군,일반산업단지,자동차상업인쇄
9,성서지방산업단지,(유)대구특수금속,30399,30399+18112+26295+26299+29294+30391+30392+30400,그 외 자동차용 신품 부품 제조업 외 7 종,대구성서산업단지관리공단,달서구,일반산업단지,자동차부품+명판+라벨류
10,대구염색일반산업단지,(유)대안에이엔씨,13403,13403,날염 가공업,대구염색산업단지관리공단,서구,일반산업단지,나염
11,성서지방산업단지,(유)딘텍스코리아,18111,18111+18113,경 인쇄업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,경인쇄
12,성서지방산업단지,(유)시브코리아,31920,31920+31999,모터사이클 제조업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,모터사이클
13,대구제3일반산업단지,(유)케이엠에스,25933,25933,비동력식 수공구 제조업,대구제3산업단지관리공단,북구,일반산업단지,툴홀더+보링바
14,서대구일반산업단지,(자)구진기업,25922,25922,도금업,서대구산업단지관리공단,서구,일반산업단지,시계+휴대폰 도금
15,,(자)삼우전자통신,26421,26421+26410+28121+28122,방송장비 제조업 외 3 종,대구광역시 수성구,수성구,일반,보안용카메라 외
16,성서지방산업단지,(재)대구기계부품연구원,29294,29294,주형 및 금형 제조업,대구성서산업단지관리공단,달서구,일반산업단지,주형 금형
