순번,회사명,공장대표주소,공장대표주소(지번),업종명,전화번호,생산품
1, 나현섬유,"부산광역시 강서구 녹산산단362로 17, 1742-1번지 (송정동)",부산광역시 강서구 송정동 1742-1번지 1742-1번지,어망 및 기타 끈 가공품 제조업,051-832-1217,
2, 수정공업사,부산광역시 강서구 미음동 0번지 부산신항배후 국제산업물류도시(1단계) 일반산업단지 I33블록 6놋트,부산광역시 강서구 미음동 0번지 부산신항배후 국제산업물류도시(1단계) 일반산업단지 I33블록 6놋트,볼트 및 너트류 제조업 외 2 종,051-317-7730,
3,(가칭)네오테크,부산광역시 기장군 일광면 원리 228번지,부산광역시 기장군 일광면 원리 228번지,육상 금속 골조 구조재 제조업 외 1 종,,
4,(가칭)한나제조업,부산광역시 기장군 장안읍 오리 323-19번지,부산광역시 기장군 장안읍 오리 323-19번지,건설 및 채광용 기계장비 제조업,,
5,(사)골든장애인협회사업단,"부산광역시 사상구 새벽로121번길 21, 2층 (감전동)",부산광역시 사상구 감전동 163-5번지 2층,배전반 및 전기 자동제어반 제조업 외 7 종,051-464-1791,
6,(사)부산고등어식품전략사업단,부산광역시 서구 원양로 242 (암남동) 외 1필지,부산광역시 서구 암남동 755-6번지 외 1필지,기타 수산동물 가공 및 저장 처리업,051-714-7140,
7,(사)부산광역시부산진구장애인협회 희망피복사업소,"부산광역시 북구 기찰로 181-7, 2층(만덕동, 광덕물산)",부산광역시 북구 만덕동 700 광덕물산 2층,편조의복 제조업 외 6 종,051-338-5556,
8,(사)하나복지회 피복사업장,"부산광역시 사하구 다대로354번안길 20, 2층(장림동)",부산광역시 사하구 장림동 451-10 2층,남자용 겉옷 제조업 외 24 종,051-262-6911,
9,(사)한국선원장애인복지협회,"부산광역시 사상구 학감대로192번길 60, 4층 (학장동)",부산광역시 사상구 학장동 280-1번지 4층,종이 포대 및 가방 제조업,051-315-4863,
10,(사)한국신체장애인복지회봉제사업부,부산광역시 북구 금곡대로 120 (덕천동),부산광역시 북구 덕천동 561-32번지,남자용 겉옷 제조업 외 12 종,051-363-9392,
