name,address,type,product
유성기공,경상남도 김해시 한림면 명동리 1167-23번지 외 1필지,절삭가공 및 유사처리업,
(주)건기,경상남도 밀양시 부북면 춘화로 378 외 1필지,구조용 금속 판제품 및 공작물 제조업 외 5 종,"지붕자재(패널), 찬넬, 후레싱 외"
(주)그린테크,경상남도 밀양시 산내면 산내로 720 외 6필지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 2 종",보도블럭
(주)나라산업,경상남도 밀양시 산내면 산내야촌길 96-48 외 5필지,기타 건축용 플라스틱 조립제품 제조업,PVC창호
(주)농업회사법인 팜월드,경상남도 밀양시 삼랑진읍 삼랑진로 465-8 외 5필지,기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종,신선편의식품
(주)대성레미콘,경상남도 밀양시 부북면 사포로 65-1 외 5필지,레미콘 제조업,레미콘
(주)대신산업,경상남도 밀양시 초동면 초동농공단지길 5 (총 2 필지) 외 1필지,폴리스티렌 발포 성형제품 제조업 외 1 종,스티로폴
(주)대우선재,경상남도 밀양시 부북면 무안로 800 외 4필지,철강선 제조업,"환봉, 코일"
(주)도시,산외강변로 347 외 1필지,육상 금속 골조 구조재 제조업 외 6 종,"도로 및 교량 난간, 맨홀뚜껑 등"
(주)동신지관,경상남도 밀양시 하남읍 성만남전로 194-7 (총 2 필지) 외 1필지,판지 상자 및 용기 제조업,지관
(주)리하온,경상남도 밀양시 삼랑진읍 만어로 305 외 4필지,그 외 자동차용 신품 부품 제조업 외 3 종,"스프링, 클립"
(주)미들찬농업회사법인,경상남도 밀양시 하남읍 백산로 152 외 1필지,차류 가공업 외 1 종,가공 농산물
(주)밀양본차이나,경상남도 밀양시 용두동길 2 (가곡동) (총 4 필지) 외 3필지,가정용 및 장식용 도자기 제조업,가정용도자기
(주)밀양한천,경상남도 밀양시 산내면 봉의로 58-31 외 1필지,수산식물 가공 및 저장 처리업,"분말.실 한천, 양갱 등"
(주)보연엔지니어링,경상남도 밀양시 삼랑진읍 용전1길 8 외 1필지,선박 구성 부분품 제조업 외 2 종,"선박내장제구성부품, 성형기"
(주)삼성산업 밀양공장,경상남도 밀양시 초동면 초동농공단지길 12 외 2필지,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 2 종,"콘크리트 침목, 레미콘"
(주)삼성팩,경상남도 밀양시 산내면 산내로 794 외 4필지,골판지 제조업 외 1 종,골판지박스
(주)새한그라스테크,경상남도 밀양시 산외면 산외강변로 263 외 3필지,안전유리 제조업 외 1 종,접합.강화유리
(주)서울세라텍,경상남도 밀양시 하남읍 대사길 48-22 외 2필지,타일 및 유사 비내화 요업제품 제조업,타일
(주)서일특수목재,경상남도 밀양시 삼랑진읍 사기점길 33 외 6필지,일반 제재업 외 3 종,"특수목재, 각재, 방부처리목재, 조경재"
(주)선인,경상남도 밀양시 초동면 초동농공단지길 23-22 외 1필지,그 외 기타 식료품 제조업 외 3 종,식물성크림
(주)성경티에스,경상남도 밀양시 산외면 다죽리 1199-11번지 외 1필지,안전유리 제조업 외 1 종,복층유리
(주)성진기계,경상남도 밀양시 초동면 초동농공단지길 39-56 외 2필지,기어 및 동력전달장치 제조업 외 5 종,"베어링,동력전달장치"
(주)세림,경상남도 밀양시 하남읍 양명길 118-18 외 1필지,육상 금속 골조 구조재 제조업 외 2 종,"철구조물,도장품"
(주)세림인더스트리,경상남도 밀양시 산내면 산내로 656 외 4필지,자동차 차체용 신품 부품 제조업 외 1 종,자동차차체용 부품
(주)센트랄모텍,경상남도 밀양시 초동면 초동농공단지길 24-16 외 1필지,금속 단조제품 제조업,자동차부품(암류)
(주)승진그린텍,경상남도 밀양시 초동면 금포안길 100 외 3필지,복합비료 및 기타 화학비료 제조업 외 1 종,"부산물 퇴비,부숙톱밥"
(주)신세계건설,경상남도 밀양시 상남면 조음로 34-6 (총 5 필지) 외 4필지,일반철물 제조업,파이프 비닐온실 부품
(주)신창지앤윈,경상남도 밀양시 산외면 남기동길 175 외 2필지,안전유리 제조업 외 1 종,복층유리
(주)신행리버텍,경상남도 밀양시 무안면 사명대사생가로 114 외 2필지,기타 건축용 나무제품 제조업 외 3 종,방음판넬
(주)아산-밀양지점,경상남도 밀양시 부북면 사포로 565 외 1필지,자동차 차체용 신품 부품 제조업 외 1 종,자동차 부품
(주)알멕코리아,경상남도 밀양시 부북면 사포산단중앙로 130 외 2필지,자동차 차체용 신품 부품 제조업 외 1 종,"전기차 배터리 케이스, 알루미늄 압출형재"
(주)에스엠티,경상남도 밀양시 초동면 초동농공단지길 39-32 외 1필지,분사기 및 소화기 제조업 외 1 종,"투척식 소화기, 자동차부품"
(주)에스제이,경상남도 밀양시 하남읍 양동농공단지길 64 (총 2 필지) 외 1필지,그 외 기타 금속가공업,철구조물
(주)에스제이기업,경상남도 밀양시 삼랑진읍 미율로 47 외 3필지,육상 금속 골조 구조재 제조업 외 1 종,케이블 트레이
(주)에이디에스레일,경상남도 밀양시 상남면 상남로 693 (라동) 외 1필지,철도차량 부품 및 관련 장치물 제조업,철도차량부품
(주)예솔,경상남도 밀양시 무안면 무안로 367 외 5필지,동물성 유지 제조업,동물성 유지
(주)오륙,경상남도 밀양시 삼랑진읍 미율로 144-5 외 1필지,"플라스틱 선, 봉, 관 및 호스 제조업 외 1 종","플라스틱압출품, DR SIDE류"
