회사명,신고기준년도,폐기물 종류,운반자,처리업소명,처리방법,공장대표주소,,업종명,생산품
언더로뎀요양병원,2020,그 밖의 폐섬유,(주)세명유니온,경북환경에너지(주),중간처분(일반소각),경상북도 칠곡군 동명면 기성10길 24,,,
일광영농조합법인,2020,그 밖의 식물성잔재물,(주)라이프환경,상공원예영농조합법인,재활용(농업생산활동에 사용),경상북도 칠곡군 동명면 금암동석4길 32,,,
(주)토성 기산지점,2020,폐합성고무류,(주)나림우드,한일시멘트(주)단양공장,재활용(직접 에너지회수),경상북도 칠곡군 기산면 행정2길 95,,,
은경케미칼,2020,폐합성수지류(폐염화비닐수지류는 제외한다),(주)대화티엔에스,(주)케이비아이국인이산업,중간처분(일반소각),경상북도 칠곡군 가산면 학상1길 159-26,,,
메디오니아,2020,폐의약품류,주식회사 강우,(주)동양환경,중간처분(일반소각),서울특별시 강동구 구천면로 278_ 1층 (천호동_ 동아하이빌아파트),,,
건운환경산업,2020,폐합성수지류(폐염화비닐수지류는 제외한다),(주)대림에코,(주)에스피네이처,중간처분(일반소각),경상북도 칠곡군 가산면 학하9길 18,,,
건운환경산업,2020,폐합성수지류(폐염화비닐수지류는 제외한다),건운환경산업,(주)이엔이,중간처분(일반소각),경상북도 칠곡군 가산면 학하9길 18,,,
쿠팡풀필먼트서비스(유),2020,폐합성수지류(폐염화비닐수지류는 제외한다),강산환경개발,(주)케이비아이국인산업,중간처분(일반소각),경상북도 칠곡군 지천면 금호로 272_ 영남컨복합화물터미널및내륙컨테이너기지민,,,
쿠팡풀필먼트서비스(유),2020,그 밖의 동ㆍ식물성잔재물,강산환경개발,(주)케이비아이국인산업,중간처분(일반소각),경상북도 칠곡군 지천면 금호로 272_ 영남컨복합화물터미널및내륙컨테이너기지민,,,
(주)상도비철,2020,폐합성수지류(폐염화비닐수지류는 제외한다),폐전선구리산업(주),폐전선구리산업(주) 중부지점,재활용(원료 제조),경상북도 칠곡군 지천면 금호로1길 76-2,,,
(주)디에스지,2019,폐합성수지류(폐염화비닐수지류는 제외한다),봉촌산업,봉촌산업,재활용(중간가공폐기물 제조),경상북도 칠곡군 왜관읍 금남1길 139,,,
(주)대교디앤에스 구미 마이다스골프,2019,그 밖의 폐기물,(주)동부환경,(주)다나에너지솔루션,중간처분(일반소각),경상북도 칠곡군 가산면 학하2길 54-171 (외 26필지),,,
화진엔프라,2019,폐합성수지류(폐염화비닐수지류는 제외한다),운대환경,(주)케이비아이국인산업,중간처분(일반소각),경상북도 칠곡군 가산면 심곡1길 5,,,
화진엔프라,2019,폐합성수지류(폐염화비닐수지류는 제외한다),친구환경,(주)케이비아이국인산업,중간처분(일반소각),경상북도 칠곡군 가산면 심곡1길 5,,,
(주)에스알 왜관지점,2019,폐합성수지류(폐염화비닐수지류는 제외한다),봉촌산업,봉촌산업,재활용(중간가공폐기물 제조),경상북도 칠곡군 왜관읍 2산업단지1길 256,,,
구미시설공단,2019,폐합성수지류(폐염화비닐수지류는 제외한다),(주)한성,(주)이앤이,중간처분(일반소각),경상북도 칠곡군 석적읍 3공단1로 62-6,,,
구미시설공단,2019,폐토사,(주)한성,(주)정진,재활용(중간가공폐기물 제조),경상북도 칠곡군 석적읍 3공단1로 62-6,,,
(주)케이에이치화이바,2019,폐합성수지류(폐염화비닐수지류는 제외한다),봉촌산업,봉촌산업,재활용(중간가공폐기물 제조),경상북도 칠곡군 가산면 다부거문2길 39-1,,,
그린산업,2019,폐합성수지류(폐염화비닐수지류는 제외한다),봉촌산업,봉촌산업,재활용(중간가공폐기물 제조),경상북도 칠곡군 지천면 금호불동1길 43,,,
(주)세방씨앤에프,2019,폐합성수지류(폐염화비닐수지류는 제외한다),금오환경개발,(주)케이비아이국인산업,중간처분(일반소각),경상북도 칠곡군 약목면 교8길 50-7,,,
(주)대원씨앤알,2019,폐합성고무류,(주)금강리앤텍,(주)금강리앤텍,재활용(중간가공폐기물 제조),경상북도 칠곡군 가산면 다부거문2길 27,,,
