name,address,type,product
에이멕,강원도 태백시 장성동 263-8번지,기타 가정용 전기기기 제조업,탈수기
강원크린텍,강원도 태백시 장성동 249-2번지,전시 및 광고용 조명장치 제조업 외 6 종,"LED등기구,LED형광등,LED사인물"
유한회사 태백골김치,강원도 태백시 장성동 263-7번지,김치류 제조업 외 1 종,김치
주식회사 브니엘월드,강원도 태백시 장성동 249-1번지,기타 과실ㆍ채소 가공 및 저장 처리업 외 5 종,"세제, 비누, 과자, 음료 등"
주식회사 에코라이트테크놀로지,강원도 태백시 장성동 249-3번지,일반용 전기 조명장치 제조업 외 3 종,"사인물, 금속구조물"
주식회사 해마,강원도 태백시 장성동 263-1번지,천연 및 혼합조제 조미료 제조업 외 4 종,"조미료, 스프, 소스 등"
케이티씨주식회사,강원도 태백시 장성동 278-4번지,"증류기, 열교환기 및 가스발생기 제조업",판형열교환기 및 자동세척 필터링시스템
태백산생태마을협동조합,강원도 태백시 장성동 249-4번지,차류 가공업,"산죽차, 산죽분말"
주식회사 그린사이언스,강원도 태백시 장성동 278-2번지,그 외 기타 특수목적용 기계 제조업 외 1 종,"플라즈마가스화기,가스화발전시스템"
주식회사 나무나라,강원도 태백시 장성동 278-1번지,일반 제재업 외 2 종,"고열처리목재,데크재,디자인형울타리,목재판재"
(주)태양기계,강원도 태백시 장성동 272-3번지,육상 금속 골조 구조재 제조업 외 2 종,"제관기계, 철구조물 등"
(주)파워테크놀노지,강원도 태백시 장성동  272-2번지,방송장비 제조업 외 6 종,CCTV
(주)한일엔지니어링,강원도 태백시 장성동 278-3번지,구조용 금속 판제품 및 공작물 제조업,자동차 운반설비
농업회사법인 태백농업주식회사,강원도 태백시 장성동 263-5번지,식물성 유지 제조업 외 2 종,"산채, 식용유지류(들기름, 참기름), 절임식품류"
주식회사 에스앤,강원도 태백시 장성동 249-2번지,전시 및 광고용 조명장치 제조업 외 5 종,"LED조명,사인물,가로등주"
(주)천지인바이오텍,강원도 태백시 철암동 446번지,화학 살균.살충제 및 농업용 약제 제조업 외 3 종,"작물보호제, 비료"
(주)케이엠콘트롤,강원도 태백시 철암동 464-2번지,방송장비 제조업 외 4 종,"프로세스제어반,자동제어반,배전반,계장(계측)제어장치,CCTV"
(주)태서식품 제1공장,강원도 태백시 철암동 449번지,김치류 제조업 외 1 종,김치류
(주)태서식품 제2공장,강원도 태백시 철암동 456번지,김치류 제조업 외 1 종,김치
(주)한얼싸이언스,강원도 태백시 철암동 447 번지 외 1 필지,화학 살균.살충제 및 농업용 약제 제조업 외 2 종,작물보호제
(주)한얼싸이언스,강원도 태백시 철암동 459-2번지,복합비료 및 기타 화학비료 제조업 외 3 종,기타 비료 및 질소화합물
주식회사 한얼싸이언스,강원도 태백시 철암동 460번지,화학 살균.살충제 및 농업용 약제 제조업 외 3 종,작물보호제
